GEOCODE,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población. Índice feminidad,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Población. Índice de dependencia,Población. Índice de dependencia mayores de 64 años,Población. Índice de dependencia menores de 15 años,Población. Índice de vejez,Población. Índice de juventud,poblacion_indice_sobreenvejecimiento,Población. Índice de ancianidad,Superficie calculada (ha),Población / km2,Población. Extranjeros / km2,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
20040101_38038_D10,22215,38.9,10817,11398,105.4,21708,507,2.3,2923,16434,2858,1876,770,212,13.2,74,12.9,35.2,17.4,17.8,97.8,102.3,7.4,26.9,124.2,17888.6,408.3,470,509,1216,975,486,3656,19459,1662,1094,87.6,7.5,4.9
20040101_38038_D11,24849,32.8,12220,12629,103.3,24146,703,2.8,5093,18035,1721,1095,479,147,20.5,72.6,6.9,37.8,9.5,28.2,33.8,295.9,8.5,27.8,649,3828.6,108.3,871,1046,1973,1613,863,6366,22064,1170,1615,88.8,4.7,6.5
20040101_38038_D12,11362,34.6,5660,5702,100.7,11147,215,1.9,2002,8375,985,657,254,74,17.6,73.7,8.7,35.7,11.8,23.9,49.2,203.2,7.5,25.8,810.7,1401.4,26.5,364,375,787,634,334,2494,10362,440,560,91.2,3.9,4.9
20040101_38039_D01,12237,36.9,6139,6098,99.3,10935,1302,10.6,2067,8779,1391,866,418,107,16.9,71.7,11.4,39.4,15.8,23.5,67.3,148.6,7.7,30.1,2256.3,542.3,57.7,408,429,805,569,300,2511,9855,588,1794,80.5,4.8,14.7
20040101_38040_D01,10777,44.3,5426,5351,98.6,5606,5171,48,1259,7254,2264,1442,655,167,11.7,67.3,21,48.6,31.2,17.4,179.8,55.6,7.4,28.9,5142.1,209.6,100.6,218,259,520,357,202,1556,4859,470,5448,45.1,4.4,50.6
20040101_38041_D01,8178,38.4,4074,4104,100.7,7521,657,8,1293,5772,1113,643,375,95,15.8,70.6,13.6,41.7,19.3,22.4,86.1,116.2,8.5,33.7,1824.4,448.3,36,197,257,542,393,207,1596,6958,369,851,85.1,4.5,10.4
20040101_38042_D01,5547,43.9,2773,2774,100,4841,706,12.7,667,3617,1263,751,364,148,12,65.2,22.8,53.4,34.9,18.4,189.4,52.8,11.7,28.8,2457.4,225.7,28.7,101,131,258,224,106,820,4539,104,904,81.8,1.9,16.3
20040101_38043_D01,21986,37.4,11049,10937,99,21289,697,3.2,3568,15751,2667,1626,798,243,16.2,71.6,12.1,39.6,16.9,22.7,74.7,133.8,9.1,29.9,3007.3,731.1,23.2,729,674,1406,1017,510,4336,19870,871,1245,90.4,4,5.7
20040101_38044_D01,3111,40.1,1558,1553,99.7,2951,160,5.1,458,2125,528,330,147,51,14.7,68.3,17,46.4,24.8,21.6,115.3,86.7,9.7,27.8,2402.7,129.5,6.7,81,76,179,168,66,570,2670,37,404,85.8,1.2,13
20040101_38045_D01,5797,42.4,2921,2876,98.5,5480,317,5.5,735,3902,1160,610,385,165,12.7,67.3,20,48.6,29.7,18.8,157.8,63.4,14.2,33.2,1182.4,490.3,26.8,125,140,294,240,117,916,4867,235,695,84,4.1,12
20040101_38046_D01,10165,37.6,5033,5132,102,9998,167,1.6,1627,7287,1251,784,358,109,16,71.7,12.3,39.5,17.2,22.3,76.9,130.1,8.7,28.6,2665.5,381.4,6.3,261,337,651,508,261,2018,9267,419,479,91.2,4.1,4.7
20040101_38047_D01,2666,42.8,1351,1315,97.3,2303,363,13.6,355,1775,536,305,159,72,13.3,66.6,20.1,50.2,30.2,20,151,66.2,13.4,29.7,5372,49.6,6.8,54,74,156,97,63,444,2123,86,457,79.6,3.2,17.1
