GEOCODE,Gcd_municipio,Poblacion,Poblacion_edad_media,Poblacion_hombres,Poblacion_mujeresPpoblacion_indice_feminidad,Poblacion_nacional,Poblacion_extranjera,Poblacion_extranjera_pcPpoblacion_00a14,Poblacion_15a64,Poblacion_65mas,Poblacion_65a74,Poblacion_75a84,Poblacion_85masPpoblacion_00a14_pc,Poblacion_15a64_pc,Poblacion_65mas_pc,Poblacion_indice_dependenciaPpoblacion_indice_dependencia_mayores,Poblacion_indice_dependencia_menores,Poblacion_indice_vejezPpoblacion_indice_juventud,Poblacion_indice_sobreenvejecimiento,Poblacion_indice_ancianidad,Superficie,Poblacion_ds,Poblacion_extranjera_ds,Poblacion_00a02,Poblacion_03a05,Poblacion_06a11Ppoblacion_12a15,Poblacion_16a17,Poblacion_00a17,Poblacion_nacida_canariasPpoblacion_nacida_es_xcanarias,Poblacion_nacida_extranjero,Poblacion_nacida_canarias_pcPpoblacion_nacida_es_xcanarias_pc,Poblacion_nacida_extranjero_pc,Poblacion_16a16,Poblacion_00a16,Poblacion_nacida_canarias,Poblacion_nacida_es_xcanarias,Poblacion_nacida_extranjero,Poblacion_nacida_canarias_pc,Poblacion_nacida_es_xcanarias_pc,Poblacion_nacida_extranjero_pc
20070101_35009_D01,35009,23776,38.8,11959,11817,98.8,23479,297,1.2,3728,16683,3365,1905,1157,303,15.7,70.2,14.2,42.5,20.2,22.3,90.3,110.8,9,34.4,6241.9,380.9,4.8,730,674,1514,1123,575,4616,22916,396,464,96.4,1.7,2
20070101_35008_D04,35008,2119,38.7,1093,1026,93.9,2089,30,1.4,323,1510,286,184,78,24,15.2,71.3,13.5,40.3,18.9,21.4,88.5,112.9,8.4,27.3,401.1,528.3,7.5,75,54,122,93,63,407,2006,63,50,94.7,3,2.4
20070101_35008_D03,35008,1408,41.7,723,685,94.7,1392,16,1.1,175,990,243,136,88,19,12.4,70.3,17.3,42.2,24.5,17.7,138.9,72,7.8,36.2,271.9,517.9,5.9,39,32,67,56,24,218,1342,38,28,95.3,2.7,2
20070101_35008_D02,35008,1109,40.4,579,530,91.5,1062,47,4.2,149,805,155,99,41,15,13.4,72.6,14,37.8,19.3,18.5,104,96.1,9.7,26.5,476.7,232.6,9.9,28,26,58,43,21,176,1027,24,58,92.6,2.2,5.2
20070101_35008_D01,35008,2733,38.2,1363,1370,100.5,2701,32,1.2,478,1867,388,230,117,41,17.5,68.3,14.2,46.4,20.8,25.6,81.2,123.2,10.6,30.2,453.1,603.2,7.1,91,93,204,124,80,592,2603,73,57,95.2,2.7,2.1
20070101_35007_D01,35007,742,43.1,379,363,95.8,649,93,12.5,83,523,136,67,44,25,11.2,70.5,18.3,41.9,26,15.9,163.9,61,18.4,32.4,10330.9,7.2,0.9,5,14,34,34,12,99,628,21,93,84.6,2.8,12.5
20070101_35006_D07,35006,2040,40.8,1054,986,93.5,2025,15,0.7,302,1384,354,201,133,20,14.8,67.8,17.4,47.4,25.6,21.8,117.2,85.3,5.6,37.6,373.6,546,4,62,59,110,91,48,370,1970,42,28,96.6,2.1,1.4
20070101_35006_D06,35006,3982,36.8,2044,1938,94.8,3914,68,1.7,695,2899,388,219,137,32,17.5,72.8,9.7,37.4,13.4,24,55.8,179.1,8.2,35.3,729.9,545.5,9.3,167,143,256,168,89,823,3613,213,156,90.7,5.3,3.9
20070101_35006_D05,35006,9546,35.9,4789,4757,99.3,9481,65,0.7,1753,6889,904,546,297,61,18.4,72.2,9.5,38.6,13.1,25.4,51.6,193.9,6.7,32.9,491.5,1942.3,13.2,322,344,697,501,242,2106,9103,245,198,95.4,2.6,2.1
20070101_35006_D04,35006,4877,38.2,2484,2393,96.3,4796,81,1.7,773,3522,582,311,218,53,15.8,72.2,11.9,38.5,16.5,21.9,75.3,132.8,9.1,37.5,672,725.7,12.1,152,139,326,208,91,916,4526,201,150,92.8,4.1,3.1
20070101_35006_D03,35006,4690,39.8,2359,2331,98.8,4615,75,1.6,658,3339,693,395,243,55,14,71.2,14.8,40.5,20.8,19.7,105.3,94.9,7.9,35.1,447.2,1048.8,16.8,122,145,249,193,98,807,4421,142,127,94.3,3,2.7
20070101_35006_D02,35006,3197,41,1590,1607,101.1,3172,25,0.8,446,2164,587,363,188,36,14,67.7,18.4,47.7,27.1,20.6,131.6,76,6.1,32,332.7,961,7.5,89,73,191,127,67,547,3081,65,51,96.4,2,1.6
20070101_35006_D01,35006,6948,38.8,3395,3553,104.7,6856,92,1.3,1116,4855,977,538,339,100,16.1,69.9,14.1,43.1,20.1,23,87.5,114.2,10.2,34.7,228.1,3046.3,40.3,213,263,428,300,153,1357,6479,260,209,93.2,3.7,3
20070101_35005_D01,35005,1300,45,696,604,86.8,1291,9,0.7,99,934,267,137,108,22,7.6,71.8,20.5,39.2,28.6,10.6,269.7,37.1,8.2,40.4,6641.7,19.6,0.1,13,14,43,38,25,133,1260,21,19,96.9,1.6,1.5
20070101_35004_D02,35004,35272,33.7,18401,16871,91.7,27454,7818,22.2,6489,26537,2246,1466,616,164,18.4,75.2,6.4,32.9,8.5,24.5,34.6,288.9,7.3,27.4,2001.7,1762.1,390.6,1503,1359,2383,1659,901,7805,22003,4735,8534,62.4,13.4,24.2
20070101_35004_D01,35004,21562,35.7,10959,10603,96.8,16348,5214,24.2,3554,16187,1821,965,632,224,16.5,75.1,8.4,33.2,11.2,22,51.2,195.2,12.3,34.7,407.7,5288.3,1278.8,751,741,1347,953,500,4292,12289,3508,5765,57,16.3,26.7
20070101_35003_D01,35003,9204,35.6,5074,4130,81.4,5861,3343,36.3,1368,7286,550,358,150,42,14.9,79.2,6,26.3,7.5,18.8,40.2,248.7,7.6,27.3,24956.1,36.9,13.4,304,265,551,339,179,1638,4057,1660,3487,44.1,18,37.9
20070101_35002_D01,35002,27310,34.9,13969,13341,95.5,25222,2088,7.6,4993,20104,2213,1394,679,140,18.3,73.6,8.1,35.8,11,24.8,44.3,225.6,6.3,30.7,7877.6,346.7,26.5,1088,1063,1911,1256,655,5973,23383,1424,2503,85.6,5.2,9.2
