GEOCODE,Gcd_municipio,Poblacion,Poblacion_edad_media,Poblacion_hombres,Poblacion_mujeresPpoblacion_indice_feminidad,Poblacion_nacional,Poblacion_extranjera,Poblacion_extranjera_pcPpoblacion_00a14,Poblacion_15a64,Poblacion_65mas,Poblacion_65a74,Poblacion_75a84,Poblacion_85masPpoblacion_00a14_pc,Poblacion_15a64_pc,Poblacion_65mas_pc,Poblacion_indice_dependenciaPpoblacion_indice_dependencia_mayores,Poblacion_indice_dependencia_menores,Poblacion_indice_vejezPpoblacion_indice_juventud,Poblacion_indice_sobreenvejecimiento,Poblacion_indice_ancianidad,Superficie,Poblacion_ds,Poblacion_extranjera_ds,Poblacion_00a02,Poblacion_03a05,Poblacion_06a11Ppoblacion_12a15,Poblacion_16a17,Poblacion_00a17,Poblacion_nacida_canariasPpoblacion_nacida_es_xcanarias,Poblacion_nacida_extranjero,Poblacion_nacida_canarias_pcPpoblacion_nacida_es_xcanarias_pc,Poblacion_nacida_extranjero_pc,Poblacion_16a16,Poblacion_00a16,Poblacion_nacida_canarias,Poblacion_nacida_es_xcanarias,Poblacion_nacida_extranjero,Poblacion_nacida_canarias_pc,Poblacion_nacida_es_xcanarias_pc,Poblacion_nacida_extranjero_pc
20070101_38053_D01,38053,4880,43.1,2478,2402,96.9,4454,426,8.7,653,3226,1001,498,342,161,13.4,66.1,20.5,51.3,31,20.2,153.3,65.2,16.1,34.2,7033.3,69.4,6.1,91,124,258,230,116,819,3916,168,796,80.2,3.4,16.3
20070101_38052_D01,38052,1900,41.4,966,934,96.7,1684,216,11.4,278,1284,338,177,118,43,14.6,67.6,17.8,48,26.3,21.7,121.6,82.2,12.7,34.9,5642.2,33.7,3.8,48,49,123,77,45,342,1558,64,278,82,3.4,14.6
20070101_38051_D01,38051,8676,39.2,4322,4354,100.7,8327,349,4,1257,6178,1241,727,432,82,14.5,71.2,14.3,40.4,20.1,20.3,98.7,101.3,6.6,34.8,1823.5,475.8,19.1,242,247,490,373,198,1550,7931,145,600,91.4,1.7,6.9
20070101_38050_D03,38050,835,50.1,422,413,97.9,779,56,6.7,57,532,246,133,84,29,6.8,63.7,29.5,57,46.2,10.7,431.6,23.2,11.8,34.1,4261,19.6,1.3,8,8,23,19,9,67,762,6,67,91.3,0.7,8
20070101_38050_D01,38050,2307,48.4,1167,1140,97.7,2156,151,6.5,233,1371,703,338,262,103,10.1,59.4,30.5,68.3,51.3,17,301.7,33.1,14.7,37.3,6616.1,34.9,2.3,33,35,107,81,34,290,2007,53,247,87,2.3,10.7
20070101_38049_D01,38049,5116,42.2,2597,2519,97,3451,1665,32.5,620,3669,827,485,245,97,12.1,71.7,16.2,39.4,22.5,16.9,133.4,75,11.7,29.6,3175.2,161.1,52.4,130,118,243,162,84,737,3038,159,1919,59.4,3.1,37.5
20070101_38048_D01,38048,4914,42.3,2484,2430,97.8,4507,407,8.3,666,3311,937,479,320,138,13.6,67.4,19.1,48.4,28.3,20.1,140.7,71.1,14.7,34.2,10342.3,47.5,3.9,123,124,272,208,95,822,3750,340,824,76.3,6.9,16.8
20070101_38047_D01,38047,2744,43.8,1396,1348,96.6,2259,485,17.7,361,1813,570,310,189,71,13.2,66.1,20.8,51.4,31.4,19.9,157.9,63.3,12.5,33.2,5372,51.1,9,50,70,152,115,50,437,2079,79,586,75.8,2.9,21.4
20070101_38046_D01,38046,10461,38.6,5199,5262,101.2,10264,197,1.9,1576,7588,1297,768,422,107,15.1,72.5,12.4,37.9,17.1,20.8,82.3,121.5,8.2,32.5,2665.5,392.5,7.4,242,306,689,466,259,1962,9431,452,578,90.2,4.3,5.5
20070101_38045_D01,38045,5828,43.1,2934,2894,98.6,5394,434,7.4,734,3931,1163,593,396,174,12.6,67.5,20,48.3,29.6,18.7,158.4,63.1,15,34,1182.4,492.9,36.7,128,153,299,203,121,904,4826,213,789,82.8,3.7,13.5
20070101_38044_D01,38044,3045,41.6,1508,1537,101.9,2914,131,4.3,411,2078,556,330,176,50,13.5,68.2,18.3,46.5,26.8,19.8,135.3,73.9,9,31.7,2402.7,126.7,5.5,85,83,150,128,87,533,2614,41,390,85.8,1.3,12.8
20070101_38043_D01,38043,22943,38.2,11487,11456,99.7,22135,808,3.5,3617,16454,2872,1707,927,238,15.8,71.7,12.5,39.4,17.5,22,79.4,125.9,8.3,32.3,3007.3,762.9,26.9,724,773,1396,1009,483,4385,20555,946,1442,89.6,4.1,6.3
20070101_38042_D01,38042,5313,44.7,2671,2642,98.9,4683,630,11.9,604,3458,1251,719,386,146,11.4,65.1,23.5,53.6,36.2,17.5,207.1,48.3,11.7,30.9,2457.4,216.2,25.6,100,119,256,170,120,765,4376,104,833,82.4,2,15.7
20070101_38041_D01,38041,8826,38.9,4395,4431,100.8,8029,797,9,1383,6254,1189,671,408,110,15.7,70.9,13.5,41.1,19,22.1,86,116.3,9.3,34.3,1824.4,483.8,43.7,235,275,568,403,203,1684,7381,416,1029,83.6,4.7,11.7
20070101_38040_D01,38040,11493,45.8,5788,5705,98.6,5768,5725,49.8,1279,7450,2764,1694,801,269,11.1,64.8,24,54.3,37.1,17.2,216.1,46.3,9.7,29,5142.1,223.5,111.3,194,274,534,358,190,1550,4987,476,6030,43.4,4.1,52.5
20070101_38039_D01,38039,13393,38,6711,6682,99.6,11712,1681,12.6,2109,9719,1565,952,502,111,15.7,72.6,11.7,37.8,16.1,21.7,74.2,134.8,7.1,32.1,2256.3,593.6,74.5,365,430,881,568,303,2547,10335,737,2321,77.2,5.5,17.3
20070101_38038_D12,38038,14471,35,7217,7254,100.5,14101,370,2.6,2465,10830,1176,750,338,88,17,74.8,8.1,33.6,10.9,22.8,47.7,209.6,7.5,28.7,810.7,1784.9,45.6,515,533,895,705,360,3008,12789,668,1014,88.4,4.6,7
20070101_38038_D11,38038,27018,33.8,13263,13755,103.7,26051,967,3.6,5135,20049,1834,1155,529,150,19,74.2,6.8,34.8,9.1,25.6,35.7,280,8.2,28.8,649,4162.8,149,839,1031,2159,1480,879,6388,23270,1490,2258,86.1,5.5,8.4
20070101_38038_D10,38038,20918,40.6,10166,10752,105.8,20272,646,3.1,2513,15428,2977,1840,937,200,12,73.8,14.2,35.6,19.3,16.3,118.5,84.4,6.7,31.5,124.2,16844.2,520.2,376,485,1021,843,489,3214,18157,1481,1280,86.8,7.1,6.1
20070101_38038_D09,38038,21050,40.8,10272,10778,104.9,20331,719,3.4,2805,14688,3557,1835,1338,384,13.3,69.8,16.9,43.3,24.2,19.1,126.8,78.9,10.8,37.6,368,5720.4,195.4,453,546,1148,880,506,3533,18866,952,1232,89.6,4.5,5.9
20070101_38038_D08,38038,1488,46.7,783,705,90,1469,19,1.3,132,969,387,217,117,53,8.9,65.1,26,53.6,39.9,13.6,293.2,34.1,13.7,30.2,5133.1,29,0.4,20,22,56,42,25,165,1431,21,36,96.2,1.4,2.4
20070101_38038_D07,38038,12485,41.2,6218,6267,100.8,12147,338,2.7,1460,8993,2032,1168,676,188,11.7,72,16.3,38.8,22.6,16.2,139.2,71.9,9.3,33.3,6831.8,182.7,4.9,234,268,579,507,291,1879,11386,528,571,91.2,4.2,4.6
20070101_38038_D06,38038,35103,41,16882,18221,107.9,33054,2049,5.8,4171,25720,5212,2914,1742,556,11.9,73.3,14.8,36.5,20.3,16.2,125,80,10.7,33.4,217.1,16168.4,943.8,585,748,1755,1443,905,5436,27242,3989,3872,77.6,11.4,11
20070101_38038_D05,38038,21459,42.7,9882,11577,117.2,19670,1789,8.3,2411,15095,3953,1913,1479,561,11.2,70.3,18.4,42.2,26.2,16,164,61,14.2,37.4,129.7,16545.1,1379.3,377,482,947,784,482,3072,15453,3058,2948,72,14.3,13.7
20070101_38038_D04,38038,15031,42.6,7223,7808,108.1,14009,1022,6.8,1799,10259,2973,1629,1030,314,12,68.3,19.8,46.5,29,17.5,165.3,60.5,10.6,34.6,103.9,14470.7,983.9,255,338,719,630,378,2320,12739,698,1594,84.8,4.6,10.6
20070101_38038_D03,38038,23681,40.6,11299,12382,109.6,21318,2363,10,2945,17153,3583,1919,1235,429,12.4,72.4,15.1,38.1,20.9,17.2,121.7,82.2,12,34.5,390.4,6065.1,605.2,507,584,1174,920,520,3705,15554,4362,3765,65.7,18.4,15.9
20070101_38038_D02,38038,11634,42.3,5468,6166,112.8,10473,1161,10,1316,8344,1974,968,728,278,11.3,71.7,17,39.4,23.7,15.8,150,66.7,14.1,36.9,81.7,14241.1,1421.2,215,221,510,450,243,1639,7669,2125,1840,65.9,18.3,15.8
20070101_38038_D01,38038,16564,41.6,7772,8792,113.1,15357,1207,7.3,2098,11877,2589,1379,863,347,12.7,71.7,15.6,39.5,21.8,17.7,123.4,81,13.4,33.3,219.4,7550.2,550.2,326,412,868,645,304,2555,11270,3178,2116,68,19.2,12.8
20070101_38037_D03,38037,7203,40.4,3516,3687,104.9,6888,315,4.4,1007,5050,1146,614,374,158,14,70.1,15.9,42.6,22.7,19.9,113.8,87.9,13.8,32.6,4221.8,170.6,7.5,154,176,435,321,152,1238,6259,340,604,86.9,4.7,8.4
20070101_38037_D02,38037,5527,40.8,2700,2827,104.7,5245,282,5.1,789,3820,918,474,342,102,14.3,69.1,16.6,44.7,24,20.7,116.3,85.9,11.1,37.3,43.8,12616.1,643.7,129,146,314,266,118,973,4556,408,563,82.4,7.4,10.2
20070101_38037_D01,38037,4623,41.3,2276,2347,103.1,4257,366,7.9,619,3200,804,416,302,86,13.4,69.2,17.4,44.5,25.1,19.3,129.9,77,10.7,37.6,54.7,8454.3,669.3,115,113,245,184,87,744,3463,531,629,74.9,11.5,13.6
20070101_38036_D01,38036,8515,38.9,4316,4199,97.3,7589,926,10.9,1252,6163,1100,633,348,119,14.7,72.4,12.9,38.2,17.8,20.3,87.9,113.8,10.8,31.6,11313.5,75.3,8.2,216,255,521,370,200,1562,6722,583,1210,78.9,6.8,14.2
20070101_38035_D01,38035,13814,36.7,7046,6768,96.1,9006,4808,34.8,2375,10179,1260,824,338,98,17.2,73.7,9.1,35.7,12.4,23.3,53.1,188.5,7.8,26.8,4206.9,328.4,114.3,357,500,1019,633,319,2828,7303,1137,5374,52.9,8.2,38.9
20070101_38034_D01,38034,5061,40.1,2503,2558,102.2,4908,153,3,667,3634,760,411,277,72,13.2,71.8,15,39.3,20.9,18.4,113.9,87.8,9.5,36.4,2049.2,247,7.5,110,123,271,228,110,842,4566,87,408,90.2,1.7,8.1
20070101_38033_D02,38033,1480,47.7,732,748,102.2,1452,28,1.9,113,983,384,196,138,50,7.6,66.4,25.9,50.6,39.1,11.5,339.8,29.4,13,35.9,3170.9,46.7,0.9,23,17,47,35,20,142,1366,18,96,92.3,1.2,6.5
20070101_38033_D01,38033,3495,44,1790,1705,95.3,3395,100,2.9,384,2379,732,382,251,99,11,68.1,20.9,46.9,30.8,16.1,190.6,52.5,13.5,34.3,1088.7,321,9.2,64,77,156,109,75,481,2999,150,346,85.8,4.3,9.9
20070101_38032_D01,38032,16721,37.2,8726,7995,91.6,15755,966,5.8,2770,12365,1586,950,467,169,16.6,73.9,9.5,35.2,12.8,22.4,57.3,174.7,10.7,29.4,3931.6,425.3,24.6,534,575,1129,707,364,3309,12807,2045,1869,76.6,12.2,11.2
20070101_38031_D06,38031,2829,36.4,1463,1366,93.4,2795,34,1.2,486,2022,321,193,109,19,17.2,71.5,11.3,39.9,15.9,24,66,151.4,5.9,34,1707.7,165.7,2,59,109,214,137,59,578,2733,17,79,96.6,0.6,2.8
20070101_38031_D05,38031,3507,39.6,1709,1798,105.2,3463,44,1.3,526,2422,559,313,195,51,15,69.1,15.9,44.8,23.1,21.7,106.3,94.1,9.1,34.9,1939.8,180.8,2.3,65,117,213,166,87,648,3334,10,163,95.1,0.3,4.6
20070101_38031_D04,38031,6371,41.5,3197,3174,99.3,4652,1719,27,894,4408,1069,696,297,76,14,69.2,16.8,44.5,24.3,20.3,119.6,83.6,7.1,27.8,189.6,3360.5,906.7,149,181,367,261,132,1090,3844,445,2082,60.3,7,32.7
20070101_38031_D03,38031,7294,39,3592,3702,103.1,7052,242,3.3,1061,5251,982,603,299,80,14.5,72,13.5,38.9,18.7,20.2,92.6,108,8.1,30.4,404.8,1801.9,59.8,151,233,428,329,191,1332,6589,141,564,90.3,1.9,7.7
20070101_38031_D02,38031,4659,40.9,2279,2380,104.4,4379,280,6,638,3238,783,437,275,71,13.7,69.5,16.8,43.9,24.2,19.7,122.7,81.5,9.1,35.1,566.2,822.9,49.5,104,127,261,196,123,811,4183,81,395,89.8,1.7,8.5
20070101_38031_D01,38031,12564,36.6,6226,6338,101.8,12007,557,4.4,2226,8994,1344,769,467,108,17.7,71.6,10.7,39.7,14.9,24.7,60.4,165.6,8,34.7,345,3641.7,161.4,378,473,900,622,319,2692,10744,496,1324,85.5,3.9,10.5
20070101_38030_D01,38030,2407,43.8,1202,1205,100.2,2210,197,8.2,309,1591,507,270,176,61,12.8,66.1,21.1,51.3,31.9,19.4,164.1,60.9,12,34.7,3492.6,68.9,5.6,61,64,134,68,47,374,2003,73,331,83.2,3,13.8
20070101_38029_D01,38029,1974,43,1000,974,97.4,1720,254,12.9,239,1364,371,182,136,53,12.1,69.1,18.8,44.7,27.2,17.5,155.2,64.4,14.3,36.7,3074,64.2,8.3,35,44,100,76,40,295,1360,54,560,68.9,2.7,28.4
20070101_38028_D04,38028,7920,41.3,3831,4089,106.7,7265,655,8.3,967,5588,1365,788,404,173,12.2,70.6,17.2,41.7,24.4,17.3,141.2,70.8,12.7,29.6,270.6,2926.4,242,107,222,379,334,169,1211,6664,437,819,84.1,5.5,10.3
20070101_38028_D03,38028,7756,43.1,3778,3978,105.3,7079,677,8.7,737,5616,1403,828,467,108,9.5,72.4,18.1,38.1,25,13.1,190.4,52.5,7.7,33.3,64.8,11967.9,1044.6,97,145,301,253,162,958,6057,781,918,78.1,10.1,11.8
20070101_38028_D02,38028,7680,43.2,3750,3930,104.8,6210,1470,19.1,873,5298,1509,933,447,129,11.4,69,19.6,45,28.5,16.5,172.9,57.9,8.5,29.6,172.8,4443.7,850.6,115,181,398,249,143,1086,4764,1029,1887,62,13.4,24.6
20070101_38028_D01,38028,7775,46.4,3775,4000,106,4725,3050,39.2,693,5248,1834,1084,591,159,8.9,67.5,23.6,48.2,34.9,13.2,264.6,37.8,8.7,32.2,375,2073.2,813.3,102,130,293,226,113,864,2916,1321,3538,37.5,17,45.5
20070101_38027_D04,38027,1352,42.7,720,632,87.8,1082,270,20,198,907,247,140,70,37,14.6,67.1,18.3,49.1,27.2,21.8,124.7,80.2,15,28.3,4144.3,32.6,6.5,33,36,88,52,36,245,1002,22,328,74.1,1.6,24.3
20070101_38027_D03,38027,2623,43.3,1322,1301,98.4,2157,466,17.8,341,1757,525,288,171,66,13,67,20,49.3,29.9,19.4,154,65,12.6,32.6,4911.5,53.4,9.5,47,70,144,105,56,422,1957,72,594,74.6,2.7,22.6
20070101_38027_D02,38027,2167,39,1082,1085,100.3,2044,123,5.7,358,1479,330,151,125,54,16.5,68.3,15.2,46.5,22.3,24.2,92.2,108.5,16.4,37.9,493.7,439,24.9,56,80,141,102,44,423,1827,74,266,84.3,3.4,12.3
20070101_38027_D01,38027,1372,42.4,696,676,97.1,1157,215,15.7,180,930,262,133,96,33,13.1,67.8,19.1,47.5,28.2,19.4,145.6,68.7,12.6,36.6,4009.2,34.2,5.4,23,43,71,58,30,225,1054,35,283,76.8,2.6,20.6
20070101_38026_D06,38026,5540,35.6,2865,2675,93.4,5474,66,1.2,1008,3952,580,330,201,49,18.2,71.3,10.5,40.2,14.7,25.5,57.5,173.8,8.4,34.7,18787.5,29.5,0.4,164,191,417,317,189,1278,5391,34,115,97.3,0.6,2.1
20070101_38026_D05,38026,7165,38.5,3585,3580,99.9,7047,118,1.6,1076,5124,965,622,274,69,15,71.5,13.5,39.8,18.8,21,89.7,111.5,7.2,28.4,597.3,1199.6,19.8,169,211,460,322,172,1334,6797,88,280,94.9,1.2,3.9
20070101_38026_D04,38026,6510,36.9,3222,3288,102,5899,611,9.4,1186,4653,671,414,198,59,18.2,71.5,10.3,39.9,14.4,25.5,56.6,176.8,8.8,29.5,577.2,1127.9,105.9,207,262,460,337,146,1412,5166,404,940,79.4,6.2,14.4
20070101_38026_D03,38026,9854,39.5,4841,5013,103.6,9208,646,6.6,1505,6942,1407,868,418,121,15.3,70.4,14.3,41.9,20.3,21.7,93.5,107,8.6,29.7,921.4,1069.4,70.1,246,294,626,447,243,1856,8536,325,993,86.6,3.3,10.1
20070101_38026_D02,38026,5833,39.2,2849,2984,104.7,5672,161,2.8,923,4080,830,465,294,71,15.8,69.9,14.2,43,20.3,22.6,89.9,111.2,8.6,35.4,91.2,6397,176.6,182,195,358,250,106,1091,5249,173,411,90,3,7
20070101_38026_D01,38026,5742,41,2752,2990,108.6,5433,309,5.4,839,3939,964,494,342,128,14.6,68.6,16.8,45.8,24.5,21.3,114.9,87,13.3,35.5,109.3,5251.9,282.6,125,190,351,229,134,1029,4748,421,573,82.7,7.3,10
20070101_38025_D01,38025,8117,38.8,4115,4002,97.3,7557,560,6.9,1202,5797,1118,688,352,78,14.8,71.4,13.8,40,19.3,20.7,93,107.5,7,31.5,1390.8,583.6,40.3,276,232,444,340,152,1444,7112,228,777,87.6,2.8,9.6
20070101_38024_D03,38024,5342,42.5,2621,2721,103.8,4188,1154,21.6,716,3670,956,557,296,103,13.4,68.7,17.9,45.6,26,19.5,133.5,74.9,10.8,31,2594.2,205.9,44.5,101,131,305,242,103,882,3727,180,1435,69.8,3.4,26.9
20070101_38024_D02,38024,2575,39.9,1270,1305,102.8,2460,115,4.5,393,1723,459,250,170,39,15.3,66.9,17.8,49.4,26.6,22.8,116.8,85.6,8.5,37,365.9,703.8,31.4,56,69,173,147,58,503,2210,107,258,85.8,4.2,10
20070101_38024_D01,38024,12253,39.3,6058,6195,102.3,11114,1139,9.3,1861,8556,1836,954,665,217,15.2,69.8,15,43.2,21.5,21.8,98.7,101.4,11.8,36.2,617.7,1983.7,184.4,304,360,767,584,285,2300,9574,679,2000,78.1,5.5,16.3
20070101_38023_D06,38023,5356,39.7,2662,2694,101.2,5264,92,1.7,733,3876,747,444,238,65,13.7,72.4,13.9,38.2,19.3,18.9,101.9,98.1,8.7,31.9,2267.9,236.2,4.1,86,121,357,226,145,935,4887,203,266,91.2,3.8,5
20070101_38023_D05,38023,17675,41.1,8837,8838,100,16725,950,5.4,2132,12673,2870,1718,906,246,12.1,71.7,16.2,39.5,22.6,16.8,134.6,74.3,8.6,31.6,2945.4,600.1,32.3,285,371,963,687,378,2684,15842,537,1296,89.6,3,7.3
20070101_38023_D04,38023,10009,39.6,5042,4967,98.5,9771,238,2.4,1274,7453,1282,713,462,107,12.7,74.5,12.8,34.3,17.2,17.1,100.6,99.4,8.3,36,1742.6,574.4,13.7,209,168,591,424,256,1648,9126,377,506,91.2,3.8,5.1
20070101_38023_D03,38023,35463,37.6,17616,17847,101.3,33397,2066,5.8,5084,26718,3661,2184,1157,320,14.3,75.3,10.3,32.7,13.7,19,72,138.9,8.7,31.6,790.1,4488.7,261.5,768,858,2210,1674,865,6375,29811,1829,3823,84.1,5.2,10.8
20070101_38023_D02,38023,32844,38.1,16013,16831,105.1,30495,2349,7.2,4634,24365,3845,2254,1272,319,14.1,74.2,11.7,34.8,15.8,19,83,120.5,8.3,33.1,1148.5,2859.8,204.5,659,820,1987,1558,861,5885,26200,2165,4479,79.8,6.6,13.6
20070101_38023_D01,38023,43000,39.6,20811,22189,106.6,41012,1988,4.6,5213,32165,5622,3109,1910,603,12.1,74.8,13.1,33.7,17.5,16.2,107.8,92.7,10.7,34,1362.9,3155,145.9,745,890,2330,1682,898,6545,35771,3837,3392,83.2,8.9,7.9
20070101_38022_D05,38022,2803,39.2,1431,1372,95.9,2469,334,11.9,408,1978,417,264,128,25,14.6,70.6,14.9,41.7,21.1,20.6,102.2,97.8,6,30.7,263.4,1064.1,126.8,89,71,176,109,69,514,2150,123,530,76.7,4.4,18.9
20070101_38022_D04,38022,5193,39,2548,2645,103.8,4874,319,6.1,781,3679,733,426,248,59,15,70.8,14.1,41.2,19.9,21.2,93.9,106.5,8,33.8,609.2,852.5,52.4,112,153,330,259,153,1007,4522,63,608,87.1,1.2,11.7
20070101_38022_D03,38022,5324,39.7,2671,2653,99.3,5056,268,5,753,3793,778,466,255,57,14.1,71.2,14.6,40.4,20.5,19.9,103.3,96.8,7.3,32.8,5333.2,99.8,5,134,143,306,226,140,949,4816,40,468,90.5,0.8,8.8
20070101_38022_D02,38022,3191,39.8,1613,1578,97.8,3030,161,5,458,2280,453,253,171,29,14.4,71.5,14.2,40,19.9,20.1,98.9,101.1,6.4,37.7,3005,106.2,5.4,68,87,176,160,92,583,2869,15,307,89.9,0.5,9.6
20070101_38022_D01,38022,7580,41,3659,3921,107.2,7143,437,5.8,966,5453,1161,664,385,112,12.7,71.9,15.3,39,21.3,17.7,120.2,83.2,9.6,33.2,308.2,2459.5,141.8,142,195,398,317,180,1232,6237,239,1104,82.3,3.2,14.6
20070101_38021_D02,38021,1055,46.9,547,508,92.9,944,111,10.5,96,707,252,120,100,32,9.1,67,23.9,49.2,35.6,13.6,262.5,38.1,12.7,39.7,1930.7,54.6,5.7,12,13,43,37,11,116,891,30,134,84.5,2.8,12.7
20070101_38021_D01,38021,1115,44.6,553,562,101.6,1064,51,4.6,115,758,242,106,96,40,10.3,68,21.7,47.1,31.9,15.2,210.4,47.5,16.5,39.7,1998.1,55.8,2.6,23,19,54,27,22,145,1021,25,69,91.6,2.2,6.2
20070101_38020_D03,38020,2324,43.9,1149,1175,102.3,2203,121,5.2,283,1500,541,284,197,60,12.2,64.5,23.3,54.9,36.1,18.9,191.2,52.3,11.1,36.4,4930.8,47.1,2.5,51,52,124,78,52,357,2068,61,195,89,2.6,8.4
20070101_38020_D02,38020,1892,42.2,968,924,95.5,1830,62,3.3,222,1318,352,178,136,38,11.7,69.7,18.6,43.6,26.7,16.8,158.6,63.1,10.8,38.6,2693.8,70.2,2.3,45,43,86,66,45,285,1724,39,129,91.1,2.1,6.8
20070101_38020_D01,38020,12621,39.7,6157,6464,105,12123,498,3.9,1818,8939,1864,1052,631,181,14.4,70.8,14.8,41.2,20.9,20.3,102.5,97.5,9.7,33.9,2625.1,480.8,19,333,395,715,522,269,2234,10962,553,1106,86.9,4.4,8.8
20070101_38019_D01,38019,19261,37.5,9724,9537,98.1,15426,3835,19.9,3182,13835,2244,1403,652,189,16.5,71.8,11.7,39.2,16.2,23,70.5,141.8,8.4,29.1,14642.6,131.5,26.2,482,681,1327,928,493,3911,13565,996,4700,70.4,5.2,24.4
20070101_38018_D01,38018,5379,41,2638,2741,103.9,5198,181,3.4,706,3771,902,511,316,75,13.1,70.1,16.8,42.6,23.9,18.7,127.8,78.3,8.3,35,2399.3,224.2,7.5,137,140,280,206,141,904,4922,59,398,91.5,1.1,7.4
20070101_38017_D01,38017,36224,35.4,18692,17532,93.8,26845,9379,25.9,5971,27271,2982,1837,896,249,16.5,75.3,8.2,32.8,10.9,21.9,49.9,200.2,8.4,30,16284.1,222.4,57.6,1088,1323,2354,1621,874,7260,20531,4868,10825,56.7,13.4,29.9
20070101_38016_D02,38016,1138,47.1,558,580,103.9,933,205,18,118,717,303,138,113,52,10.4,63,26.6,58.7,42.3,16.5,256.8,38.9,17.2,37.3,4355.2,26.1,4.7,18,21,43,47,26,155,851,37,250,74.8,3.3,22
20070101_38016_D01,38016,711,49.9,390,321,82.3,655,56,7.9,64,425,222,103,85,34,9,59.8,31.2,67.3,52.2,15.1,346.9,28.8,15.3,38.3,5900.8,12,0.9,12,9,26,26,7,80,600,22,89,84.4,3.1,12.5
20070101_38015_D02,38015,2743,42.6,1368,1375,100.5,2593,150,5.5,315,1918,510,288,173,49,11.5,69.9,18.6,43,26.6,16.4,161.9,61.8,9.6,33.9,2637.9,104,5.7,45,62,136,109,57,409,2328,50,365,84.9,1.8,13.3
20070101_38015_D01,38015,2703,43.4,1345,1358,101,2616,87,3.2,302,1874,527,286,195,46,11.2,69.3,19.5,44.2,28.1,16.1,174.5,57.3,8.7,37,272,993.9,32,60,64,110,87,46,367,2368,112,223,87.6,4.1,8.3
20070101_38014_D01,38014,1964,43.6,997,967,97,1795,169,8.6,245,1291,428,195,172,61,12.5,65.7,21.8,52.1,33.2,19,174.7,57.2,14.3,40.2,5606.7,35,3,40,55,103,72,26,296,1630,64,270,83,3.3,13.7
20070101_38013_D02,38013,1807,44.6,920,887,96.4,1615,192,10.6,218,1170,419,234,127,58,12.1,64.7,23.2,54.4,35.8,18.6,192.2,52,13.8,30.3,8519.7,21.2,2.3,39,33,94,69,25,260,1281,74,452,70.9,4.1,25
