GEOCODE_MALLA_2010,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
250mN101900E169325,1458,37,756,702,92.9,756,702,48.1,209,1128,121,14.3,77.4,8.3,29.3,29.3,29.3,57.9,172.7,6.2,23328,11232,443,237,778,30.4,16.3,53.4
250mN101900E169350,876,36.7,434,442,101.8,465,411,46.9,113,690,73,12.9,78.8,8.3,27,27,27,64.6,154.8,6.2,14016,6576,245,171,460,28,19.5,52.5
250mN101900E169400,339,41.1,171,168,98.2,165,174,51.3,33,278,28,9.7,82,8.3,21.9,21.9,21.9,84.8,117.9,6.2,5424,2784,104,54,181,30.7,15.9,53.4
250mN101900E169425,22,47.4,11,11,100,13,9,40.9,,17,,,77.3,,,,,,,6.2,352,144,13,0,9,59.1,0,40.9
250mN101900E169450,458,36,230,228,99.1,216,242,52.8,86,342,30,18.8,74.7,6.6,33.9,33.9,33.9,34.9,286.7,6.2,7328,3872,112,95,251,24.5,20.7,54.8
250mN101900E169475,45,34.9,24,21,87.5,24,21,46.7,,33,,,73.3,,,,,,,6.2,720,336,14,7,24,31.1,15.6,53.3
250mN101900E169550,19,29,10,9,90,10,9,47.4,,12,,,63.2,,,,,,,6.2,304,144,10,0,9,52.6,0,47.4
250mN101900E169775,118,37.1,55,63,114.5,101,17,14.4,22,81,15,18.6,68.6,12.7,45.7,45.7,45.7,68.2,146.7,6.2,1888,272,99,,,83.9,,
250mN101900E169800,233,35.9,128,105,82,182,51,21.9,32,187,14,13.7,80.3,6,24.6,24.6,24.6,43.8,228.6,6.2,3728,816,148,17,68,63.5,7.3,29.2
250mN101900E169825,56,48.5,32,24,75,46,10,17.9,4,33,19,7.1,58.9,33.9,69.7,69.7,69.7,475,21.1,6.2,896,160,42,0,14,75,0,25
250mN101900E169875,410,32.1,225,185,82.2,313,97,23.7,87,310,13,21.2,75.6,3.2,32.3,32.3,32.3,14.9,669.2,6.2,6560,1552,217,62,131,52.9,15.1,32
250mN101900E169900,51,40,26,25,96.2,41,10,19.6,8,33,10,15.7,64.7,19.6,54.5,54.5,54.5,125,80,6.2,816,160,39,0,12,76.5,0,23.5
250mN101900E169925,76,35.6,43,33,76.7,69,7,9.2,16,52,8,21.1,68.4,10.5,46.2,46.2,46.2,50,200,6.2,1216,112,60,5,11,78.9,6.6,14.5
250mN101900E169950,27,46.7,15,12,80,19,8,29.6,3,20,4,11.1,74.1,14.8,35,35,35,133.3,75,6.2,432,128,17,,,63,,
250mN101900E169975,102,38.9,54,48,88.9,52,50,49,14,80,8,13.7,78.4,7.8,27.5,27.5,27.5,57.1,175,6.2,1632,800,48,3,51,47.1,2.9,50
250mN101900E170775,33,32.7,18,15,83.3,25,8,24.2,7,26,0,21.2,78.8,0,26.9,26.9,26.9,0,,6.2,528,128,26,0,7,78.8,0,21.2
250mN101900E170800,11,48.9,6,5,83.3,8,3,27.3,0,7,4,0,63.6,36.4,57.1,57.1,57.1,,0,6.2,176,48,6,0,5,54.5,0,45.5
250mN101900E170925,81,44.7,39,42,107.7,76,5,6.2,9,54,18,11.1,66.7,22.2,50,50,50,200,50,6.2,1296,80,73,,,90.1,,
250mN101900E170950,83,43,40,43,107.5,53,30,36.1,9,59,15,10.8,71.1,18.1,40.7,40.7,40.7,166.7,60,6.2,1328,480,53,0,30,63.9,0,36.1
250mN101900E172150,30,40.5,14,16,114.3,14,16,53.3,5,22,3,16.7,73.3,10,36.4,36.4,36.4,60,166.7,5.8,521.7,278.3,,,16,,,53.3
250mN101900E199200,50,39.7,24,26,108.3,34,16,32,9,36,5,18,72,10,38.9,38.9,38.9,55.6,180,6.2,800,256,28,7,15,56,14,30
250mN101900E199475,18,50.5,9,9,100,12,6,33.3,,12,,,66.7,,,,,,,6.2,288,96,11,0,7,61.1,0,38.9
250mN101900E199500,10,54.5,7,3,42.9,5,5,50,0,7,3,0,70,30,42.9,42.9,42.9,,0,6.2,160,80,6,0,4,60,0,40
250mN101900E199900,18,36.9,8,10,125,11,7,38.9,3,15,0,16.7,83.3,0,20,20,20,0,,6.2,288,112,10,,,55.6,,
250mN101900E200275,17,32.9,7,10,142.9,0,17,100,4,13,0,23.5,76.5,0,30.8,30.8,30.8,0,,6.2,272,272,5,0,12,29.4,0,70.6
250mN101900E200325,15,52.4,8,7,87.5,9,6,40,,7,,,46.7,,,,,,,6.2,240,96,8,,,53.3,,
250mN101900E200350,17,40.8,11,6,54.5,8,9,52.9,3,11,3,17.6,64.7,17.6,54.5,54.5,54.5,100,100,6.2,272,144,10,0,7,58.8,0,41.2
250mN101900E200375,14,39.6,6,8,133.3,7,7,50,3,11,0,21.4,78.6,0,27.3,27.3,27.3,0,,6.2,224,112,,,7,,,50
250mN101900E200400,17,36.1,12,5,41.7,,,,,15,,,88.2,,,,,,,6.2,272,,14,,,82.4,,
250mN101900E200500,23,38.5,9,14,155.6,10,13,56.5,3,17,3,13,73.9,13,35.3,35.3,35.3,100,100,6.2,368,208,9,0,14,39.1,0,60.9
