GEOCODE_MALLA_2010,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
250mN095025E179675,35,46,19,16,84.2,9,26,74.3,5,22,8,14.3,62.9,22.9,59.1,59.1,59.1,160,62.5,1.5,2278.6,1692.7,5,4,26,14.3,11.4,74.3
250mN095025E193100,115,54.8,56,59,105.4,8,107,93,3,62,50,2.6,53.9,43.5,85.5,85.5,85.5,1666.7,6,6.2,1840,1712,6,4,105,5.2,3.5,91.3
250mN095025E193125,245,45.9,127,118,92.9,58,187,76.3,19,168,58,7.8,68.6,23.7,45.8,45.8,45.8,305.3,32.8,6.2,3920,2992,19,44,182,7.8,18,74.3
250mN095025E193150,27,56.8,18,9,50,5,22,81.5,0,18,9,0,66.7,33.3,50,50,50,,0,6.2,432,352,0,4,23,0,14.8,85.2
250mN095025E194750,51,38.8,34,17,50,,,,9,36,6,17.6,70.6,11.8,41.7,41.7,41.7,66.7,150,0.9,5387.7,,48,,,94.1,,
250mN095025E194775,31,44.8,17,14,82.4,27,4,12.9,4,20,7,12.9,64.5,22.6,55,55,55,175,57.1,5,614.4,79.3,25,,,80.6,,
250mN095025E195250,57,39.4,34,23,67.6,44,13,22.8,7,43,7,12.3,75.4,12.3,32.6,32.6,32.6,100,100,6.2,912,208,33,10,14,57.9,17.5,24.6
250mN095025E195275,727,33.3,372,355,95.4,522,205,28.2,148,534,45,20.4,73.5,6.2,36.1,36.1,36.1,30.4,328.9,6.2,11632,3280,374,121,232,51.4,16.6,31.9
250mN095025E195300,195,35.1,103,92,89.3,166,29,14.9,29,152,14,14.9,77.9,7.2,28.3,28.3,28.3,48.3,207.1,6.2,3120,464,122,36,37,62.6,18.5,19
250mN095025E195325,477,33.5,223,254,113.9,425,52,10.9,99,353,25,20.8,74,5.2,35.1,35.1,35.1,25.3,396,6.2,7632,832,322,83,72,67.5,17.4,15.1
250mN095050E179000,31,38.1,17,14,82.4,25,6,19.4,,28,,,90.3,,,,,,,6.2,496,96,13,10,8,41.9,32.3,25.8
250mN095050E179025,86,45.3,44,42,95.5,46,40,46.5,5,68,13,5.8,79.1,15.1,26.5,26.5,26.5,260,38.5,6.2,1376,640,33,10,43,38.4,11.6,50
250mN095050E179050,153,42.9,84,69,82.1,61,92,60.1,22,112,19,14.4,73.2,12.4,36.6,36.6,36.6,86.4,115.8,6.2,2448,1472,40,20,93,26.1,13.1,60.8
250mN095050E179075,106,39.8,54,52,96.3,70,36,34,9,89,8,8.5,84,7.5,19.1,19.1,19.1,88.9,112.5,6.2,1696,576,57,11,38,53.8,10.4,35.8
250mN095050E179100,97,42.2,57,40,70.2,35,62,63.9,6,80,11,6.2,82.5,11.3,21.2,21.2,21.2,183.3,54.5,6.2,1552,992,,,64,,,66
250mN095050E179125,88,41.1,51,37,72.5,53,35,39.8,7,74,7,8,84.1,8,18.9,18.9,18.9,100,100,6.2,1408,560,28,22,38,31.8,25,43.2
250mN095050E179150,38,42.1,21,17,81,22,16,42.1,3,30,5,7.9,78.9,13.2,26.7,26.7,26.7,166.7,60,6.2,608,256,16,6,16,42.1,15.8,42.1
250mN095050E179175,48,53,27,21,77.8,21,27,56.2,4,29,15,8.3,60.4,31.2,65.5,65.5,65.5,375,26.7,6.2,768,432,14,6,28,29.2,12.5,58.3
250mN095050E179200,137,45.8,75,62,82.7,73,64,46.7,7,105,25,5.1,76.6,18.2,30.5,30.5,30.5,357.1,28,6.2,2192,1024,50,15,72,36.5,10.9,52.6
250mN095050E179225,95,45.5,65,30,46.2,37,58,61.1,,81,,,85.3,,,,,,,6.2,1520,928,19,14,62,20,14.7,65.3
250mN095050E179250,127,52.3,74,53,71.6,69,58,45.7,3,86,38,2.4,67.7,29.9,47.7,47.7,47.7,1266.7,7.9,6.2,2032,928,40,25,62,31.5,19.7,48.8
250mN095050E179275,192,47.8,124,68,54.8,77,115,59.9,5,151,36,2.6,78.6,18.8,27.2,27.2,27.2,720,13.9,6.2,3072,1840,43,22,127,22.4,11.5,66.1
250mN095050E179300,191,51.3,95,96,101.1,81,110,57.6,9,128,54,4.7,67,28.3,49.2,49.2,49.2,600,16.7,6.2,3056,1760,50,21,120,26.2,11,62.8
250mN095050E179325,87,42.1,50,37,74,34,53,60.9,6,73,8,6.9,83.9,9.2,19.2,19.2,19.2,133.3,75,6.2,1392,848,20,11,56,23,12.6,64.4
250mN095050E179350,241,47.7,135,106,78.5,91,150,62.2,16,163,62,6.6,67.6,25.7,47.9,47.9,47.9,387.5,25.8,6.2,3856,2400,57,30,154,23.7,12.4,63.9
250mN095050E179375,87,47.6,45,42,93.3,44,43,49.4,4,64,19,4.6,73.6,21.8,35.9,35.9,35.9,475,21.1,6.2,1392,688,20,22,45,23,25.3,51.7
250mN095050E179400,214,45.8,109,105,96.3,72,142,66.4,11,159,44,5.1,74.3,20.6,34.6,34.6,34.6,400,25,6.1,3483.2,2311.3,41,19,154,19.2,8.9,72
250mN095050E179425,24,39.9,18,6,33.3,13,11,45.8,,20,,,83.3,,,,,,,6.2,388.8,178.2,11,,,45.8,,
250mN095050E179450,45,52.1,23,22,95.7,21,24,53.3,3,31,11,6.7,68.9,24.4,45.2,45.2,45.2,366.7,27.3,5.5,821.9,438.3,17,5,23,37.8,11.1,51.1
250mN095050E179475,20,50.2,12,8,66.7,9,11,55,,15,,,75,,,,,,,5.2,381.4,209.7,,,11,,,55
250mN095050E179500,59,47.9,31,28,90.3,28,31,52.5,4,38,17,6.8,64.4,28.8,55.3,55.3,55.3,425,23.5,5.1,1161.4,610.2,25,4,30,42.4,6.8,50.8
250mN095050E179525,25,49.3,13,12,92.3,7,18,72,3,15,7,12,60,28,66.7,66.7,66.7,233.3,42.9,4.1,608.3,438,5,4,16,20,16,64
250mN095050E179550,157,50.3,80,77,96.2,50,107,68.2,13,93,51,8.3,59.2,32.5,68.8,68.8,68.8,392.3,25.5,6.1,2573.4,1753.9,34,14,109,21.7,8.9,69.4
250mN095050E179575,153,49,79,74,93.7,37,116,75.8,6,111,36,3.9,72.5,23.5,37.8,37.8,37.8,600,16.7,6.2,2448,1856,24,11,118,15.7,7.2,77.1
250mN095050E179600,20,40.1,14,6,42.9,6,14,70,,19,,,95,,,,,,,6,332.9,233,,,14,,,70
250mN095050E179650,184,53.9,94,90,95.7,72,112,60.9,7,106,71,3.8,57.6,38.6,73.6,73.6,73.6,1014.3,9.9,6,3088,1879.7,39,25,120,21.2,13.6,65.2
250mN095050E179675,196,44.3,102,94,92.2,94,102,52,13,153,30,6.6,78.1,15.3,28.1,28.1,28.1,230.8,43.3,6.2,3147,1637.7,50,36,110,25.5,18.4,56.1
250mN095050E179700,20,58.3,10,10,100,5,15,75,,,12,,,60,,,,,,2.3,853.4,640,,,15,,,75
250mN095050E180625,123,39.9,70,53,75.7,117,6,4.9,10,99,14,8.1,80.5,11.4,24.2,24.2,24.2,140,71.4,3.9,3156.5,154,111,5,7,90.2,4.1,5.7
250mN095050E193100,51,43.2,29,22,75.9,11,40,78.4,4,36,11,7.8,70.6,21.6,41.7,41.7,41.7,275,36.4,6.2,816,640,8,3,40,15.7,5.9,78.4
250mN095050E193125,70,56.4,39,31,79.5,17,53,75.7,0,40,30,0,57.1,42.9,75,75,75,,0,6.2,1120,848,4,12,54,5.7,17.1,77.1
250mN095050E193150,178,44,99,79,79.8,59,119,66.9,9,138,31,5.1,77.5,17.4,29,29,29,344.4,29,6.2,2848,1904,8,47,123,4.5,26.4,69.1
250mN095050E193175,35,49.3,17,18,105.9,7,28,80,,28,,,80,,,,,,,6.2,560,448,,,29,,,82.9
250mN095050E194325,81,40.8,41,40,97.6,72,9,11.1,9,59,13,11.1,72.8,16,37.3,37.3,37.3,144.4,69.2,4.2,1951.2,216.8,65,8,8,80.2,9.9,9.9
250mN095050E194725,11,54.9,6,5,83.3,0,11,100,,6,,,54.5,,,,,,,6.2,176,176,0,0,11,0,0,100
250mN095050E194750,90,42.2,43,47,109.3,66,24,26.7,14,61,15,15.6,67.8,16.7,47.5,47.5,47.5,107.1,93.3,6.2,1440,384,64,4,22,71.1,4.4,24.4
250mN095050E195275,481,31.4,244,237,97.1,362,119,24.7,103,367,11,21.4,76.3,2.3,31.1,31.1,31.1,10.7,936.4,6.2,7696,1904,272,75,134,56.5,15.6,27.9
250mN095050E195325,188,28.5,84,104,123.8,162,26,13.8,57,127,4,30.3,67.6,2.1,48,48,48,7,1425,6.2,3008,416,96,49,43,51.1,26.1,22.9
250mN095050E195625,65,33.4,32,33,103.1,21,44,67.7,,56,,,86.2,,,,,,,3.5,1836.2,1243,11,12,42,16.9,18.5,64.6
250mN095050E195650,33,44.3,16,17,106.2,16,17,51.5,8,15,10,24.2,45.5,30.3,120,120,120,125,80,2.1,1594.8,821.6,14,3,16,42.4,9.1,48.5
250mN095050E195675,215,41.2,106,109,102.8,177,38,17.7,38,140,37,17.7,65.1,17.2,53.6,53.6,53.6,97.4,102.7,4.7,4578,809.1,155,18,42,72.1,8.4,19.5
250mN095075E178725,45,53.6,28,17,60.7,6,39,86.7,,29,,,64.4,,,,,,,4.1,1109.7,961.7,4,4,37,8.9,8.9,82.2
250mN095075E178750,235,45.8,111,124,111.7,130,105,44.7,20,179,36,8.5,76.2,15.3,31.3,31.3,31.3,180,55.6,3.5,6744.3,3013.4,112,16,107,47.7,6.8,45.5
250mN095075E178775,42,41,20,22,110,14,28,66.7,8,28,6,19,66.7,14.3,50,50,50,75,133.3,2.8,1521.7,1014.5,11,3,28,26.2,7.1,66.7
250mN095075E178900,45,37,21,24,114.3,33,12,26.7,8,34,3,17.8,75.6,6.7,32.4,32.4,32.4,37.5,266.7,6.2,720,192,33,,,73.3,,
250mN095075E179025,29,39.1,12,17,141.7,15,14,48.3,,26,,,89.7,,,,,,,6.2,464,224,10,4,15,34.5,13.8,51.7
250mN095075E179050,99,50.2,58,41,70.7,24,75,75.8,9,64,26,9.1,64.6,26.3,54.7,54.7,54.7,288.9,34.6,6.2,1584,1200,18,8,73,18.2,8.1,73.7
250mN095075E179100,106,42.5,58,48,82.8,46,60,56.6,17,75,14,16,70.8,13.2,41.3,41.3,41.3,82.4,121.4,6.2,1696,960,32,14,60,30.2,13.2,56.6
250mN095075E179125,320,36.4,176,144,81.8,162,158,49.4,28,274,18,8.8,85.6,5.6,16.8,16.8,16.8,64.3,155.6,6.2,5120,2528,102,50,168,31.9,15.6,52.5
250mN095075E179150,17,50.7,8,9,112.5,10,7,41.2,,14,,,82.4,,,,,,,6.2,272,112,5,3,9,29.4,17.6,52.9
250mN095075E179175,48,47.6,22,26,118.2,20,28,58.3,4,33,11,8.3,68.8,22.9,45.5,45.5,45.5,275,36.4,6.2,768,448,18,3,27,37.5,6.2,56.2
250mN095075E179225,195,42.3,103,92,89.3,106,89,45.6,15,157,23,7.7,80.5,11.8,24.2,24.2,24.2,153.3,65.2,6.2,3120,1424,62,27,106,31.8,13.8,54.4
250mN095075E179275,150,51.1,91,59,64.8,52,98,65.3,9,101,40,6,67.3,26.7,48.5,48.5,48.5,444.4,22.5,6.2,2400,1568,27,21,102,18,14,68
250mN095075E179300,135,43.2,85,50,58.8,70,65,48.1,11,102,22,8.1,75.6,16.3,32.4,32.4,32.4,200,50,6.2,2160,1040,46,22,67,34.1,16.3,49.6
250mN095075E179450,121,37.2,74,47,63.5,74,47,38.8,6,112,3,5,92.6,2.5,8,8,8,50,200,6.2,1936,752,60,7,54,49.6,5.8,44.6
250mN095075E179475,227,54.5,112,115,102.7,82,145,63.9,11,126,90,4.8,55.5,39.6,80.2,80.2,80.2,818.2,12.2,6.2,3632,2320,45,26,156,19.8,11.5,68.7
250mN095075E179500,579,44.4,304,275,90.5,289,290,50.1,59,415,105,10.2,71.7,18.1,39.5,39.5,39.5,178,56.2,6.2,9264,4640,192,80,307,33.2,13.8,53
250mN095075E179525,110,51.5,54,56,103.7,40,70,63.6,3,73,34,2.7,66.4,30.9,50.7,50.7,50.7,1133.3,8.8,6.2,1760,1120,25,11,74,22.7,10,67.3
250mN095075E179600,185,54.5,92,93,101.1,34,151,81.6,15,95,75,8.1,51.4,40.5,94.7,94.7,94.7,500,20,6.2,2960,2416,14,14,157,7.6,7.6,84.9
250mN095075E179625,43,56,27,16,59.3,14,29,67.4,,21,,,48.8,,,,,,,6.2,688,464,9,0,34,20.9,0,79.1
250mN095075E179700,130,49.7,68,62,91.2,54,76,58.5,7,84,39,5.4,64.6,30,54.8,54.8,54.8,557.1,17.9,6.2,2080,1216,42,11,77,32.3,8.5,59.2
250mN095075E179725,144,44.9,73,71,97.3,71,73,50.7,11,104,29,7.6,72.2,20.1,38.5,38.5,38.5,263.6,37.9,5.9,2438.9,1236.4,63,5,76,43.8,3.5,52.8
250mN095075E179750,117,46.5,62,55,88.7,65,52,44.4,3,97,17,2.6,82.9,14.5,20.6,20.6,20.6,566.7,17.6,3.1,3789.7,1684.3,42,15,60,35.9,12.8,51.3
250mN095075E193150,36,45.6,15,21,140,11,25,69.4,4,25,7,11.1,69.4,19.4,44,44,44,175,57.1,6.2,576,400,,,25,,,69.4
250mN095075E193900,58,31.8,30,28,93.3,54,4,6.9,12,43,3,20.7,74.1,5.2,34.9,34.9,34.9,25,400,6.2,928,64,32,21,5,55.2,36.2,8.6
250mN095075E193925,41,32.1,24,17,70.8,27,14,34.1,7,34,0,17.1,82.9,0,20.6,20.6,20.6,0,,6,678.5,231.7,15,12,14,36.6,29.3,34.1
250mN095075E193950,339,36.5,182,157,86.3,269,70,20.6,41,271,27,12.1,79.9,8,25.1,25.1,25.1,65.9,151.9,4.1,8181.1,1689.3,238,31,70,70.2,9.1,20.6
250mN095075E193975,260,33.9,153,107,69.9,136,124,47.7,42,208,10,16.2,80,3.8,25,25,25,23.8,420,4.8,5421.7,2585.8,93,53,114,35.8,20.4,43.8
250mN095075E194300,161,35.3,94,67,71.3,118,43,26.7,23,129,9,14.3,80.1,5.6,24.8,24.8,24.8,39.1,255.6,5.9,2710.3,723.9,82,24,55,50.9,14.9,34.2
250mN095075E194325,227,35.9,110,117,106.4,176,51,22.5,43,164,20,18.9,72.2,8.8,38.4,38.4,38.4,46.5,215,6.2,3632,816,153,25,49,67.4,11,21.6
250mN095075E194700,78,48.6,39,39,100,26,52,66.7,4,57,17,5.1,73.1,21.8,36.8,36.8,36.8,425,23.5,6.2,1248,832,17,6,55,21.8,7.7,70.5
250mN095075E194725,90,41.9,50,40,80,74,16,17.8,14,62,14,15.6,68.9,15.6,45.2,45.2,45.2,100,100,6.2,1440,256,68,5,17,75.6,5.6,18.9
250mN095075E195325,14,24.2,10,4,40,,,,5,9,0,35.7,64.3,0,55.6,55.6,55.6,0,,6.2,224,,8,,,57.1,,
250mN095075E195650,65,43.7,38,27,71.1,31,34,52.3,11,38,16,16.9,58.5,24.6,71.1,71.1,71.1,145.5,68.8,6.2,1040,544,21,6,38,32.3,9.2,58.5
250mN095075E195675,182,34.7,100,82,82,150,32,17.6,34,138,10,18.7,75.8,5.5,31.9,31.9,31.9,29.4,340,6.2,2912,512,129,20,33,70.9,11,18.1
250mN095075E195700,75,36.6,36,39,108.3,68,7,9.3,10,59,6,13.3,78.7,8,27.1,27.1,27.1,60,166.7,6.2,1200,112,59,7,9,78.7,9.3,12
250mN095100E178750,48,43.6,27,21,77.8,21,27,56.2,5,33,10,10.4,68.8,20.8,45.5,45.5,45.5,200,50,6.2,768,432,12,5,31,25,10.4,64.6
250mN095100E178775,31,48.2,16,15,93.8,14,17,54.8,,25,,,80.6,,,,,,,6.2,496,272,,,20,,,64.5
250mN095100E178875,65,44.4,34,31,91.2,42,23,35.4,7,47,11,10.8,72.3,16.9,38.3,38.3,38.3,157.1,63.6,6.2,1040,368,42,3,20,64.6,4.6,30.8
250mN095100E178900,53,41.9,30,23,76.7,42,11,20.8,10,35,8,18.9,66,15.1,51.4,51.4,51.4,80,125,6.2,848,176,36,,,67.9,,
250mN095100E178925,380,35.2,204,176,86.3,209,171,45,67,296,17,17.6,77.9,4.5,28.4,28.4,28.4,25.4,394.1,6.2,6080,2736,170,40,170,44.7,10.5,44.7
250mN095100E178950,79,40.9,41,38,92.7,53,26,32.9,5,67,7,6.3,84.8,8.9,17.9,17.9,17.9,140,71.4,6.2,1264,416,40,11,28,50.6,13.9,35.4
250mN095100E178975,222,37.9,121,101,83.5,166,56,25.2,31,176,15,14,79.3,6.8,26.1,26.1,26.1,48.4,206.7,6.2,3552,896,119,45,58,53.6,20.3,26.1
250mN095100E179000,302,42.5,158,144,91.1,157,145,48,33,231,38,10.9,76.5,12.6,30.7,30.7,30.7,115.2,86.8,6.2,4832,2320,111,42,149,36.8,13.9,49.3
250mN095100E179075,69,43.5,35,34,97.1,46,23,33.3,5,56,8,7.2,81.2,11.6,23.2,23.2,23.2,160,62.5,6.2,1104,368,24,19,26,34.8,27.5,37.7
250mN095100E179100,66,36.7,35,31,88.6,56,10,15.2,,55,,,83.3,,,,,,,6.2,1056,160,45,9,12,68.2,13.6,18.2
250mN095100E179125,44,44.7,22,22,100,23,21,47.7,4,32,8,9.1,72.7,18.2,37.5,37.5,37.5,200,50,6.2,704,336,20,3,21,45.5,6.8,47.7
250mN095100E179175,71,52.5,42,29,69,23,48,67.6,,50,,,70.4,,,,,,,6.2,1136,768,13,9,49,18.3,12.7,69
250mN095100E179200,446,49.3,233,213,91.4,159,287,64.3,16,340,90,3.6,76.2,20.2,31.2,31.2,31.2,562.5,17.8,6.2,7136,4592,98,56,292,22,12.6,65.5
250mN095100E179225,631,40,327,304,93,326,305,48.3,81,484,66,12.8,76.7,10.5,30.4,30.4,30.4,81.5,122.7,6.2,10096,4880,195,97,339,30.9,15.4,53.7
250mN095100E179250,1307,36.3,732,575,78.6,597,710,54.3,189,1028,90,14.5,78.7,6.9,27.1,27.1,27.1,47.6,210,6.2,20912,11360,393,122,792,30.1,9.3,60.6
250mN095100E179275,209,33.6,118,91,77.1,117,92,44,42,147,20,20.1,70.3,9.6,42.2,42.2,42.2,47.6,210,6.2,3344,1472,90,28,91,43.1,13.4,43.5
250mN095100E179300,165,40.5,112,53,47.3,56,109,66.1,13,139,13,7.9,84.2,7.9,18.7,18.7,18.7,100,100,6.2,2640,1744,20,27,118,12.1,16.4,71.5
250mN095100E179325,516,34.8,250,266,106.4,505,11,2.1,64,427,25,12.4,82.8,4.8,20.8,20.8,20.8,39.1,256,6.2,8256,176,451,37,28,87.4,7.2,5.4
250mN095100E179575,78,51.3,42,36,85.7,23,55,70.5,7,46,25,9,59,32.1,69.6,69.6,69.6,357.1,28,6.2,1248,880,14,8,56,17.9,10.3,71.8
250mN095100E179600,26,40.7,14,12,85.7,10,16,61.5,3,20,3,11.5,76.9,11.5,30,30,30,100,100,6.2,416,256,7,3,16,26.9,11.5,61.5
250mN095100E179625,31,48.7,15,16,106.7,17,14,45.2,,27,,,87.1,,,,,,,6.2,496,224,12,3,16,38.7,9.7,51.6
250mN095100E179650,17,44.3,8,9,112.5,6,11,64.7,,13,,,76.5,,,,,,,6.2,272,176,6,0,11,35.3,0,64.7
250mN095100E179800,47,42.9,27,20,74.1,32,15,31.9,3,39,5,6.4,83,10.6,20.5,20.5,20.5,166.7,60,5.9,796.4,254.2,16,11,20,34,23.4,42.6
250mN095100E179875,13,49.9,8,5,62.5,6,7,53.8,0,10,3,0,76.9,23.1,30,30,30,,0,4.2,307,165.3,,,9,,,69.2
250mN095100E179900,25,40,13,12,92.3,9,16,64,,20,,,80,,,,,,,6,418,267.5,4,5,16,16,20,64
250mN095100E180425,599,41.3,298,301,101,578,21,3.5,82,414,103,13.7,69.1,17.2,44.7,44.7,44.7,125.6,79.6,6.2,9584.3,336,563,12,24,94,2,4
250mN095100E180450,653,42.3,337,316,93.8,609,44,6.7,93,443,117,14.2,67.8,17.9,47.4,47.4,47.4,125.8,79.5,6.2,10448,704,587,18,48,89.9,2.8,7.4
250mN095100E180475,382,36.8,189,193,102.1,318,64,16.8,70,276,36,18.3,72.3,9.4,38.4,38.4,38.4,51.4,194.4,6.2,6112,1024,289,29,64,75.7,7.6,16.8
250mN095100E180500,273,37.8,143,130,90.9,175,98,35.9,44,218,11,16.1,79.9,4,25.2,25.2,25.2,25,400,6.2,4368,1568,133,28,112,48.7,10.3,41
250mN095100E180525,45,33.6,21,24,114.3,23,22,48.9,15,27,3,33.3,60,6.7,66.7,66.7,66.7,20,500,6.2,720,352,23,,,51.1,,
250mN095100E193150,523,40.1,276,247,89.5,155,368,70.4,59,393,71,11.3,75.1,13.6,33.1,33.1,33.1,120.3,83.1,6.2,8368,5888,68,84,371,13,16.1,70.9
250mN095100E193225,62,38,44,18,40.9,31,31,50,,61,,,98.4,,,,,,,6.2,992,496,3,23,36,4.8,37.1,58.1
250mN095100E193250,17,44.3,9,8,88.9,7,10,58.8,,13,,,76.5,,,,,,,6.2,272,160,,,11,,,64.7
250mN095100E193325,109,37.4,52,57,109.6,35,74,67.9,12,90,7,11,82.6,6.4,21.1,21.1,21.1,58.3,171.4,6.2,1744,1184,17,22,70,15.6,20.2,64.2
250mN095100E193925,55,30.3,32,23,71.9,35,20,36.4,,39,,,70.9,,,,,,,6.2,880,320,22,13,20,40,23.6,36.4
250mN095100E193950,661,32.6,350,311,88.9,366,295,44.6,125,516,20,18.9,78.1,3,28.1,28.1,28.1,16,625,6.2,10576,4720,251,116,294,38,17.5,44.5
250mN095100E193975,23,27.5,16,7,43.8,6,17,73.9,,15,,,65.2,,,,,,,6.2,368,272,9,0,14,39.1,0,60.9
250mN095100E194325,13,42.4,9,4,44.4,4,9,69.2,0,13,0,0,100,0,0,0,0,,,6.2,208,144,4,0,9,30.8,0,69.2
250mN095100E194675,15,62.7,9,6,66.7,0,15,100,0,6,9,0,40,60,150,150,150,,0,6.2,240,240,0,0,15,0,0,100
250mN095100E194700,48,58.9,26,22,84.6,7,41,85.4,0,28,20,0,58.3,41.7,71.4,71.4,71.4,,0,6.2,768,656,3,3,42,6.2,6.2,87.5
250mN095100E195675,48,31.6,19,29,152.6,43,5,10.4,,35,,,72.9,,,,,,,6.2,768,80,37,4,7,77.1,8.3,14.6
250mN095100E195700,50,33.4,25,25,100,46,4,8,,34,,,68,,,,,,,6.2,800,64,40,4,6,80,8,12
250mN095100E195725,126,32.5,63,63,100,118,8,6.3,34,86,6,27,68.3,4.8,46.5,46.5,46.5,17.6,566.7,6.2,2016,128,92,25,9,73,19.8,7.1
250mN095125E178950,136,35,71,65,91.5,94,42,30.9,30,97,9,22.1,71.3,6.6,40.2,40.2,40.2,30,333.3,6.2,2176,672,65,19,52,47.8,14,38.2
250mN095125E178975,941,40.6,490,451,92,512,429,45.6,110,716,115,11.7,76.1,12.2,31.4,31.4,31.4,104.5,95.7,6.2,15056,6864,342,122,477,36.3,13,50.7
250mN095125E179000,314,39,163,151,92.6,175,139,44.3,32,250,32,10.2,79.6,10.2,25.6,25.6,25.6,100,100,6.2,5024,2224,115,51,148,36.6,16.2,47.1
250mN095125E179125,115,39.5,61,54,88.5,57,58,50.4,12,93,10,10.4,80.9,8.7,23.7,23.7,23.7,83.3,120,6.2,1840,928,42,8,65,36.5,7,56.5
250mN095125E179200,500,42.8,261,239,91.6,408,92,18.4,50,374,76,10,74.8,15.2,33.7,33.7,33.7,152,65.8,6.2,8000,1472,353,31,116,70.6,6.2,23.2
250mN095125E179225,1016,38.4,559,457,81.8,636,380,37.4,123,796,97,12.1,78.3,9.5,27.6,27.6,27.6,78.9,126.8,6.2,16256,6080,441,130,445,43.4,12.8,43.8
250mN095125E179250,1689,39,917,772,84.2,1106,583,34.5,212,1277,200,12.6,75.6,11.8,32.3,32.3,32.3,94.3,106,6.2,27024,9328,887,165,637,52.5,9.8,37.7
250mN095125E179275,971,35.1,506,465,91.9,646,325,33.5,175,734,62,18,75.6,6.4,32.3,32.3,32.3,35.4,282.3,6.2,15536,5200,473,123,375,48.7,12.7,38.6
250mN095125E179300,344,39.5,173,171,98.8,216,128,37.2,35,280,29,10.2,81.4,8.4,22.9,22.9,22.9,82.9,120.7,6.2,5504,2048,164,35,145,47.7,10.2,42.2
250mN095125E179325,72,40.7,41,31,75.6,29,43,59.7,8,59,5,11.1,81.9,6.9,22,22,22,62.5,160,6.2,1152,688,19,5,48,26.4,6.9,66.7
250mN095125E179600,42,36.1,19,23,121.1,37,5,11.9,13,23,6,31,54.8,14.3,82.6,82.6,82.6,46.2,216.7,6.2,672,80,29,6,7,69,14.3,16.7
250mN095125E179625,31,39.1,22,9,40.9,19,12,38.7,4,24,3,12.9,77.4,9.7,29.2,29.2,29.2,75,133.3,6.2,496,192,14,3,14,45.2,9.7,45.2
250mN095125E179850,92,38.3,53,39,73.6,45,47,51.1,9,78,5,9.8,84.8,5.4,17.9,17.9,17.9,55.6,180,6.2,1472,752,29,17,46,31.5,18.5,50
250mN095125E179875,29,36.9,14,15,107.1,10,19,65.5,5,21,3,17.2,72.4,10.3,38.1,38.1,38.1,60,166.7,6.2,464,304,,,20,,,69
250mN095125E180425,256,34.5,130,126,96.9,250,6,2.3,42,207,7,16.4,80.9,2.7,23.7,23.7,23.7,16.7,600,6.2,4096,96,240,6,10,93.8,2.3,3.9
250mN095125E180450,609,36.4,295,314,106.4,588,21,3.4,96,460,53,15.8,75.5,8.7,32.4,32.4,32.4,55.2,181.1,6.2,9744,336,556,21,32,91.3,3.4,5.3
250mN095125E180475,59,36,34,25,73.5,,,,11,41,7,18.6,69.5,11.9,43.9,43.9,43.9,63.6,157.1,6.2,944,,58,,,98.3,,
250mN095125E193125,72,46.9,36,36,100,16,56,77.8,3,55,14,4.2,76.4,19.4,30.9,30.9,30.9,466.7,21.4,6.2,1152,896,4,12,56,5.6,16.7,77.8
250mN095125E193150,463,38.8,248,215,86.7,221,242,52.3,71,337,55,15.3,72.8,11.9,37.4,37.4,37.4,77.5,129.1,6.2,7408,3872,115,95,253,24.8,20.5,54.6
250mN095125E193175,434,37.6,254,180,70.9,127,307,70.7,69,311,54,15.9,71.7,12.4,39.5,39.5,39.5,78.3,127.8,6.2,6944,4912,72,64,298,16.6,14.7,68.7
250mN095125E193200,18,43.1,12,6,50,11,7,38.9,,17,,,94.4,,,,,,,6.2,288,112,,10,,,55.6,
250mN095125E193975,43,32,28,15,53.6,19,24,55.8,6,37,0,14,86,0,16.2,16.2,16.2,0,,6.2,688,384,9,9,25,20.9,20.9,58.1
250mN095125E194250,17,22.7,11,6,54.5,7,10,58.8,7,10,0,41.2,58.8,0,70,70,70,0,,6.2,272,160,8,,,47.1,,
250mN095125E194275,85,36.7,37,48,129.7,56,29,34.1,21,59,5,24.7,69.4,5.9,44.1,44.1,44.1,23.8,420,6.2,1360,464,35,18,32,41.2,21.2,37.6
250mN095125E194300,56,46.9,30,26,86.7,30,26,46.4,3,44,9,5.4,78.6,16.1,27.3,27.3,27.3,300,33.3,6.2,896,416,12,8,36,21.4,14.3,64.3
