GEOCODE,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
250mN105875E174075,52,46.5,31,21,67.7,,,,5,36,11,9.6,69.2,21.2,44.4,44.4,44.4,220,45.5,6.2,832,,51,,,98.1,,
250mN105875E174100,140,45.3,68,72,105.9,140,0,0,13,94,33,9.3,67.1,23.6,48.9,48.9,48.9,253.8,39.4,6.2,2240,0,138,,,98.6,,
250mN105875E174175,273,39.9,151,122,80.8,252,21,7.7,41,206,26,15,75.5,9.5,32.5,32.5,32.5,63.4,157.7,6.2,4368,336,214,26,33,78.4,9.5,12.1
250mN105900E173800,12,44.9,5,7,140,8,4,33.3,,10,,,83.3,,,,,,,6.2,192,64,6,0,6,50,0,50
250mN105900E174100,96,41.2,50,46,92,,,,12,73,11,12.5,76,11.5,31.5,31.5,31.5,91.7,109.1,6.2,1536,,94,,,97.9,,
250mN105900E174175,84,41.1,39,45,115.4,81,3,3.6,11,64,9,13.1,76.2,10.7,31.2,31.2,31.2,81.8,122.2,6.2,1345.7,48.1,66,12,6,78.6,14.3,7.1
250mN105900E174200,32,42.2,19,13,68.4,,,,6,22,4,18.8,68.8,12.5,45.5,45.5,45.5,66.7,150,6.2,512,,20,8,4,62.5,25,12.5
250mN105900E174225,75,34.1,38,37,97.4,72,3,4,20,51,4,26.7,68,5.3,47.1,47.1,47.1,20,500,6.2,1200,48,52,9,14,69.3,12,18.7
250mN105900E174250,46,39.7,25,21,84,43,3,6.5,7,33,6,15.2,71.7,13,39.4,39.4,39.4,85.7,116.7,6.2,736,48,33,3,10,71.7,6.5,21.7
250mN105900E174300,37,52.9,15,22,146.7,34,3,8.1,,25,,,67.6,,,,,,,6.2,592,48,27,4,6,73,10.8,16.2
250mN105900E174325,95,47.2,57,38,66.7,65,30,31.6,11,58,26,11.6,61.1,27.4,63.8,63.8,63.8,236.4,42.3,6.2,1520,480,53,11,31,55.8,11.6,32.6
250mN105900E174350,222,40.6,118,104,88.1,190,32,14.4,34,163,25,15.3,73.4,11.3,36.2,36.2,36.2,73.5,136,6.2,3552,512,157,24,41,70.7,10.8,18.5
250mN105925E173750,74,39.4,41,33,80.5,,,,10,59,5,13.5,79.7,6.8,25.4,25.4,25.4,50,200,5,1491.7,,68,,,91.9,,
250mN105925E173775,22,34.8,10,12,120,22,0,0,5,14,3,22.7,63.6,13.6,57.1,57.1,57.1,60,166.7,6.2,355.3,0,22,0,0,100,0,0
250mN105925E174025,20,46.5,8,12,150,20,0,0,,16,,,80,,,,,,,5.5,361.9,0,18,,,90,,
250mN105925E174200,64,39.7,26,38,146.2,59,5,7.8,12,47,5,18.8,73.4,7.8,36.2,36.2,36.2,41.7,240,6.2,1024,80,48,9,7,75,14.1,10.9
250mN105925E174225,143,41.7,70,73,104.3,127,16,11.2,25,95,23,17.5,66.4,16.1,50.5,50.5,50.5,92,108.7,5.3,2705.7,302.7,102,17,24,71.3,11.9,16.8
250mN105925E174250,275,41.4,132,143,108.3,235,40,14.5,43,190,42,15.6,69.1,15.3,44.7,44.7,44.7,97.7,102.4,6,4593.2,668.1,191,30,54,69.5,10.9,19.6
250mN105925E174275,606,43.9,290,316,109,542,64,10.6,64,434,108,10.6,71.6,17.8,39.6,39.6,39.6,168.8,59.3,6.2,9696,1024,479,36,91,79,5.9,15
250mN105925E174300,129,45.8,65,64,98.5,113,16,12.4,15,88,26,11.6,68.2,20.2,46.6,46.6,46.6,173.3,57.7,6.2,2064,256,98,8,23,76,6.2,17.8
250mN105925E174325,258,42.4,133,125,94,210,48,18.6,37,177,44,14.3,68.6,17.1,45.8,45.8,45.8,118.9,84.1,6.2,4155,773,173,23,62,67.1,8.9,24
250mN105925E174350,82,45,40,42,105,65,17,20.7,7,61,14,8.5,74.4,17.1,34.4,34.4,34.4,200,50,4.2,1963.4,407,41,19,22,50,23.2,26.8
250mN105950E173800,37,35.7,21,16,76.2,,,,7,30,0,18.9,81.1,0,23.3,23.3,23.3,0,,3.2,1143,,36,,,97.3,,
250mN105950E174300,104,44.1,57,47,82.5,91,13,12.5,10,75,19,9.6,72.1,18.3,38.7,38.7,38.7,190,52.6,3.3,3156.5,394.6,63,16,25,60.6,15.4,24
250mN105950E174450,21,50.2,13,8,61.5,21,0,0,,15,,,71.4,,,,,,,6.2,336,0,20,,,95.2,,
250mN105950E174550,29,48.8,14,15,107.1,29,0,0,,21,,,72.4,,,,,,,6.2,464,0,29,0,0,100,0,0
250mN105975E174425,94,52.5,51,43,84.3,89,5,5.3,,66,,,70.2,,,,,,,5.2,1819.9,96.8,79,7,8,84,7.4,8.5
250mN105975E174450,112,51.1,64,48,75,112,0,0,8,71,33,7.1,63.4,29.5,57.7,57.7,57.7,412.5,24.2,6.2,1792,0,107,,,95.5,,
250mN105975E174525,50,54,26,24,92.3,50,0,0,,30,,,60,,,,,,,6.2,800,0,48,,,96,,
