GEOCODE,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
250mN095125E179875,27,39,15,12,80,12,15,55.6,3,24,0,11.1,88.9,0,12.5,12.5,12.5,0,,6.2,432,240,7,3,17,25.9,11.1,63
250mN095125E180425,333,37.1,166,167,100.6,330,3,0.9,56,255,22,16.8,76.6,6.6,30.6,30.6,30.6,39.3,254.5,6.2,5328,48,311,8,14,93.4,2.4,4.2
250mN095125E180450,737,36.5,371,366,98.7,707,30,4.1,130,536,71,17.6,72.7,9.6,37.5,37.5,37.5,54.6,183.1,6.2,11792,480,665,26,46,90.2,3.5,6.2
250mN095125E180475,49,40.8,26,23,88.5,49,0,0,7,36,6,14.3,73.5,12.2,36.1,36.1,36.1,85.7,116.7,6.2,784,0,48,,,98,,
250mN095125E193125,48,46.9,20,28,140,10,38,79.2,5,32,11,10.4,66.7,22.9,50,50,50,220,45.5,6.2,768,608,5,4,39,10.4,8.3,81.2
250mN095125E193150,401,39.2,212,189,89.2,238,163,40.6,64,295,42,16,73.6,10.5,35.9,35.9,35.9,65.6,152.4,6.2,6416,2608,109,103,189,27.2,25.7,47.1
250mN095125E193175,287,34.3,161,126,78.3,143,144,50.2,64,200,23,22.3,69.7,8,43.5,43.5,43.5,35.9,278.3,6.2,4592,2304,70,41,176,24.4,14.3,61.3
250mN095125E193975,83,35.2,50,33,66,67,16,19.3,15,64,4,18.1,77.1,4.8,29.7,29.7,29.7,26.7,375,6.2,1328,256,30,25,28,36.1,30.1,33.7
250mN095125E194250,18,37.4,12,6,50,8,10,55.6,,13,,,72.2,,,,,,,6.2,288,160,,,10,,,55.6
250mN095125E194275,95,38.2,45,50,111.1,62,33,34.7,20,63,12,21.1,66.3,12.6,50.8,50.8,50.8,60,166.7,6.2,1520,528,46,12,37,48.4,12.6,38.9
250mN095125E194300,85,38.7,48,37,77.1,58,27,31.8,18,54,13,21.2,63.5,15.3,57.4,57.4,57.4,72.2,138.5,6.2,1360,432,40,6,39,47.1,7.1,45.9
250mN095150E178750,57,44.4,28,29,103.6,44,13,22.8,3,47,7,5.3,82.5,12.3,21.3,21.3,21.3,233.3,42.9,6.2,912,208,33,10,14,57.9,17.5,24.6
250mN095150E178875,152,33.8,76,76,100,122,30,19.7,29,116,7,19.1,76.3,4.6,31,31,31,24.1,414.3,6.2,2432,480,102,14,36,67.1,9.2,23.7
250mN095150E179000,319,39.1,154,165,107.1,202,117,36.7,36,261,22,11.3,81.8,6.9,22.2,22.2,22.2,61.1,163.6,6.2,5104,1872,131,49,139,41.1,15.4,43.6
250mN095150E179025,273,41.3,143,130,90.9,168,105,38.5,25,213,35,9.2,78,12.8,28.2,28.2,28.2,140,71.4,6.2,4368,1680,101,45,127,37,16.5,46.5
250mN095150E179100,70,39.8,42,28,66.7,45,25,35.7,,62,,,88.6,,,,,,,6.2,1120,400,31,8,31,44.3,11.4,44.3
250mN095150E179125,179,41.2,85,94,110.6,110,69,38.5,25,137,17,14,76.5,9.5,30.7,30.7,30.7,68,147.1,6.2,2864,1104,94,14,71,52.5,7.8,39.7
250mN095150E179150,437,45.1,223,214,96,357,80,18.3,48,296,93,11,67.7,21.3,47.6,47.6,47.6,193.8,51.6,6.2,6992,1280,281,69,87,64.3,15.8,19.9
250mN095150E179175,135,44.4,70,65,92.9,91,44,32.6,12,97,26,8.9,71.9,19.3,39.2,39.2,39.2,216.7,46.2,6.2,2160,704,79,11,45,58.5,8.1,33.3
250mN095150E179225,1548,37,841,707,84.1,996,552,35.7,270,1156,122,17.4,74.7,7.9,33.9,33.9,33.9,45.2,221.3,6.2,24768,8832,648,181,719,41.9,11.7,46.4
250mN095150E179250,1281,40.4,635,646,101.7,1012,269,21,176,947,158,13.7,73.9,12.3,35.3,35.3,35.3,89.8,111.4,6.2,20496,4304,729,138,414,56.9,10.8,32.3
250mN095150E179275,283,42.4,144,139,96.5,208,75,26.5,32,222,29,11.3,78.4,10.2,27.5,27.5,27.5,90.6,110.3,6.2,4528,1200,169,35,79,59.7,12.4,27.9
250mN095150E179300,184,45.5,101,83,82.2,112,72,39.1,19,132,33,10.3,71.7,17.9,39.4,39.4,39.4,173.7,57.6,6.2,2944,1152,93,17,74,50.5,9.2,40.2
250mN095150E180425,51,34.4,27,24,88.9,,,,9,42,0,17.6,82.4,0,21.4,21.4,21.4,0,,6.2,816,,42,3,6,82.4,5.9,11.8
250mN095150E180450,82,34.9,39,43,110.3,77,5,6.1,12,65,5,14.6,79.3,6.1,26.2,26.2,26.2,41.7,240,6.2,1312,80,64,0,18,78,0,22
250mN095150E193125,344,32.4,188,156,83,237,107,31.1,86,251,7,25,73,2,37.1,37.1,37.1,8.1,1228.6,6.2,5504,1712,123,90,131,35.8,26.2,38.1
250mN095150E193175,51,37.8,27,24,88.9,29,22,43.1,5,43,3,9.8,84.3,5.9,18.6,18.6,18.6,60,166.7,6.2,816,352,5,20,26,9.8,39.2,51
250mN095150E193225,153,44.2,86,67,77.9,69,84,54.9,20,106,27,13.1,69.3,17.6,44.3,44.3,44.3,135,74.1,6.2,2448,1344,25,33,95,16.3,21.6,62.1
250mN095150E193250,174,36.2,91,83,91.2,77,97,55.7,27,139,8,15.5,79.9,4.6,25.2,25.2,25.2,29.6,337.5,6.2,2784,1552,30,34,110,17.2,19.5,63.2
250mN095150E193275,517,34.3,283,234,82.7,249,268,51.8,90,410,17,17.4,79.3,3.3,26.1,26.1,26.1,18.9,529.4,6.2,8272,4288,114,100,303,22.1,19.3,58.6
250mN095150E193300,49,40.5,25,24,96,19,30,61.2,5,41,3,10.2,83.7,6.1,19.5,19.5,19.5,60,166.7,6.2,784,480,11,10,28,22.4,20.4,57.1
250mN095150E193325,141,38.9,79,62,78.5,51,90,63.8,21,110,10,14.9,78,7.1,28.2,28.2,28.2,47.6,210,6.2,2256,1440,30,25,86,21.3,17.7,61
250mN095150E194250,34,37.2,20,14,70,30,4,11.8,,22,,,64.7,,,,,,,6.2,544,64,23,7,4,67.6,20.6,11.8
250mN095150E194275,165,39.1,82,83,101.2,128,37,22.4,23,128,14,13.9,77.6,8.5,28.9,28.9,28.9,60.9,164.3,6.2,2640,592,98,19,48,59.4,11.5,29.1
250mN095150E194300,203,40.2,105,98,93.3,136,67,33,31,146,26,15.3,71.9,12.8,39,39,39,83.9,119.2,6.2,3248,1072,92,36,75,45.3,17.7,36.9
250mN095150E195675,84,34.9,38,46,121.1,80,4,4.8,19,58,7,22.6,69,8.3,44.8,44.8,44.8,36.8,271.4,6.2,1344,64,70,8,6,83.3,9.5,7.1
250mN095175E178750,91,37.7,45,46,102.2,86,5,5.5,15,66,10,16.5,72.5,11,37.9,37.9,37.9,66.7,150,6.2,1456,80,85,,,93.4,,
250mN095175E179000,211,40.1,108,103,95.4,149,62,29.4,25,167,19,11.8,79.1,9,26.3,26.3,26.3,76,131.6,6.2,3376,992,108,37,66,51.2,17.5,31.3
250mN095175E179025,452,42.1,249,203,81.5,271,181,40,53,350,49,11.7,77.4,10.8,29.1,29.1,29.1,92.5,108.2,6.2,7232,2896,163,86,203,36.1,19,44.9
250mN095175E179150,541,44.9,280,261,93.2,395,146,27,45,420,76,8.3,77.6,14,28.8,28.8,28.8,168.9,59.2,6.2,8656,2336,313,54,174,57.9,10,32.2
250mN095175E179175,720,44.2,358,362,101.1,585,135,18.8,62,556,102,8.6,77.2,14.2,29.5,29.5,29.5,164.5,60.8,6.2,11520,2160,436,107,177,60.6,14.9,24.6
250mN095175E179200,1261,39.5,634,627,98.9,1008,253,20.1,172,964,125,13.6,76.4,9.9,30.8,30.8,30.8,72.7,137.6,6.2,20176,4048,791,121,349,62.7,9.6,27.7
250mN095175E179225,1322,38.4,679,643,94.7,1089,233,17.6,207,985,130,15.7,74.5,9.8,34.2,34.2,34.2,62.8,159.2,6.2,21152,3728,879,135,308,66.5,10.2,23.3
250mN095175E179250,284,42.5,153,131,85.6,226,58,20.4,33,204,47,11.6,71.8,16.5,39.2,39.2,39.2,142.4,70.2,6.2,4544,928,185,31,68,65.1,10.9,23.9
250mN095175E179275,112,47,50,62,124,96,16,14.3,5,85,22,4.5,75.9,19.6,31.8,31.8,31.8,440,22.7,6.2,1792,256,75,16,21,67,14.3,18.8
250mN095175E180600,209,30.9,91,118,129.7,201,8,3.8,52,152,5,24.9,72.7,2.4,37.5,37.5,37.5,9.6,1040,6.2,3344,128,198,3,8,94.7,1.4,3.8
250mN095175E193250,293,34.9,158,135,85.4,160,133,45.4,43,240,10,14.7,81.9,3.4,22.1,22.1,22.1,23.3,430,6.2,4688,2128,61,90,142,20.8,30.7,48.5
250mN095175E193275,253,31.9,127,126,99.2,181,72,28.5,63,185,5,24.9,73.1,2,36.8,36.8,36.8,7.9,1260,6.2,4048,1152,102,61,90,40.3,24.1,35.6
250mN095175E193300,34,42.6,15,19,126.7,9,25,73.5,,29,,,85.3,,,,,,,6.2,544,400,4,6,24,11.8,17.6,70.6
250mN095175E194275,26,41,11,15,136.4,19,7,26.9,,22,,,84.6,,,,,,,6.2,416,112,8,11,7,30.8,42.3,26.9
250mN095200E179025,15,45,8,7,87.5,15,0,0,,11,,,73.3,,,,,,,6.2,240,0,14,,,93.3,,
250mN095200E179050,173,40.8,82,91,111,144,29,16.8,24,134,15,13.9,77.5,8.7,29.1,29.1,29.1,62.5,160,6.2,2768,464,124,17,32,71.7,9.8,18.5
250mN095200E179075,24,41.6,14,10,71.4,16,8,33.3,5,13,6,20.8,54.2,25,84.6,84.6,84.6,120,83.3,6.2,384,128,14,,,58.3,,
250mN095200E179150,1046,39,507,539,106.3,728,318,30.4,134,837,75,12.8,80,7.2,25,25,25,56,178.7,6.2,16736,5088,572,124,350,54.7,11.9,33.5
250mN095200E179175,867,39.9,427,440,103,671,196,22.6,118,667,82,13.6,76.9,9.5,30,30,30,69.5,143.9,6.2,13872,3136,497,115,255,57.3,13.3,29.4
250mN095200E179200,637,41.6,305,332,108.9,461,176,27.6,75,484,78,11.8,76,12.2,31.6,31.6,31.6,104,96.2,6.2,10192,2816,315,99,223,49.5,15.5,35
250mN095200E179225,419,39.2,211,208,98.6,331,88,21,64,316,39,15.3,75.4,9.3,32.6,32.6,32.6,60.9,164.1,6.2,6704,1408,246,72,101,58.7,17.2,24.1
250mN095200E179250,38,51.6,20,18,90,35,3,7.9,0,27,11,0,71.1,28.9,40.7,40.7,40.7,,0,6.2,608,48,29,6,3,76.3,15.8,7.9
250mN095200E180525,49,37.1,25,24,96,49,0,0,6,38,5,12.2,77.6,10.2,28.9,28.9,28.9,83.3,120,6.2,784,0,47,,,95.9,,
250mN095200E193225,137,35.6,66,71,107.6,94,43,31.4,,113,,,82.5,,,,,,,6.2,2192,688,34,46,57,24.8,33.6,41.6
250mN095200E193250,334,31.9,170,164,96.5,238,96,28.7,86,234,14,25.7,70.1,4.2,42.7,42.7,42.7,16.3,614.3,6.2,5344,1536,123,86,125,36.8,25.7,37.4
250mN095200E193275,14,42.3,5,9,180,,,,,12,,,85.7,,,,,,,6.2,224,,,8,,,57.1,
250mN095200E195450,144,35.6,75,69,92,141,3,2.1,26,111,7,18.1,77.1,4.9,29.7,29.7,29.7,26.9,371.4,6.2,2304,48,121,18,5,84,12.5,3.5
250mN095200E195475,26,36.7,15,11,73.3,26,0,0,7,15,4,26.9,57.7,15.4,73.3,73.3,73.3,57.1,175,6.2,416,0,21,5,0,80.8,19.2,0
250mN095225E178950,66,34,35,31,88.6,41,25,37.9,12,50,4,18.2,75.8,6.1,32,32,32,33.3,300,6.2,1056,400,27,10,29,40.9,15.2,43.9
250mN095225E178975,91,37.4,43,48,111.6,73,18,19.8,,78,,,85.7,,,,,,,6.2,1456,288,59,8,24,64.8,8.8,26.4
250mN095225E179000,188,36,83,105,126.5,156,32,17,27,155,6,14.4,82.4,3.2,21.3,21.3,21.3,22.2,450,6.2,3008,512,135,13,40,71.8,6.9,21.3
250mN095225E179050,14,32.6,6,8,133.3,14,0,0,5,9,0,35.7,64.3,0,55.6,55.6,55.6,0,,6.2,224,0,11,,,78.6,,
250mN095225E179150,260,37.8,130,130,100,192,68,26.2,38,210,12,14.6,80.8,4.6,23.8,23.8,23.8,31.6,316.7,6.2,4160,1088,148,27,85,56.9,10.4,32.7
250mN095225E180350,220,45.1,109,111,101.8,,,,23,151,46,10.5,68.6,20.9,45.7,45.7,45.7,200,50,6.2,3520,,212,,,96.4,,
250mN095225E180375,250,46.2,135,115,85.2,,,,25,176,49,10,70.4,19.6,42,42,42,196,51,6.2,4000,,242,4,4,96.8,1.6,1.6
250mN095250E178625,116,34.6,63,53,84.1,110,6,5.2,22,89,5,19,76.7,4.3,30.3,30.3,30.3,22.7,440,6.2,1856,96,108,,,93.1,,
250mN095250E178975,622,36.2,310,312,100.6,447,175,28.1,112,472,38,18,75.9,6.1,31.8,31.8,31.8,33.9,294.7,6.2,9952,2800,362,56,204,58.2,9,32.8
250mN095250E179000,702,39.8,364,338,92.9,516,186,26.5,100,522,80,14.2,74.4,11.4,34.5,34.5,34.5,80,125,6.2,11232,2976,413,58,231,58.8,8.3,32.9
250mN095250E179025,913,36,429,484,112.8,723,190,20.8,181,651,81,19.8,71.3,8.9,40.2,40.2,40.2,44.8,223.5,6.2,14608,3040,569,87,257,62.3,9.5,28.1
250mN095250E179050,75,34.3,36,39,108.3,55,20,26.7,21,49,5,28,65.3,6.7,53.1,53.1,53.1,23.8,420,6.2,1200,320,46,14,15,61.3,18.7,20
250mN095250E179175,183,33.7,89,94,105.6,177,6,3.3,35,139,9,19.1,76,4.9,31.7,31.7,31.7,25.7,388.9,6.2,2928,96,158,11,14,86.3,6,7.7
250mN095250E179225,965,35,497,468,94.2,875,90,9.3,186,750,29,19.3,77.7,3,28.7,28.7,28.7,15.6,641.4,6.2,15440,1440,684,109,172,70.9,11.3,17.8
250mN095250E180375,112,43.9,59,53,89.8,108,4,3.6,13,85,14,11.6,75.9,12.5,31.8,31.8,31.8,107.7,92.9,6.2,1792,64,109,0,3,97.3,0,2.7
250mN095250E180850,121,37.9,65,56,86.2,106,15,12.4,13,101,7,10.7,83.5,5.8,19.8,19.8,19.8,53.8,185.7,6.2,1936,240,98,5,18,81,4.1,14.9
250mN095250E180875,331,37.7,181,150,82.9,288,43,13,49,264,18,14.8,79.8,5.4,25.4,25.4,25.4,36.7,272.2,5.1,6478.5,841.6,246,21,64,74.3,6.3,19.3
250mN095250E195325,28,45,16,12,75,18,10,35.7,5,16,7,17.9,57.1,25,75,75,75,140,71.4,6.2,448,160,17,0,11,60.7,0,39.3
250mN095250E195450,21,32.1,14,7,50,21,0,0,4,17,0,19,81,0,23.5,23.5,23.5,0,,6.2,336,0,18,3,0,85.7,14.3,0
250mN095250E195475,80,34.4,38,42,110.5,,,,14,62,4,17.5,77.5,5,29,29,29,28.6,350,6.2,1280,,64,12,4,80,15,5
250mN095275E178900,374,36.7,184,190,103.3,326,48,12.8,72,258,44,19.3,69,11.8,45,45,45,61.1,163.6,6.2,5984,768,313,12,49,83.7,3.2,13.1
250mN095275E178950,145,35.4,78,67,85.9,126,19,13.1,28,114,3,19.3,78.6,2.1,27.2,27.2,27.2,10.7,933.3,6.2,2320,304,113,8,24,77.9,5.5,16.6
250mN095275E178975,648,36.1,307,341,111.1,558,90,13.9,106,511,31,16.4,78.9,4.8,26.8,26.8,26.8,29.2,341.9,6.2,10368,1440,462,63,123,71.3,9.7,19
250mN095275E179000,1262,39.8,629,633,100.6,990,272,21.6,174,931,157,13.8,73.8,12.4,35.6,35.6,35.6,90.2,110.8,6.2,20192,4352,823,97,342,65.2,7.7,27.1
250mN095275E179025,743,41.5,391,352,90,635,108,14.5,97,526,120,13.1,70.8,16.2,41.3,41.3,41.3,123.7,80.8,6.2,11888,1728,528,49,166,71.1,6.6,22.3
250mN095275E179075,113,34.4,59,54,91.5,,,,23,85,5,20.4,75.2,4.4,32.9,32.9,32.9,21.7,460,6.2,1808,,110,,,97.3,,
250mN095275E180450,140,41.2,73,67,91.8,132,8,5.7,24,93,23,17.1,66.4,16.4,50.5,50.5,50.5,95.8,104.3,6.2,2240,128,129,,,92.1,,
250mN095275E180875,101,39.4,59,42,71.2,89,12,11.9,13,81,7,12.9,80.2,6.9,24.7,24.7,24.7,53.8,185.7,6.2,1616,192,72,14,15,71.3,13.9,14.9
250mN095275E180900,73,38,40,33,82.5,68,5,6.8,,61,,,83.6,,,,,,,1.8,4066.4,278.5,59,7,7,80.8,9.6,9.6
250mN095275E194000,203,42.8,106,97,91.5,180,23,11.3,17,160,26,8.4,78.8,12.8,26.9,26.9,26.9,152.9,65.4,6.2,3248,368,146,24,33,71.9,11.8,16.3
250mN095275E195300,19,36.2,11,8,72.7,19,0,0,,12,,,63.2,,,,,,,6.2,304,0,15,4,0,78.9,21.1,0
250mN095275E195350,25,36.2,13,12,92.3,25,0,0,3,19,3,12,76,12,31.6,31.6,31.6,100,100,6.2,400,0,18,,,72,,
250mN095300E178325,170,43.6,84,86,102.4,166,4,2.4,18,123,29,10.6,72.4,17.1,38.2,38.2,38.2,161.1,62.1,4.5,3757.2,88.4,157,3,10,92.4,1.8,5.9
250mN095300E178800,106,42,62,44,71,93,13,12.3,13,78,15,12.3,73.6,14.2,35.9,35.9,35.9,115.4,86.7,6.2,1696,208,81,10,15,76.4,9.4,14.2
250mN095300E178975,256,34.2,120,136,113.3,249,7,2.7,49,204,3,19.1,79.7,1.2,25.5,25.5,25.5,6.1,1633.3,6.2,4096,112,207,29,20,80.9,11.3,7.8
250mN095300E179000,902,39.4,431,471,109.3,823,79,8.8,120,674,108,13.3,74.7,12,33.8,33.8,33.8,90,111.1,6.2,14432,1264,742,48,112,82.3,5.3,12.4
250mN095300E179025,132,43.8,67,65,97,129,3,2.3,11,104,17,8.3,78.8,12.9,26.9,26.9,26.9,154.5,64.7,6.2,2112,48,124,5,3,93.9,3.8,2.3
250mN095300E180450,12,40.8,8,4,50,12,0,0,,8,,,66.7,,,,,,,6.2,192,0,12,0,0,100,0,0
250mN095300E180875,185,36,89,96,107.9,162,23,12.4,40,135,10,21.6,73,5.4,37,37,37,25,400,6.2,2960,368,111,30,44,60,16.2,23.8
250mN095300E180900,61,44.9,33,28,84.8,,,,5,47,9,8.2,77,14.8,29.8,29.8,29.8,180,55.6,3.1,1968.9,,59,,,96.7,,
250mN095325E178325,92,44,45,47,104.4,87,5,5.4,12,60,20,13,65.2,21.7,53.3,53.3,53.3,166.7,60,6.2,1472,80,85,,,92.4,,
250mN095325E178350,13,49.3,5,8,160,13,0,0,,12,,,92.3,,,,,,,6.2,208,0,13,0,0,100,0,0
250mN095325E179000,96,39.4,42,54,128.6,82,14,14.6,13,71,12,13.5,74,12.5,35.2,35.2,35.2,92.3,108.3,6.2,1536,224,73,7,16,76,7.3,16.7
