date,GEOCODE_MUNICIPIOS_DESPUES_2007,Población,Población. Edad media,Población. Edad media Densidad,Población Hombres,Población Mujeres,Población. Índice de feminidad,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Población. Índice de dependencia,Población. Índice de dependencia mayores de 64 años,Población. Índice de dependencia menores de 15 años,Índice de Vejez,Índice de Juventud,Índice de Sobreenvejecimiento,Índice de Ancianidad,superficie,Densidad de Población,Densidad de Población Extranjera,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
2020-01-01,35013,7746,45.606506584,45.606902099,3939,3807,96.648895659,7576,170,2.1946811257,872,5286,1588,790,541,257,11.257423186,68.241673122,20.500903692,46.538024972,30.041619372,16.4964056,182.11009174,54.911838791,16.183879093,34.068010076,3220.460000,240.52464555,5.2787489986,117,171,353,310,148,1099,7206,218,322,93.028659954,2.8143557965,4.1569842499
2020-01-01,35014,27234,39.78570904,39.788424272,14140,13094,92.602545969,15006,12228,44.899757656,3856,20500,2878,1992,688,198,14.158772123,75.273555115,10.567672762,32.848780488,14.03902439,18.809756098,74.636929461,133.9819319,6.8797776233,23.905489924,35533.400000,76.643383408,34.41269341,667,696,1681,1072,483,4599,9314,4572,13348,34.199897187,16.787838731,49.012264082
2020-01-01,35015,21349,37.714014708,37.717231849,11118,10231,92.021946393,13554,7795,36.512248817,3236,16335,1778,1168,488,122,15.157618624,76.514122441,8.3282589348,30.694827058,10.884603612,19.810223447,54.944375773,182.00224972,6.8616422947,27.446569179,38493.800000,55.460879414,20.250014288,624,614,1352,880,369,3839,8255,3912,9182,38.666916483,18.324043281,43.009040236
2020-01-01,35016,381223,44.092238663,44.089000737,183905,197318,107.29343955,352174,29049,7.6199494784,44706,265508,71009,38257,22937,9815,11.726994436,69.646374956,18.626630607,43.582490923,26.744580201,16.837910722,158.83550306,62.958216564,13.822191553,32.301539242,10331.600000,3689.8737853,281.16651825,6180,8285,19090,15060,7768,56383,294677,35754,50792,77.297802074,9.3787625615,13.323435365
2020-01-01,35017,41808,38.348115193,38.344734562,21145,20663,97.720501301,34644,7164,17.135476464,6767,31034,4007,2538,992,477,16.185897436,74.229812476,9.584290088,34.716762261,12.911645292,21.805116968,59.213831831,168.87946094,11.904167707,24.756675817,29077.100000,143.78325211,24.637945325,1150,1265,2836,2069,1003,8323,23400,7698,10710,55.970149254,18.412743972,25.617106774
2020-01-01,35018,19099,39.835672025,39.835210167,9556,9543,99.863959816,16287,2812,14.723283942,2863,14116,2120,1293,624,203,14.990313629,73.909628776,11.100057595,35.300368376,15.018418816,20.281949561,74.048201188,135.04716981,9.5754716981,29.433962264,4076.110000,468.55948441,68.987343325,493,553,1123,904,462,3535,11477,3752,3870,60.092151422,19.645007592,20.262840986
2020-01-01,35019,53397,42.785727663,42.78538388,27857,25540,91.682521449,38745,14652,27.439743806,6312,38870,8215,5403,2183,629,11.820888814,72.794351743,15.384759443,37.373295601,21.134551068,16.238744533,130.14892269,76.835057821,7.6567255021,26.573341449,33241.900000,160.63161251,44.076902945,1035,1153,2668,1929,988,7773,30730,5036,17631,57.550049628,9.4312414555,33.018708916
2020-01-01,35020,7508,44.806606287,44.80491865,3839,3669,95.57176348,6788,720,9.589770911,766,5324,1418,692,484,242,10.202450719,70.911028237,18.886521044,41.021788129,26.634109692,14.387678437,185.11749347,54.019746121,17.06629055,34.1325811,12370.800000,60.691305332,5.8201571442,130,149,291,270,167,1007,6619,131,758,88.15929675,1.7448055408,10.095897709
2020-01-01,35021,18394,44.730781777,44.727927901,9139,9255,101.26928548,17608,786,4.2731325432,2129,12792,3473,1962,1050,461,11.574426443,69.544416658,18.881156899,43.792995622,27.149781113,16.643214509,163.12822922,61.301468471,13.273826663,30.233227757,2383.190000,771.82264108,32.981004452,230,371,955,756,362,2674,15756,1327,1311,85.658366859,7.2143090138,7.1273241274
2020-01-01,35022,74602,39.226119943,39.222721989,37222,37380,100.42448015,63999,10603,14.21275569,11278,55538,7786,4701,2251,834,15.11755717,74.445725316,10.436717514,34.326047031,14.019230077,20.306816954,69.037063309,144.84973029,10.711533522,28.910865656,6252.830000,1193.091768,169.57121815,1797,2105,4693,3625,1805,14025,51834,4507,18261,69.480710973,6.0413929921,24.477896035
