date,GEOCODE_MUNICIPIOS_ANTES_2007,Población,Población. Edad media,Población. Edad media Densidad,Población Hombres,Población Mujeres,Población. Índice de feminidad,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Población. Índice de dependencia,Población. Índice de dependencia mayores de 64 años,Población. Índice de dependencia menores de 15 años,Índice de Vejez,Índice de Juventud,Índice de Sobreenvejecimiento,Índice de Ancianidad,superficie,Densidad de Población,Densidad de Población Extranjera,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
2007-01-01,35013,7974,41.875094056,41.877449418,4036,3938,97.57185332,7914,60,0.7524454477,963,5587,1424,805,498,121,12.076749436,70.065211939,17.858038626,42.724181135,25.487739395,17.23644174,147.87123572,67.626404494,8.4971910112,34.971910112,3220.460000,247.6043795,1.8630878819,219,133,370,314,168,1204,7657,166,151,96.024579885,2.0817657387,1.8936543767
2007-01-01,35014,20084,34.358593906,34.364838929,10941,9143,83.566401609,12542,7542,37.552280422,3298,15633,1153,761,303,89,16.421031667,77.838080064,5.7408882693,28.471822427,7.375423783,21.096398644,34.960582171,286.03642671,7.7189939289,26.279271466,35533.400000,56.521469941,21.225100891,718,730,1281,756,393,3878,7803,4429,7852,38.851822346,22.052380004,39.09579765
2007-01-01,35015,19424,34.232238468,34.250400867,10765,8659,80.436600093,12294,7130,36.707166392,2694,15716,1014,761,201,52,13.869439868,80.910214168,5.2203459638,23.593789768,6.4520234156,17.141766353,37.639198218,265.68047337,5.1282051282,19.822485207,38493.800000,50.46007409,18.522463358,646,579,996,650,356,3227,7068,4927,7429,36.387973641,25.365527183,38.246499176
2007-01-01,35016,377203,39.363163867,39.36358396,184059,193144,104.93591729,350459,26744,7.0900814681,54800,270246,52157,29652,17592,4913,14.527986257,71.644711203,13.82730254,39.577644072,19.299823124,20.277820948,95.177007299,105.06739268,9.4196368656,33.728933796,10331.600000,3650.9640327,258.85632429,10203,11551,21877,15082,8190,66903,303854,36350,36999,80.554502483,9.6367208108,9.8087767064
2007-01-01,35017,31808,33.657287475,33.662218348,16731,15077,90.114159345,26661,5147,16.181463783,5600,24395,1813,1018,600,195,17.605633803,76.694542254,5.6998239437,30.387374462,7.4318507891,22.955523673,32.375,308.88030888,10.755653613,33.094318809,29077.100000,109.39192698,17.701215046,1034,1151,2355,1453,806,6799,18143,7637,6028,57.039109658,24.009683099,18.951207243
2007-01-01,35018,18050,34.257728532,34.260118577,9323,8727,93.60720798,14782,3268,18.105263158,3375,13512,1163,740,318,105,18.698060942,74.858725762,6.4432132964,33.584961516,8.6071640024,24.977797513,34.459259259,290.1977644,9.0283748925,27.343078246,4076.110000,442.82416323,80.17448008,690,750,1284,862,399,3985,10138,4149,3763,56.166204986,22.986149584,20.847645429
2007-01-01,35019,49601,37.482802766,37.48527453,25943,23658,91.192229118,36163,13438,27.092195722,7423,37538,4640,3164,1176,300,14.965424084,75.679925808,9.3546501079,32.135436091,12.360807715,19.774628377,62.508419776,159.97844828,6.4655172414,25.344827586,33241.900000,149.21228931,40.424885461,1282,1505,3077,2156,1127,9147,29581,5089,14931,59.637910526,10.259873793,30.102215681
2007-01-01,35020,8431,39.168129522,39.16937452,4301,4130,96.024180423,7707,724,8.5873561855,1191,5943,1297,745,440,112,14.126438145,70.489858854,15.383703001,41.86437826,21.823994616,20.040383645,108.90008396,91.827293755,8.6353122591,33.924441018,12370.800000,68.152423449,5.8524913506,202,206,528,365,213,1514,7551,135,745,89.562329498,1.6012335429,8.8364369588
2007-01-01,35021,18919,38.670410698,38.668113087,9425,9494,100.73209549,18200,719,3.8004122839,2891,13809,2219,1279,741,199,15.28093451,72.990115757,11.728949733,37.004851908,16.069230212,20.935621696,76.755447942,130.28391167,8.9680036052,33.39342046,2383.190000,793.85193795,30.169646566,462,522,1262,859,471,3576,16523,1317,1079,87.335482848,6.9612558803,5.7032612717
2007-01-01,35022,58335,33.815265278,33.815958253,29642,28693,96.798461642,50434,7901,13.544184452,11510,42658,4167,2589,1261,317,19.730864832,73.125910688,7.1432244793,36.750433682,9.7683904543,26.982043228,36.203301477,276.21790257,7.6073914087,30.261579074,6252.830000,932.93756587,126.35878474,2415,2444,4441,2957,1578,13835,45315,3673,9347,77.680637696,6.2963915317,16.022970772
2007-01-01,35023,14081,40.210318869,40.211141552,7044,7037,99.900624645,13876,205,1.4558625098,2020,9791,2270,1241,788,241,14.345572047,69.53341382,16.121014133,43.815749157,23.184557246,20.631191911,112.37623762,88.986784141,10.616740088,34.713656388,4261.820000,330.39874983,4.8101515315,311,374,834,674,359,2552,13459,301,321,95.582700092,2.1376322704,2.2796676372
2007-01-01,35024,17688,36.371947083,36.373834734,9014,8674,96.228089638,13851,3837,21.692672999,2983,13103,1602,1005,466,131,16.864540932,74.07847128,9.0569877883,34.991986568,12.226207739,22.765778829,53.704324506,186.20474407,8.177278402,29.088639201,22400.600000,78.962170656,17.129005473,641,623,1139,767,372,3542,10789,2805,4094,60.996155586,15.858208955,23.145635459
2007-01-01,35025,2239,46.144484145,46.146014021,1188,1051,88.468013468,2206,33,1.4738722644,167,1580,492,286,144,62,7.4586869138,70.567217508,21.974095578,41.708860759,31.139240506,10.569620253,294.61077844,33.943089431,12.601626016,29.268292683,10386.300000,21.557243677,0.3177262355,31,29,69,54,47,230,2145,46,48,95.801697186,2.054488611,2.1438142028
2007-01-01,35026,98399,36.190840354,36.190239882,49098,49301,100.4134588,95422,2977,3.0254372504,17017,71652,9730,5954,2966,810,17.293874938,72.817813189,9.8883118731,37.329034779,13.579523251,23.749511528,57.178116002,174.89208633,8.3247687564,30.483042138,10033.100000,980.74373823,29.671786387,3509,3510,6659,4516,2469,20663,88893,5045,4461,90.339332717,5.1270846248,4.5335826584
2007-01-01,35027,12290,40.594141579,40.591664481,6240,6050,96.955128205,12116,174,1.4157851912,1666,8675,1949,1169,630,150,13.555736371,70.585842148,15.858421481,41.671469741,22.46685879,19.204610951,116.98679472,85.479733197,7.6962544895,32.324268856,2580.730000,476.22184421,6.7422783476,188,317,753,544,267,2069,11662,262,366,94.890154597,2.1318144833,2.9780309194
2007-01-01,35028,18263,37.08610305,37.094150143,9499,8764,92.262343405,10558,7705,42.189125554,2781,13871,1611,1086,403,122,15.227509172,75.951377101,8.8211137272,31.663182179,11.614159037,20.049023142,57.928802589,172.62569832,7.5729360646,25.015518312,6432.050000,283.93746939,119.79073546,556,573,1104,732,372,3337,7581,2799,7883,41.510157148,15.326069101,43.16377375
2007-01-01,35029,5588,36.199713672,36.199288394,2954,2634,89.167230873,4776,812,14.531138153,936,4136,516,307,148,61,16.750178955,74.015748031,9.2340730136,35.106382979,12.47582205,22.630560928,55.128205128,181.39534884,11.821705426,28.682170543,13577.900000,41.155112352,5.9803062329,205,192,361,232,116,1106,4199,510,879,75.143163923,9.1267000716,15.730136006
2007-01-01,35030,13124,34.305394697,34.302036845,6965,6159,88.427853553,10783,2341,17.837549528,2486,9610,1028,608,314,106,18.942395611,73.224626638,7.8329777507,36.566077003,10.697190427,25.868886576,41.351568785,241.82879377,10.311284047,30.544747082,27629.800000,47.499439012,8.472735959,542,484,980,631,337,2974,8451,2116,2557,64.393477598,16.123133191,19.483389211
2007-01-01,35031,8853,36.484073196,36.483751298,4521,4332,95.819508958,8445,408,4.6086072518,1579,6334,940,553,304,83,17.835761889,71.546368463,10.617869649,39.769497948,14.840543101,24.928954847,59.531348955,167.9787234,8.829787234,32.340425532,3880.130000,228.16245847,10.515111607,329,330,597,441,250,1947,8065,280,508,91.099062465,3.1627696826,5.7381678527
2007-01-01,35032,4019,43.162602637,43.15925296,2116,1903,89.933837429,3986,33,0.8210997761,459,2789,771,432,268,71,11.420751431,69.395371983,19.183876586,44.101828612,27.644316959,16.457511653,167.97385621,59.53307393,9.2088197147,34.760051881,2212.890000,181.61770355,1.4912625571,81,69,184,153,77,564,3852,75,92,95.844737497,1.8661358547,2.2891266484
2007-01-01,35033,7611,40.046708711,40.047056428,3945,3666,92.927756654,7508,103,1.3533044278,1138,5353,1120,625,378,117,14.952043096,70.332413612,14.715543293,42.181954044,20.922847002,21.259107043,98.41827768,101.60714286,10.446428571,33.75,3821.390000,199.16836544,2.6953543082,182,212,464,359,175,1392,7224,213,174,94.915254237,2.7985810012,2.2861647615
2007-01-01,35034,10894,36.150174408,36.159721701,6060,4834,79.768976898,6716,4178,38.351386084,1334,8785,775,556,180,39,12.245272627,80.640719662,7.1140077107,24.006829824,8.8218554354,15.184974388,58.095952024,172.12903226,5.0322580645,23.225806452,21209.400000,51.364017841,19.698812791,224,279,549,359,179,1590,3385,3100,4409,31.072149807,28.456030843,40.47181935
2007-01-01,38001,38245,36.17972284,36.1840601,19828,18417,92.883800686,20543,17702,46.285788992,5799,29512,2934,2004,743,187,15.162766375,77.165642568,7.6715910577,29.59135267,9.9417186229,19.649634047,50.59493016,197.64826176,6.3735514656,25.323790048,10595.200000,360.9653428,167.0756569,1008,1192,2436,1533,808,6977,13570,5548,19127,35.481762322,14.506471434,50.011766244
2007-01-01,38002,1174,48.804940375,48.816063768,576,598,103.81944444,1128,46,3.9182282794,112,712,350,184,129,37,9.5400340716,60.647359455,29.812606474,64.887640449,49.157303371,15.730337079,312.5,32,10.571428571,36.857142857,2500.410000,46.952299823,1.8396982895,23,20,40,34,21,138,1077,17,80,91.737649063,1.4480408859,6.8143100511
