GEOCODE_SECCIONES_2011,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Población de 85 o más años dividida por la población de 65 o más años,Población de 75 a 84 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
20110101_35001_D01_S001,1127,44.3,554,573,103.4,1118,9,0.8,139,749,239,83,123,33,12.3,66.5,21.2,50.5,31.9,18.6,171.9,58.2,13.8,51.5,356.7,315.9,2.5,24,24,61,40,23,172,1089,22,16,96.6,2,1.4
20110101_35001_D01_S002,1396,44.2,696,700,100.6,1379,17,1.2,154,946,296,137,120,39,11,67.8,21.2,47.6,31.3,16.3,192.2,52,13.2,40.5,191.3,729.7,8.9,22,26,77,40,30,195,1321,52,23,94.6,3.7,1.6
20110101_35001_D01_S003,1160,44.1,597,563,94.3,1054,106,9.1,138,783,239,119,78,42,11.9,67.5,20.6,48.1,30.5,17.6,173.2,57.7,17.6,32.6,1489.5,77.9,7.1,25,21,62,36,25,169,1001,40,119,86.3,3.4,10.3
20110101_35001_D01_S004,890,43.6,456,434,95.2,821,69,7.8,91,645,154,87,54,13,10.2,72.5,17.3,38,23.9,14.1,169.2,59.1,8.4,35.1,2368.4,37.6,2.9,21,14,36,27,10,108,767,49,74,86.2,5.5,8.3
20110101_35001_D01_S005,1203,38.9,614,589,95.9,1111,92,7.6,182,892,129,80,34,15,15.1,74.1,10.7,34.9,14.5,20.4,70.9,141.1,11.6,26.4,46.6,2580.3,197.3,35,41,76,41,22,215,1011,84,108,84,7,9
20110101_35002_D01_S001,911,40.7,467,444,95.1,883,28,3.1,121,647,143,69,54,20,13.3,71,15.7,40.8,22.1,18.7,118.2,84.6,14,37.8,105,867.8,26.7,22,28,41,37,25,153,847,22,42,93,2.4,4.6
20110101_35002_D01_S002,829,43.1,407,422,103.7,785,44,5.3,93,571,165,92,51,22,11.2,68.9,19.9,45.2,28.9,16.3,177.4,56.4,13.3,30.9,1071,77.4,4.1,9,18,44,29,16,116,764,16,49,92.2,1.9,5.9
20110101_35002_D01_S003,1516,36.3,757,759,100.3,1385,131,8.6,262,1121,133,81,46,6,17.3,73.9,8.8,35.2,11.9,23.4,50.8,197,4.5,34.6,205.6,737.3,63.7,42,54,115,74,34,319,1295,52,169,85.4,3.4,11.1
20110101_35002_D01_S004,778,37.5,407,371,91.2,715,63,8.1,155,532,91,42,43,6,19.9,68.4,11.7,46.2,17.1,29.1,58.7,170.3,6.6,47.3,570.1,136.5,11.1,20,30,80,35,16,181,676,27,75,86.9,3.5,9.6
20110101_35002_D01_S005,1539,35.5,771,768,99.6,1518,21,1.4,285,1133,121,75,34,12,18.5,73.6,7.9,35.8,10.7,25.2,42.5,235.5,9.9,28.1,1123.9,136.9,1.9,38,63,137,62,37,337,1462,29,48,95,1.9,3.1
20110101_35002_D01_S006,1541,40,760,781,102.8,1320,221,14.3,215,1139,187,115,56,16,14,73.9,12.1,35.3,16.4,18.9,87,115,8.6,29.9,13.3,11586.2,1661.6,40,39,84,68,27,258,1102,162,277,71.5,10.5,18
20110101_35002_D01_S007,2230,34.6,1103,1127,102.2,2213,17,0.8,457,1620,153,95,49,9,20.5,72.6,6.9,37.7,9.4,28.2,33.5,298.7,5.9,32,36,6201.4,47.3,77,90,215,98,63,543,2130,59,41,95.5,2.6,1.8
20110101_35002_D01_S008,1201,43,624,577,92.5,1158,43,3.6,149,824,228,111,85,32,12.4,68.6,19,45.8,27.7,18.1,153,65.4,14,37.3,2254.5,53.3,1.9,25,32,62,40,22,181,1086,55,60,90.4,4.6,5
20110101_35002_D01_S009,2618,32.8,1348,1270,94.2,2348,270,10.3,557,1905,156,89,56,11,21.3,72.8,6,37.4,8.2,29.2,28,357.1,7.1,35.9,31.7,8270.3,852.9,138,122,207,116,66,649,2146,107,365,82,4.1,13.9
20110101_35002_D01_S010,1905,36.8,994,911,91.6,1722,183,9.6,289,1498,118,76,32,10,15.2,78.6,6.2,27.2,7.9,19.3,40.8,244.9,8.5,27.1,47,4055.3,389.6,68,66,94,89,41,358,1490,170,245,78.2,8.9,12.9
20110101_35002_D01_S011,2009,38.6,988,1021,103.3,1833,176,8.8,355,1358,296,163,110,23,17.7,67.6,14.7,47.9,21.8,26.1,83.4,119.9,7.8,37.2,58.4,3442.5,301.6,52,81,143,98,49,423,1700,73,236,84.6,3.6,11.7
20110101_35002_D01_S012,2569,37.7,1344,1225,91.1,2228,341,13.3,411,1927,231,146,76,9,16,75,9,33.3,12,21.3,56.2,177.9,3.9,32.9,31,8285.1,1099.7,85,101,159,90,52,487,1961,199,409,76.3,7.7,15.9
20110101_35002_D01_S013,2040,34.3,1052,988,93.9,1951,89,4.4,400,1494,146,83,51,12,19.6,73.2,7.2,36.5,9.8,26.8,36.5,274,8.2,34.9,509.8,400.1,17.5,65,71,166,129,54,485,1873,46,121,91.8,2.3,5.9
20110101_35002_D01_S014,1073,39.9,561,512,91.3,1061,12,1.1,142,802,129,76,40,13,13.2,74.7,12,33.8,16.1,17.7,90.8,110.1,10.1,31,62,1729.9,19.3,24,26,60,46,22,178,1020,29,24,95.1,2.7,2.2
20110101_35002_D01_S015,1776,35,871,905,103.9,1489,287,16.2,344,1298,134,89,39,6,19.4,73.1,7.5,36.8,10.3,26.5,39,256.7,4.5,29.1,27.8,6396.5,1033.7,56,73,142,92,39,402,1333,67,376,75.1,3.8,21.2
20110101_35002_D01_S016,1420,35.2,730,690,94.5,1237,183,12.9,265,1061,94,56,28,10,18.7,74.7,6.6,33.8,8.9,25,35.5,281.9,10.6,29.8,9.1,15582.3,2008.1,49,51,122,55,34,311,1072,117,231,75.5,8.2,16.3
20110101_35002_D01_S017,2351,31.1,1206,1145,94.9,2267,84,3.6,573,1691,87,49,33,5,24.4,71.9,3.7,39,5.1,33.9,15.2,658.6,5.7,37.9,1706.8,137.7,4.9,132,140,209,122,58,661,2117,111,123,90,4.7,5.2
20110101_35002_D01_S018,1461,36.3,739,722,97.7,1268,193,13.2,257,1092,112,71,35,6,17.6,74.7,7.7,33.8,10.3,23.5,43.6,229.5,5.4,31.2,14.4,10159.4,1342.1,49,51,110,63,34,307,1096,113,252,75,7.7,17.2
20110101_35003_D01_S001,2197,37,1148,1049,91.4,1950,247,11.2,407,1574,216,112,78,26,18.5,71.6,9.8,39.6,13.7,25.9,53.1,188.4,12,36.1,3554.1,61.8,6.9,74,59,179,109,51,472,1781,150,266,81.1,6.8,12.1
20110101_35003_D01_S002,1304,38.9,688,616,89.5,1123,181,13.9,196,957,151,89,43,19,15,73.4,11.6,36.3,15.8,20.5,77,129.8,12.6,28.5,14328.7,9.1,1.3,34,44,64,75,23,240,1037,74,193,79.5,5.7,14.8
20110101_35003_D01_S003,4085,38.6,2212,1873,84.7,1345,2740,67.1,498,3296,291,244,31,16,12.2,80.7,7.1,23.9,8.8,15.1,58.4,171.1,5.5,10.7,1898.7,215.1,144.3,112,135,170,104,44,565,623,726,2736,15.3,17.8,67
20110101_35003_D01_S004,1872,38.8,1099,773,70.3,708,1164,62.2,261,1474,137,111,21,5,13.9,78.7,7.3,27,9.3,17.7,52.5,190.5,3.6,15.3,245.8,761.4,473.5,52,61,104,59,25,301,370,340,1162,19.8,18.2,62.1
20110101_35003_D01_S005,1142,37.7,607,535,88.1,796,346,30.3,202,844,96,58,30,8,17.7,73.9,8.4,35.3,11.4,23.9,47.5,210.4,8.3,31.2,4928.3,23.2,7,24,45,86,74,33,262,696,93,353,60.9,8.1,30.9
