GEOCODE_SECCIONES_2012,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Población de 85 o más años dividida por la población de 65 o más años,Población de 75 a 84 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
20120101_35001_D01_S001,1112,44.6,547,565,103.3,1100,12,1.1,131,744,237,81,120,36,11.8,66.9,21.3,49.5,31.9,17.6,180.9,55.3,15.2,50.6,356.7,311.7,3.4,28,19,61,35,25,168,1072,21,19,96.4,1.9,1.7
20120101_35001_D01_S002,1394,44.6,688,706,102.6,1366,28,2,151,945,298,138,122,38,10.8,67.8,21.4,47.5,31.5,16,197.4,50.7,12.8,40.9,191.3,728.7,14.6,22,22,80,39,25,188,1313,47,34,94.2,3.4,2.4
20120101_35001_D01_S003,1154,44.5,598,556,93,1045,109,9.4,138,770,246,128,78,40,12,66.7,21.3,49.9,31.9,17.9,178.3,56.1,16.3,31.7,1489.5,77.5,7.3,25,24,64,35,15,163,996,38,120,86.3,3.3,10.4
20120101_35001_D01_S004,891,43.9,451,440,97.6,822,69,7.7,91,644,156,87,51,18,10.2,72.3,17.5,38.4,24.2,14.1,171.4,58.3,11.5,32.7,2368.4,37.6,2.9,18,19,37,24,15,113,775,41,75,87,4.6,8.4
20120101_35001_D01_S005,1216,39.1,622,594,95.5,1119,97,8,183,900,133,86,34,13,15,74,10.9,35.1,14.8,20.3,72.7,137.6,9.8,25.6,46.6,2608.2,208.1,25,46,83,38,20,212,1007,90,119,82.8,7.4,9.8
20120101_35002_D01_S001,880,41.4,448,432,96.4,851,29,3.3,114,629,137,62,54,21,13,71.5,15.6,39.9,21.8,18.1,120.2,83.2,15.3,39.4,105,838.2,27.6,17,25,41,40,17,140,818,23,39,93,2.6,4.4
20120101_35002_D01_S002,806,43.8,395,411,104.1,765,41,5.1,84,562,160,84,55,21,10.4,69.7,19.9,43.4,28.5,14.9,190.5,52.5,13.1,34.4,1071,75.3,3.8,12,12,42,27,13,106,743,17,46,92.2,2.1,5.7
20120101_35002_D01_S003,1478,37.3,745,733,98.4,1364,114,7.7,233,1112,133,78,49,6,15.8,75.2,9,32.9,12,21,57.1,175.2,4.5,36.8,205.6,718.8,55.4,28,43,109,69,40,289,1277,42,159,86.4,2.8,10.8
20120101_35002_D01_S004,785,38.3,410,375,91.5,724,61,7.8,148,535,102,52,43,7,18.9,68.2,13,46.7,19.1,27.7,68.9,145.1,6.9,42.2,570.1,137.7,10.7,17,24,71,44,14,170,681,30,74,86.8,3.8,9.4
20120101_35002_D01_S005,1510,36.4,757,753,99.5,1483,27,1.8,275,1103,132,87,35,10,18.2,73,8.7,36.9,12,24.9,48,208.3,7.6,26.5,1123.9,134.3,2.4,36,58,129,67,26,316,1428,28,54,94.6,1.9,3.6
20120101_35002_D01_S006,1582,40.3,784,798,101.8,1338,244,15.4,232,1153,197,111,69,17,14.7,72.9,12.5,37.2,17.1,20.1,84.9,117.8,8.6,35,13.3,11894.5,1834.5,40,49,90,67,35,281,1127,152,303,71.2,9.6,19.2
20120101_35002_D01_S007,2246,35.2,1098,1148,104.6,2229,17,0.8,447,1639,160,98,51,11,19.9,73,7.1,37,9.8,27.3,35.8,279.4,6.9,31.9,36,6245.9,47.3,62,93,205,114,59,533,2144,59,43,95.5,2.6,1.9
20120101_35002_D01_S008,1179,43.5,607,572,94.2,1132,47,4,144,801,234,111,91,32,12.2,67.9,19.8,47.2,29.2,18,162.5,61.5,13.7,38.9,2254.5,52.3,2.1,28,28,62,37,23,178,1066,47,66,90.4,4,5.6
