GEOCODE_SECCIONES_2009,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Población de 85 o más años dividida por la población de 65 o más años,Población de 75 a 84 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
20090101_35001_D01_S001,1162,43.3,561,601,107.1,1153,9,0.8,155,763,244,95,111,38,13.3,65.7,21,52.3,32,20.3,157.4,63.5,15.6,45.5,356.7,325.8,2.5,19,33,64,48,32,196,1110,39,13,95.5,3.4,1.1
20090101_35001_D01_S002,1411,43.1,700,711,101.6,1395,16,1.1,174,953,284,131,120,33,12.3,67.5,20.1,48.1,29.8,18.3,163.2,61.3,11.6,42.3,191.3,737.5,8.4,23,28,77,59,30,217,1339,46,26,94.9,3.3,1.8
20090101_35001_D01_S003,1187,43.3,616,571,92.7,1082,105,8.8,137,818,232,127,75,30,11.5,68.9,19.5,45.1,28.4,16.7,169.3,59.1,12.9,32.3,1489.5,79.7,7,22,30,59,41,34,186,1031,37,119,86.9,3.1,10
20090101_35001_D01_S004,862,42.2,438,424,96.8,800,62,7.2,102,617,143,84,52,7,11.8,71.6,16.6,39.7,23.2,16.5,140.2,71.3,4.9,36.4,2368.5,36.4,2.6,22,19,35,31,17,124,741,49,72,86,5.7,8.4
20090101_35001_D01_S005,1160,37.5,588,572,97.3,1061,99,8.5,191,857,112,72,32,8,16.5,73.9,9.7,35.4,13.1,22.3,58.6,170.5,7.1,28.6,46.6,2488.1,212.3,51,43,68,42,29,233,967,82,111,83.4,7.1,9.6
20090101_35002_D01_S001,933,39.7,474,459,96.8,918,15,1.6,122,677,134,65,52,17,13.1,72.6,14.4,37.8,19.8,18,109.8,91,12.7,38.8,105,888.7,14.3,25,27,45,39,28,164,879,24,30,94.2,2.6,3.2
20090101_35002_D01_S002,864,41.9,422,442,104.7,814,50,5.8,103,605,156,91,49,16,11.9,70,18.1,42.8,25.8,17,151.5,66,10.3,31.4,1071,80.7,4.7,8,23,46,32,25,134,795,15,54,92,1.7,6.2
20090101_35002_D01_S003,1485,35.2,740,745,100.7,1349,136,9.2,265,1110,110,71,34,5,17.8,74.7,7.4,33.8,9.9,23.9,41.5,240.9,4.5,30.9,205.6,722.2,66.1,45,58,113,71,33,320,1287,49,149,86.7,3.3,10
20090101_35002_D01_S004,787,36.7,403,384,95.3,721,66,8.4,153,545,89,43,42,4,19.4,69.3,11.3,44.4,16.3,28.1,58.2,171.9,4.5,47.2,570.1,138,11.6,27,37,64,33,21,182,682,27,78,86.7,3.4,9.9
20090101_35002_D01_S005,1656,33.9,818,838,102.4,1635,21,1.3,329,1208,119,76,32,11,19.9,72.9,7.2,37.1,9.9,27.2,36.2,276.5,9.2,26.9,1124.1,147.3,1.9,66,74,140,70,45,395,1577,33,46,95.2,2,2.8
