GEOCODE_SECCIONES_2008,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Población de 85 o más años dividida por la población de 65 o más años,Población de 75 a 84 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
20080101_35001_D01_S001,1169,42.8,570,599,105.1,1159,10,0.9,157,764,248,99,111,38,13.4,65.4,21.2,53,32.5,20.5,158,63.3,15.3,44.8,356.7,327.7,2.8,21,34,65,55,30,205,1116,38,15,95.5,3.3,1.3
20080101_35001_D01_S002,1429,42.7,715,714,99.9,1414,15,1,180,959,290,144,114,32,12.6,67.1,20.3,49,30.2,18.8,161.1,62.1,11,39.3,191.3,746.9,7.8,29,35,69,65,19,217,1363,42,24,95.4,2.9,1.7
20080101_35001_D01_S003,1217,43.1,636,581,91.4,1112,105,8.6,145,832,240,130,73,37,11.9,68.4,19.7,46.3,28.8,17.4,165.5,60.4,15.4,30.4,1489.5,81.7,7,21,31,61,50,29,192,1056,42,119,86.8,3.5,9.8
20080101_35001_D01_S004,849,42.2,439,410,93.4,791,58,6.8,98,601,150,90,52,8,11.5,70.8,17.7,41.3,25,16.3,153.1,65.3,5.3,34.7,2368.5,35.8,2.4,19,20,37,29,16,121,734,49,66,86.5,5.8,7.8
20080101_35001_D01_S005,1101,37.5,570,531,93.2,1013,88,8,178,817,106,67,35,4,16.2,74.2,9.6,34.8,13,21.8,59.6,167.9,3.8,33,46.6,2361.5,188.7,44,42,61,44,31,222,928,75,98,84.3,6.8,8.9
20080101_35002_D01_S001,967,39.6,484,483,99.8,950,17,1.8,142,680,145,70,59,16,14.7,70.3,15,42.2,21.3,20.9,102.1,97.9,11,40.7,105,921.1,16.2,29,32,49,41,30,181,911,23,33,94.2,2.4,3.4
20080101_35002_D01_S002,886,41.6,436,450,103.2,834,52,5.9,102,627,157,97,49,11,11.5,70.8,17.7,41.3,25,16.3,153.9,65,7,31.2,1071,82.7,4.9,12,20,46,33,25,136,812,17,57,91.6,1.9,6.4
20080101_35002_D01_S003,1479,34.3,723,756,104.6,1362,117,7.9,274,1102,103,68,32,3,18.5,74.5,7,34.2,9.3,24.9,37.6,266,2.9,31.1,205.6,719.3,56.9,52,63,106,68,28,317,1295,53,131,87.6,3.6,8.9
20080101_35002_D01_S004,769,37,397,372,93.7,697,72,9.4,144,537,88,48,36,4,18.7,69.8,11.4,43.2,16.4,26.8,61.1,163.6,4.5,40.9,570.1,134.9,12.6,29,37,56,29,21,172,662,25,82,86.1,3.3,10.7
20080101_35002_D01_S005,1678,33.4,831,847,101.9,1656,22,1.3,328,1238,112,75,29,8,19.5,73.8,6.7,35.5,9,26.5,34.1,292.9,7.1,25.9,1124.1,149.3,2,74,69,131,76,53,403,1597,34,47,95.2,2,2.8
20080101_35002_D01_S006,2786,36.6,1446,1340,92.7,2390,396,14.2,439,2130,217,138,60,19,15.8,76.5,7.8,30.8,10.2,20.6,49.4,202.3,8.8,27.6,27.7,10040.8,1427.2,87,98,170,119,58,532,1999,305,482,71.8,10.9,17.3
20080101_35002_D01_S007,2060,33.7,1022,1038,101.6,2043,17,0.8,418,1505,137,92,39,6,20.3,73.1,6.7,36.9,9.1,27.8,32.8,305.1,4.4,28.5,36,5728.7,47.3,70,103,154,123,56,506,1973,51,36,95.8,2.5,1.7
20080101_35002_D01_S008,1302,41.3,674,628,93.2,1255,47,3.6,176,893,233,125,82,26,13.5,68.6,17.9,45.8,26.1,19.7,132.4,75.5,11.2,35.2,2254.6,57.7,2.1,37,36,69,39,30,211,1179,58,65,90.6,4.5,5
20080101_35002_D01_S009,2028,33.1,1067,961,90.1,1829,199,9.8,412,1474,142,81,49,12,20.3,72.7,7,37.6,9.6,28,34.5,290.1,8.5,34.5,31.7,6406.5,628.6,91,83,170,87,42,473,1712,62,254,84.4,3.1,12.5
20080101_35002_D01_S010,1820,35.6,961,859,89.4,1615,205,11.3,283,1438,99,55,37,7,15.5,79,5.4,26.6,6.9,19.7,35,285.9,7.1,37.4,47,3873.1,436.3,71,51,99,82,35,338,1393,192,235,76.5,10.5,12.9
20080101_35002_D01_S011,1972,36.1,995,977,98.2,1778,194,9.8,376,1374,222,146,70,6,19.1,69.7,11.3,43.5,16.2,27.4,59,169.4,2.7,31.5,58.4,3379.1,332.4,91,78,139,86,42,436,1660,64,248,84.2,3.2,12.6
