GEOCODE_SECCIONES_2019,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Población de 85 o más años dividida por la población de 65 o más años,Población de 75 a 84 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
20190101_35001_D01_S001,1029,47.1,501,528,105.4,1003,26,2.5,104,688,237,107,73,57,10.1,66.9,23,49.6,34.4,15.1,227.9,43.9,24.1,30.8,356.7,288.5,7.3,17,17,45,33,18,130,964,28,37,93.7,2.7,3.6
20190101_35001_D01_S002,1424,45.5,726,698,96.1,1350,74,5.2,151,970,303,146,104,53,10.6,68.1,21.3,46.8,31.2,15.6,200.7,49.8,17.5,34.3,191.3,744.3,38.7,35,33,53,37,35,193,1251,85,88,87.9,6,6.2
20190101_35001_D01_S003,1010,46.8,525,485,92.4,945,65,6.4,97,695,218,124,60,34,9.6,68.8,21.6,45.3,31.4,14,224.7,44.5,15.6,27.5,1489.5,67.8,4.4,12,13,44,39,16,124,901,38,71,89.2,3.8,7
20190101_35001_D01_S004,897,45.6,435,462,106.2,821,76,8.5,91,640,166,94,50,22,10.1,71.3,18.5,40.2,25.9,14.2,182.4,54.8,13.3,30.1,2368.5,37.9,3.2,14,20,36,29,12,111,761,53,83,84.8,5.9,9.3
20190101_35001_D01_S005,1226,42.3,605,621,102.6,1135,91,7.4,166,861,199,129,57,13,13.5,70.2,16.2,42.4,23.1,19.3,119.9,83.4,6.5,28.6,46.6,2629.7,195.2,25,23,70,64,31,213,1048,73,105,85.5,6,8.6
20190101_35002_D01_S001,777,43,391,386,98.7,752,25,3.2,102,558,117,57,38,22,13.1,71.8,15.1,39.2,21,18.3,114.7,87.2,18.8,32.5,105,740.1,23.8,14,20,41,38,13,126,711,27,39,91.5,3.5,5
20190101_35002_D01_S002,708,45.6,343,365,106.4,679,29,4.1,83,486,139,58,58,23,11.7,68.6,19.6,45.7,28.6,17.1,167.5,59.7,16.5,41.7,1071,66.1,2.7,22,15,24,30,10,101,649,20,39,91.7,2.8,5.5
20190101_35002_D01_S003,1529,41.1,753,776,103.1,1428,101,6.6,189,1156,184,108,62,14,12.4,75.6,12,32.3,15.9,16.3,97.4,102.7,7.6,33.7,205.4,744.4,49.2,31,30,78,67,35,241,1287,48,194,84.2,3.1,12.7
20190101_35002_D01_S004,893,40.5,475,418,88,846,47,5.3,128,650,115,61,33,21,14.3,72.8,12.9,37.4,17.7,19.7,89.8,111.3,18.3,28.7,569.9,156.7,8.2,14,32,49,47,21,163,783,46,64,87.7,5.2,7.2
20190101_35002_D01_S005,1347,40.9,698,649,93,1322,25,1.9,173,993,181,124,47,10,12.8,73.7,13.4,35.6,18.2,17.4,104.6,95.6,5.5,26,1124,119.8,2.2,31,24,68,67,43,233,1265,31,51,93.9,2.3,3.8
20190101_35002_D01_S006,1820,42.7,899,921,102.4,1614,206,11.3,226,1331,263,159,83,21,12.4,73.1,14.5,36.7,19.8,17,116.4,85.9,8,31.6,13.4,13616,1541.2,42,42,99,61,34,278,1341,180,299,73.7,9.9,16.4
20190101_35002_D01_S007,1217,41.9,595,622,104.5,1198,19,1.6,158,875,184,113,56,15,13,71.9,15.1,39.1,21,18.1,116.5,85.9,8.2,30.4,29.4,4136,64.6,34,31,55,49,28,197,1144,35,38,94,2.9,3.1
20190101_35002_D01_S008,1158,45.9,605,553,91.4,1103,55,4.7,129,765,264,128,85,51,11.1,66.1,22.8,51.4,34.5,16.9,204.7,48.9,19.3,32.2,2254.5,51.4,2.4,20,27,53,41,15,156,1034,48,76,89.3,4.1,6.6
20190101_35002_D01_S009,1557,39.6,768,789,102.7,1404,153,9.8,245,1128,184,90,64,30,15.7,72.4,11.8,38,16.3,21.7,75.1,133.2,16.3,34.8,18.4,8484.1,833.7,33,45,117,69,40,304,1232,62,263,79.1,4,16.9
20190101_35002_D01_S010,1632,39.6,846,786,92.9,1492,140,8.6,279,1163,190,123,51,16,17.1,71.3,11.6,40.3,16.3,24,68.1,146.8,8.4,26.8,31,5271.8,452.2,42,61,111,85,29,328,1308,118,206,80.1,7.2,12.6
20190101_35002_D01_S011,2035,42.7,1018,1017,99.9,1894,141,6.9,258,1431,346,155,133,58,12.7,70.3,17,42.2,24.2,18,134.1,74.6,16.8,38.4,58.5,3481,241.2,38,55,97,92,40,322,1714,79,242,84.2,3.9,11.9
20190101_35002_D01_S012,1458,40.5,768,690,89.8,1304,154,10.6,212,1083,163,97,49,17,14.5,74.3,11.2,34.6,15.1,19.6,76.9,130.1,10.4,30.1,3.2,45158.9,4769.9,36,42,88,65,31,262,1112,136,210,76.3,9.3,14.4
20190101_35002_D01_S013,2223,37.5,1131,1092,96.6,2107,116,5.2,368,1691,164,93,51,20,16.6,76.1,7.4,31.5,9.7,21.8,44.6,224.4,12.2,31.1,510,435.9,22.7,64,62,152,113,55,446,1950,56,217,87.7,2.5,9.8
20190101_35002_D01_S014,953,44.8,487,466,95.7,943,10,1,97,661,195,137,39,19,10.2,69.4,20.5,44.2,29.5,14.7,201,49.7,9.7,20,62,1536.4,16.1,15,21,39,32,21,128,915,19,19,96,2,2
20190101_35002_D01_S015,1818,38.5,865,953,110.2,1686,132,7.3,281,1346,191,125,48,18,15.5,74,10.5,35.1,14.2,20.9,68,147.1,9.4,25.1,28,6490.1,471.2,41,56,112,97,52,358,1447,74,297,79.6,4.1,16.3
20190101_35002_D01_S016,1565,38.7,782,783,100.1,1392,173,11.1,237,1201,127,78,39,10,15.1,76.7,8.1,30.3,10.6,19.7,53.6,186.6,7.9,30.7,9.1,17173.5,1898.4,36,33,109,75,40,293,1164,144,257,74.4,9.2,16.4
20190101_35002_D01_S017,1953,34.6,1020,933,91.5,1867,86,4.4,413,1451,89,53,23,13,21.1,74.3,4.6,34.6,6.1,28.5,21.5,464,14.6,25.8,1695.6,115.2,5.1,59,82,184,118,53,496,1724,64,165,88.3,3.3,8.4
20190101_35002_D01_S018,1512,40.7,756,756,100,1355,157,10.4,208,1120,184,128,39,17,13.8,74.1,12.2,35,16.4,18.6,88.5,113,9.2,21.2,14.4,10514.1,1091.7,35,44,89,65,33,266,1138,138,236,75.3,9.1,15.6
20190101_35002_D01_S019,1504,32.9,775,729,94.1,1397,107,7.1,381,1084,39,25,10,4,25.3,72.1,2.6,38.7,3.6,35.1,10.2,976.9,10.3,25.6,15,9994.6,711.1,43,72,196,84,31,426,1259,77,168,83.7,5.1,11.2
20190101_35002_D01_S020,880,34.1,438,442,100.9,840,40,4.5,216,636,28,20,6,2,24.5,72.3,3.2,38.4,4.4,34,13,771.4,7.1,21.4,6.7,13070,594.1,26,22,106,82,23,259,772,52,56,87.7,5.9,6.4
20190101_35002_D01_S021,1032,36.6,537,495,92.2,1019,13,1.3,180,814,38,33,5,0,17.4,78.9,3.7,26.8,4.7,22.1,21.1,473.7,0,13.2,9.2,11171.2,140.7,25,26,81,70,35,237,956,33,43,92.6,3.2,4.2
20190101_35002_D01_S022,828,42.1,409,419,102.4,768,60,7.2,103,612,113,72,26,15,12.4,73.9,13.6,35.3,18.5,16.8,109.7,91.2,13.3,23,16.9,4904.5,355.4,20,17,55,16,13,121,665,64,99,80.3,7.7,12
20190101_35002_D01_S023,1220,40.9,625,595,95.2,1095,125,10.2,195,856,169,122,38,9,16,70.2,13.9,42.5,19.7,22.8,86.7,115.4,5.3,22.5,26.9,4527.2,463.9,25,42,84,59,18,228,971,89,160,79.6,7.3,13.1
20190101_35003_D01_S001,2332,40.3,1219,1113,91.3,2019,313,13.4,354,1656,322,181,94,47,15.2,71,13.8,40.8,19.4,21.4,91,109.9,14.6,29.2,3554.1,65.6,8.8,64,67,142,114,59,446,1797,180,355,77.1,7.7,15.2
20190101_35003_D01_S002,1372,41.9,729,643,88.2,1132,240,17.5,184,993,195,118,58,19,13.4,72.4,14.2,38.2,19.6,18.5,106,94.4,9.7,29.7,14329,9.6,1.7,28,30,79,61,30,228,1025,83,264,74.7,6,19.2
20190101_35003_D01_S003,5398,42.6,2853,2545,89.2,2045,3353,62.1,641,3972,785,614,152,19,11.9,73.6,14.5,35.9,19.8,16.1,122.5,81.7,2.4,19.4,1898.8,284.3,176.6,112,142,274,157,61,746,956,955,3487,17.7,17.7,64.6
20190101_35003_D01_S004,2167,43.8,1178,989,84,750,1417,65.4,243,1606,318,258,50,10,11.2,74.1,14.7,34.9,19.8,15.1,130.9,76.4,3.1,15.7,245.9,881.4,576.3,25,43,126,57,25,276,347,337,1483,16,15.6,68.4
20190101_35003_D01_S005,1192,41.9,622,570,91.6,887,305,25.6,158,865,169,108,43,18,13.3,72.6,14.2,37.8,19.5,18.3,107,93.5,10.7,25.4,4928.3,24.2,6.2,18,23,74,52,28,195,748,116,328,62.8,9.7,27.5
20190101_35004_D01_S001,1747,41.8,900,847,94.1,1441,306,17.5,211,1288,248,128,84,36,12.1,73.7,14.2,35.6,19.3,16.4,117.5,85.1,14.5,33.9,65.1,2684.8,470.3,34,40,85,73,49,281,1002,294,451,57.4,16.8,25.8
20190101_35004_D01_S002,1639,41.7,819,820,100.1,1413,226,13.8,222,1165,252,135,80,37,13.5,71.1,15.4,40.7,21.6,19.1,113.5,88.1,14.7,31.7,12.9,12681.1,1748.6,53,33,84,61,45,276,1092,203,344,66.6,12.4,21
20190101_35004_D01_S003,2075,41.5,1036,1039,100.3,1636,439,21.2,286,1496,293,159,88,46,13.8,72.1,14.1,38.7,19.6,19.1,102.4,97.6,15.7,30,14.9,13904.3,2941.7,52,45,128,76,27,328,1075,357,643,51.8,17.2,31
20190101_35004_D01_S004,2070,41.4,995,1075,108,1586,484,23.4,221,1593,256,142,83,31,10.7,77,12.4,29.9,16.1,13.9,115.8,86.3,12.1,32.4,15.9,13048.4,3050.9,53,47,80,61,39,280,964,349,757,46.6,16.9,36.6
20190101_35004_D01_S005,2262,38.4,1188,1074,90.4,1863,399,17.6,343,1700,219,131,65,23,15.2,75.2,9.7,33.1,12.9,20.2,63.8,156.6,10.5,29.7,226.1,1000.5,176.5,60,59,142,108,57,426,1290,336,636,57,14.9,28.1
20190101_35004_D01_S006,3007,38.3,1483,1524,102.8,2318,689,22.9,468,2243,296,157,96,43,15.6,74.6,9.8,34.1,13.2,20.9,63.2,158.1,14.5,32.4,19.8,15180.9,3478.4,90,89,192,120,49,540,1422,393,1192,47.3,13.1,39.6
20190101_35004_D01_S007,1985,38,1000,985,98.5,1452,533,26.9,340,1447,198,111,64,23,17.1,72.9,10,37.2,13.7,23.5,58.2,171.7,11.6,32.3,10.5,18902.4,5075.6,63,74,148,80,39,404,860,299,826,43.3,15.1,41.6
20190101_35004_D01_S008,1181,40.7,589,592,100.5,932,249,21.1,177,843,161,87,52,22,15,71.4,13.6,40.1,19.1,21,91,109.9,13.7,32.3,5.2,22629.7,4771.2,26,42,74,43,16,201,664,187,330,56.2,15.8,27.9
20190101_35004_D01_S009,1576,43.9,756,820,108.5,1317,259,16.4,180,1075,321,211,84,26,11.4,68.2,20.4,46.6,29.9,16.7,178.3,56.1,8.1,26.2,7.3,21632.9,3555.2,28,34,80,53,34,229,856,307,413,54.3,19.5,26.2
20190101_35004_D01_S010,1720,40.9,836,884,105.7,1498,222,12.9,197,1295,228,176,48,4,11.5,75.3,13.3,32.8,17.6,15.2,115.7,86.4,1.8,21.1,17,10122.3,1306.5,39,44,76,49,39,247,974,380,366,56.6,22.1,21.3
20190101_35004_D01_S011,1377,37.7,700,677,96.7,1037,340,24.7,222,1026,129,92,27,10,16.1,74.5,9.4,34.2,12.6,21.6,58.1,172.1,7.8,20.9,5,27400.8,6765.6,41,34,99,69,27,270,608,309,460,44.2,22.4,33.4
20190101_35004_D01_S012,1526,39.1,756,770,101.9,1244,282,18.5,234,1126,166,95,49,22,15.3,73.8,10.9,35.5,14.7,20.8,70.9,141,13.3,29.5,8,19024.6,3515.7,32,43,107,65,43,290,803,203,520,52.6,13.3,34.1
20190101_35004_D02_S001,2042,37.2,1025,1017,99.2,1634,408,20,335,1548,159,103,48,8,16.4,75.8,7.8,31.9,10.3,21.6,47.5,210.7,5,30.2,17.5,11700.3,2337.8,49,65,143,106,45,408,1121,269,652,54.9,13.2,31.9
20190101_35004_D02_S002,1853,40.9,920,933,101.4,1472,381,20.6,250,1365,238,114,100,24,13.5,73.7,12.8,35.8,17.4,18.3,95.2,105,10.1,42,24.3,7613.4,1565.4,39,45,110,72,43,309,1034,181,638,55.8,9.8,34.4
20190101_35004_D02_S003,1592,42.2,806,786,97.5,1338,254,16,224,1112,256,112,118,26,14.1,69.8,16.1,43.2,23,20.1,114.3,87.5,10.2,46.1,13.6,11680.3,1863.6,37,30,99,73,31,270,1032,122,438,64.8,7.7,27.5
20190101_35004_D02_S004,1985,39.2,971,1014,104.4,1758,227,11.4,344,1372,269,191,66,12,17.3,69.1,13.6,44.7,19.6,25.1,78.2,127.9,4.5,24.5,20.7,9593.4,1097.1,58,63,144,110,49,424,1469,186,330,74,9.4,16.6
20190101_35004_D02_S005,2857,38.4,1387,1470,106,2482,375,13.1,503,2020,334,240,79,15,17.6,70.7,11.7,41.4,16.5,24.9,66.4,150.6,4.5,23.7,164.2,1740,228.4,91,94,216,133,57,591,1792,491,574,62.7,17.2,20.1
20190101_35004_D02_S006,1365,40.1,698,667,95.6,1082,283,20.7,183,1017,165,76,64,25,13.4,74.5,12.1,34.2,16.2,18,90.2,110.9,15.2,38.8,14.8,9222.4,1912,43,36,74,42,25,220,735,118,512,53.8,8.6,37.5
20190101_35004_D02_S007,2147,40.5,1095,1052,96.1,1785,362,16.9,325,1495,327,201,102,24,15.1,69.6,15.2,43.6,21.9,21.7,100.6,99.4,7.3,31.2,15.4,13973,2356,61,62,122,109,57,411,1420,171,556,66.1,8,25.9
20190101_35004_D02_S008,1374,38,666,708,106.3,932,442,32.2,217,1000,157,98,43,16,15.8,72.8,11.4,37.4,15.7,21.7,72.4,138.2,10.2,27.4,6.8,20103,6466.9,48,47,79,56,33,263,553,151,670,40.2,11,48.8
20190101_35004_D02_S009,2353,39.1,1213,1140,94,1811,542,23,376,1662,315,167,109,39,16,70.6,13.4,41.6,19,22.6,83.8,119.4,12.4,34.6,15.1,15629.4,3600.1,75,63,166,99,52,455,1240,224,889,52.7,9.5,37.8
20190101_35004_D02_S010,1956,38.3,980,976,99.6,1486,470,24,347,1398,211,129,62,20,17.7,71.5,10.8,39.9,15.1,24.8,60.8,164.5,9.5,29.4,15.7,12440,2989.2,72,63,148,76,45,404,1034,171,751,52.9,8.7,38.4
20190101_35004_D02_S011,1604,41.6,796,808,101.5,1155,449,28,207,1165,232,125,79,28,12.9,72.6,14.5,37.7,19.9,17.8,112.1,89.2,12.1,34.1,6.8,23496.3,6577.2,32,33,92,70,31,258,744,184,676,46.4,11.5,42.1
20190101_35004_D02_S012,2671,34.1,1308,1363,104.2,2347,324,12.1,548,2010,113,76,30,7,20.5,75.3,4.2,32.9,5.6,27.3,20.6,485,6.2,26.5,19.7,13552.7,1644,86,100,226,172,77,661,1568,482,621,58.7,18,23.2
20190101_35004_D02_S013,1915,37.9,947,968,102.2,1513,402,21,317,1402,196,109,72,15,16.6,73.2,10.2,36.6,14,22.6,61.8,161.7,7.7,36.7,38.1,5030.6,1056,58,59,131,94,68,410,1003,240,672,52.4,12.5,35.1
20190101_35004_D02_S014,2295,38.1,1155,1140,98.7,1887,408,17.8,388,1663,244,151,67,26,16.9,72.5,10.6,38,14.7,23.3,62.9,159,10.7,27.5,18.5,12373,2199.6,84,67,160,107,59,477,1416,202,677,61.7,8.8,29.5
20190101_35004_D02_S015,2797,35.7,1445,1352,93.6,2332,465,16.6,509,2109,179,142,29,8,18.2,75.4,6.4,32.6,8.5,24.1,35.2,284.4,4.5,16.2,89.1,3139.3,521.9,99,97,208,138,50,592,1684,359,754,60.2,12.8,27
20190101_35004_D02_S016,2690,35.3,1348,1342,99.6,2323,367,13.6,495,2040,155,118,27,10,18.4,75.8,5.8,31.9,7.6,24.3,31.3,319.4,6.5,17.4,17.1,15740.8,2147.5,71,96,214,142,57,580,1640,428,622,61,15.9,23.1
20190101_35004_D02_S017,2518,35.2,1284,1234,96.1,2228,290,11.5,463,1952,103,78,17,8,18.4,77.5,4.1,29,5.3,23.7,22.2,449.5,7.8,16.5,61.8,4074.9,469.3,72,83,184,170,76,585,1581,400,537,62.8,15.9,21.3
20190101_35004_D02_S018,2070,35.9,1010,1060,105,1708,362,17.5,364,1603,103,63,33,7,17.6,77.4,5,29.1,6.4,22.7,28.3,353.4,6.8,32,37.7,5489.1,959.9,62,58,156,108,54,438,1036,411,623,50,19.9,30.1
20190101_35004_D02_S019,932,38,487,445,91.4,808,124,13.3,124,742,66,45,16,5,13.3,79.6,7.1,25.6,8.9,16.7,53.2,187.9,7.6,24.2,1397.9,66.7,8.9,15,30,49,43,24,161,628,119,185,67.4,12.8,19.8
20190101_35004_D02_S020,1807,34.8,913,894,97.9,1552,255,14.1,340,1371,96,73,19,4,18.8,75.9,5.3,31.8,7,24.8,28.2,354.2,4.2,19.8,6.9,26274.8,3707.9,70,62,147,81,47,407,1114,247,446,61.6,13.7,24.7
20190101_35005_D01_S001,1069,51,589,480,81.5,1064,5,0.5,49,735,285,151,84,50,4.6,68.8,26.7,45.4,38.8,6.7,581.6,17.2,17.5,29.5,6641.7,16.1,0.1,10,8,17,20,12,67,1034,13,22,96.7,1.2,2.1
20190101_35006_D01_S001,956,47.7,466,490,105.2,928,28,2.9,85,640,231,98,88,45,8.9,66.9,24.2,49.4,36.1,13.3,271.8,36.8,19.5,38.1,55.5,1722.2,50.4,13,13,34,39,19,118,863,35,58,90.3,3.7,6.1
20190101_35006_D01_S002,1668,41.5,781,887,113.6,1592,76,4.6,274,1122,272,127,94,51,16.4,67.3,16.3,48.7,24.2,24.4,99.3,100.7,18.8,34.6,34.8,4791.5,218.3,52,54,112,72,35,325,1443,106,119,86.5,6.4,7.1
20190101_35006_D01_S003,1465,45,732,733,100.1,1439,26,1.8,161,1014,290,143,95,52,11,69.2,19.8,44.5,28.6,15.9,180.1,55.5,17.9,32.8,60.4,2424.5,43,22,24,77,54,37,214,1376,41,48,93.9,2.8,3.3
20190101_35006_D01_S004,2187,41.1,1079,1108,102.7,2158,29,1.3,332,1556,299,152,101,46,15.2,71.1,13.7,40.6,19.2,21.3,90.1,111,15.4,33.8,67.4,3244.2,43,44,47,155,121,53,420,2026,85,76,92.6,3.9,3.5
20190101_35006_D01_S005,1381,43.1,659,722,109.6,1328,53,3.8,167,995,219,125,67,27,12.1,72,15.9,38.8,22,16.8,131.1,76.3,12.3,30.6,9.9,13920.2,534.2,26,28,69,56,34,213,1223,62,96,88.6,4.5,7
20190101_35006_D02_S001,1536,47,776,760,97.9,1520,16,1,156,1018,362,164,141,57,10.2,66.3,23.6,50.9,35.6,15.3,232.1,43.1,15.7,39,160.3,958,10,28,22,60,54,26,190,1486,22,28,96.7,1.4,1.8
20190101_35006_D02_S002,669,44.7,331,338,102.1,662,7,1,94,430,145,65,55,25,14.1,64.3,21.7,55.6,33.7,21.9,154.3,64.8,17.2,37.9,132.7,504.1,5.3,19,9,43,30,13,114,622,23,24,93,3.4,3.6
20190101_35006_D02_S003,686,45,336,350,104.2,671,15,2.2,85,469,132,61,53,18,12.4,68.4,19.2,46.3,28.1,18.1,155.3,64.4,13.6,40.2,39.6,1731.2,37.9,13,8,40,33,12,106,618,30,38,90.1,4.4,5.5
20190101_35006_D03_S001,806,43,413,393,95.2,791,15,1.9,106,563,137,72,47,18,13.2,69.9,17,43.2,24.3,18.8,129.2,77.4,13.1,34.3,178.3,452.2,8.4,12,24,54,24,16,130,741,39,26,91.9,4.8,3.2
20190101_35006_D03_S002,1802,43,866,936,108.1,1787,15,0.8,243,1250,309,145,122,42,13.5,69.4,17.1,44.2,24.7,19.4,127.2,78.6,13.6,39.5,106.2,1696.8,14.1,43,44,88,89,45,309,1702,48,52,94.5,2.7,2.9
20190101_35006_D03_S003,1671,44,825,846,102.5,1627,44,2.6,192,1166,313,188,96,29,11.5,69.8,18.7,43.3,26.8,16.5,163,61.3,9.3,30.7,103.9,1608,42.3,28,36,74,70,37,245,1513,74,84,90.5,4.4,5
20190101_35006_D03_S004,793,44.6,407,386,94.8,777,16,2,97,545,151,91,43,17,12.2,68.7,19,45.5,27.7,17.8,155.7,64.2,11.3,28.5,58.9,1346.6,27.2,14,18,50,20,13,115,727,29,37,91.7,3.7,4.7
20190101_35006_D04_S001,1863,44,955,908,95.1,1818,45,2.4,238,1284,341,162,109,70,12.8,68.9,18.3,45.1,26.6,18.5,143.3,69.8,20.5,32,192.1,969.8,23.4,45,34,101,75,29,284,1714,66,83,92,3.5,4.5
20190101_35006_D04_S002,965,40.2,503,462,91.8,950,15,1.6,146,702,117,69,36,12,15.1,72.7,12.1,37.5,16.7,20.8,80.1,124.8,10.3,30.8,262.5,367.6,5.7,24,19,71,47,19,180,894,37,34,92.6,3.8,3.5
20190101_35006_D04_S003,959,42.8,470,489,104,918,41,4.3,97,753,109,54,41,14,10.1,78.5,11.4,27.4,14.5,12.9,112.4,89,12.8,37.6,141.3,678.9,29,14,15,42,32,16,119,799,62,98,83.3,6.5,10.2
20190101_35006_D04_S004,1642,39,819,823,100.5,1601,41,2.5,290,1165,187,101,61,25,17.7,71,11.4,40.9,16.1,24.9,64.5,155.1,13.4,32.6,76.2,2155.8,53.8,49,52,135,81,39,356,1487,67,88,90.6,4.1,5.4
20190101_35006_D05_S001,1834,41.4,888,946,106.5,1806,28,1.5,255,1339,240,139,66,35,13.9,73,13.1,37,17.9,19,94.1,106.2,14.6,27.5,70,2620,40,33,53,109,77,31,303,1674,79,81,91.3,4.3,4.4
20190101_35006_D05_S002,1760,42,867,893,103,1730,30,1.7,217,1308,235,155,63,17,12.3,74.3,13.4,34.6,18,16.6,108.3,92.3,7.2,26.8,58.6,3005.9,51.2,37,40,79,85,36,277,1621,58,81,92.1,3.3,4.6
20190101_35006_D05_S003,1660,41.3,830,830,100,1636,24,1.4,230,1191,239,119,83,37,13.9,71.7,14.4,39.4,20.1,19.3,103.9,96.2,15.5,34.7,29.9,5551.6,80.3,33,36,113,62,37,281,1535,65,60,92.5,3.9,3.6
20190101_35006_D05_S004,949,42.8,468,481,102.8,945,4,0.4,128,650,171,99,58,14,13.5,68.5,18,46,26.3,19.7,133.6,74.9,8.2,33.9,208.3,455.6,1.9,17,18,57,51,21,164,922,15,12,97.2,1.6,1.3
20190101_35006_D05_S005,1834,42,907,927,102.2,1792,42,2.3,246,1304,284,136,108,40,13.4,71.1,15.5,40.6,21.8,18.9,115.4,86.6,14.1,38,29.1,6305.7,144.4,40,53,105,75,39,312,1683,68,83,91.8,3.7,4.5
20190101_35006_D05_S006,2375,38.8,1208,1167,96.6,2348,27,1.1,352,1861,162,111,40,11,14.8,78.4,6.8,27.6,8.7,18.9,46,217.3,6.8,24.7,95.7,2482.9,28.2,58,47,158,125,53,441,2182,110,83,91.9,4.6,3.5
20190101_35006_D06_S001,2349,40.2,1189,1160,97.6,2293,56,2.4,355,1704,290,182,86,22,15.1,72.5,12.3,37.9,17,20.8,81.7,122.4,7.6,29.7,246.8,952,22.7,47,63,152,117,54,433,2076,160,113,88.4,6.8,4.8
20190101_35006_D06_S002,1467,41.3,743,724,97.4,1429,38,2.6,204,1053,210,128,63,19,13.9,71.8,14.3,39.3,19.9,19.4,102.9,97.1,9,30,195.8,749.3,19.4,40,48,71,59,33,251,1313,79,75,89.5,5.4,5.1
20190101_35006_D06_S003,776,43.2,400,376,94,749,27,3.5,99,570,107,59,39,9,12.8,73.5,13.8,36.1,18.8,17.4,108.1,92.5,8.4,36.4,287.4,270,9.4,13,17,42,34,19,125,685,45,46,88.3,5.8,5.9
20190101_35006_D07_S001,1345,44.7,711,634,89.2,1305,40,3,153,931,261,148,82,31,11.4,69.2,19.4,44.5,28,16.4,170.6,58.6,11.9,31.4,211.6,635.5,18.9,30,27,55,45,36,193,1257,31,57,93.5,2.3,4.2
20190101_35006_D07_S002,740,44.6,371,369,99.5,720,20,2.7,88,515,137,55,51,31,11.9,69.6,18.5,43.7,26.6,17.1,155.7,64.2,22.6,37.2,162,456.8,12.3,15,15,32,35,16,113,669,26,45,90.4,3.5,6.1
20190101_35007_D01_S001,758,45.6,396,362,91.4,608,150,19.8,92,482,184,106,58,20,12.1,63.6,24.3,57.3,38.2,19.1,200,50,10.9,31.5,10330.9,7.3,1.5,18,17,36,27,15,113,581,23,154,76.6,3,20.3
20190101_35008_D01_S001,1245,44.8,620,625,100.8,1219,26,2.1,132,885,228,110,82,36,10.6,71.1,18.3,40.7,25.8,14.9,172.7,57.9,15.8,36,381.4,326.4,6.8,14,18,65,47,28,172,1168,25,52,93.8,2,4.2
20190101_35008_D01_S002,1280,42.5,639,641,100.3,1267,13,1,150,959,171,80,73,18,11.7,74.9,13.4,33.5,17.8,15.6,114,87.7,10.5,42.7,71.7,1786.1,18.1,12,14,68,77,41,212,1215,34,31,94.9,2.7,2.4
20190101_35008_D02_S001,1170,43.8,585,585,100,1139,31,2.6,150,802,218,126,68,24,12.8,68.5,18.6,45.9,27.2,18.7,145.3,68.8,11,31.2,476.2,245.7,6.5,17,28,66,54,27,192,1073,41,56,91.7,3.5,4.8
