GEOCODE_SECCIONES_2006,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Población de 85 o más años dividida por la población de 65 o más años,Población de 75 a 84 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
20060101_35001_D01_S001,1133,42.1,554,579,104.5,1128,5,0.4,166,730,237,118,87,32,14.7,64.4,20.9,55.2,32.5,22.7,142.8,70,13.5,36.7,356.7,317.6,1.4,27,37,62,57,23,206,1097,25,11,96.8,2.2,1
20060101_35001_D01_S002,1445,42,730,715,97.9,1432,13,0.9,185,986,274,152,97,25,12.8,68.2,19,46.6,27.8,18.8,148.1,67.5,9.1,35.4,191.3,755.3,6.8,30,44,68,54,30,226,1387,36,22,96,2.5,1.5
20060101_35001_D01_S003,1233,41.3,644,589,91.5,1130,103,8.4,173,837,223,126,69,28,14,67.9,18.1,47.3,26.6,20.7,128.9,77.6,12.6,30.9,1489.5,82.8,6.9,38,33,51,64,35,221,1067,48,118,86.5,3.9,9.6
20060101_35001_D01_S004,806,40.6,427,379,88.8,759,47,5.8,100,578,128,81,38,9,12.4,71.7,15.9,39.4,22.1,17.3,128,78.1,7,29.7,2368.5,34,2,19,17,42,33,15,126,705,50,51,87.5,6.2,6.3
20060101_35001_D01_S005,1021,36.4,523,498,95.2,950,71,7,173,762,86,54,27,5,16.9,74.6,8.4,34,11.3,22.7,49.7,201.2,5.8,31.4,46.6,2189.9,152.3,42,41,51,56,25,215,870,71,80,85.2,7,7.8
20060101_35002_D01_S001,1023,39.1,516,507,98.3,1006,17,1.7,159,708,156,83,63,10,15.5,69.2,15.2,44.5,22,22.5,98.1,101.9,6.4,40.4,105,974.4,16.2,32,23,61,60,34,210,954,31,38,93.3,3,3.7
20060101_35002_D01_S002,913,41.1,450,463,102.9,887,26,2.8,127,626,160,97,54,9,13.9,68.6,17.5,45.8,25.6,20.3,126,79.4,5.6,33.8,1071,85.2,2.4,22,20,55,38,23,158,859,23,31,94.1,2.5,3.4
20060101_35002_D01_S003,1467,33.5,729,738,101.2,1325,142,9.7,267,1111,89,64,22,3,18.2,75.7,6.1,32,8,24,33.3,300,3.4,24.7,205.6,713.5,69.1,56,54,101,68,50,329,1248,48,171,85.1,3.3,11.7
20060101_35002_D01_S004,755,36.8,391,364,93.1,688,67,8.9,133,540,82,52,27,3,17.6,71.5,10.9,39.8,15.2,24.6,61.7,162.2,3.7,32.9,570.1,132.4,11.8,31,27,48,35,17,158,664,18,73,87.9,2.4,9.7
20060101_35002_D01_S005,1724,32.5,863,861,99.8,1687,37,2.1,326,1306,92,65,22,5,18.9,75.8,5.3,32,7,25,28.2,354.3,5.4,23.9,1124.1,153.4,3.3,69,80,109,93,58,409,1630,32,62,94.5,1.9,3.6
20060101_35002_D01_S006,2677,35.7,1395,1282,91.9,2257,420,15.7,439,2034,204,129,60,15,16.4,76,7.6,31.6,10,21.6,46.5,215.2,7.4,29.4,27.8,9645.8,1513.3,88,98,168,114,67,535,1881,308,488,70.3,11.5,18.2
20060101_35002_D01_S007,1906,33.1,941,965,102.6,1886,20,1,395,1391,120,87,29,4,20.7,73,6.3,37,8.6,28.4,30.4,329.2,3.3,24.2,36,5300.4,55.6,86,85,149,95,59,474,1823,44,39,95.6,2.3,2
20060101_35002_D01_S008,1297,41.5,667,630,94.5,1261,36,2.8,155,906,236,132,75,29,12,69.9,18.2,43.2,26,17.1,152.3,65.7,12.3,31.8,2254.6,57.5,1.6,29,30,70,43,36,208,1191,56,50,91.8,4.3,3.9
20060101_35002_D01_S009,3195,31.4,1643,1552,94.5,2967,228,7.1,715,2296,184,112,59,13,22.4,71.9,5.8,39.2,8,31.1,25.7,388.6,7.1,32.1,1738.4,183.8,13.1,162,157,274,166,74,833,2767,140,288,86.6,4.4,9
20060101_35002_D01_S010,2871,34.5,1543,1328,86.1,2536,335,11.7,487,2226,158,102,50,6,17,77.5,5.5,29,7.1,21.9,32.4,308.2,3.8,31.6,56.1,5117.4,597.1,114,98,184,130,57,583,2162,310,399,75.3,10.8,13.9
20060101_35002_D01_S011,1985,35.3,1001,984,98.3,1800,185,9.3,362,1431,192,130,52,10,18.2,72.1,9.7,38.7,13.4,25.3,53,188.5,5.2,27.1,58.4,3401.3,317,83,76,132,85,36,412,1692,73,220,85.2,3.7,11.1
20060101_35002_D01_S012,2238,35.3,1185,1053,88.9,1888,350,15.6,356,1733,149,107,34,8,15.9,77.4,6.7,29.1,8.6,20.5,41.9,238.9,5.4,22.8,31,7214.4,1128.3,101,72,120,79,33,405,1643,208,387,73.4,9.3,17.3
20060101_35002_D01_S013,1885,32.1,989,896,90.6,1767,118,6.3,422,1333,130,91,26,13,22.4,70.7,6.9,41.4,9.8,31.7,30.8,324.6,10,20,509.8,369.7,23.1,82,76,177,114,60,509,1714,39,132,90.9,2.1,7
20060101_35002_D01_S014,1109,36.4,565,544,96.3,1097,12,1.1,171,844,94,56,29,9,15.4,76.1,8.5,31.4,11.1,20.3,55,181.9,9.6,30.9,62,1787.9,19.3,29,30,71,54,29,213,1065,20,24,96,1.8,2.2
20060101_35002_D01_S015,1548,33,794,754,95,1291,257,16.6,306,1148,94,64,27,3,19.8,74.2,6.1,34.8,8.2,26.7,30.7,325.5,3.2,28.7,27.8,5575.3,925.6,56,59,127,83,54,379,1213,57,278,78.4,3.7,18
20060101_35003_D01_S001,2822,35,1504,1318,87.6,2477,345,12.2,538,2055,229,127,81,21,19.1,72.8,8.1,37.3,11.1,26.2,42.6,234.9,9.2,35.4,8482.4,33.3,4.1,102,109,217,149,75,652,2173,262,387,77,9.3,13.7
20060101_35003_D01_S002,1170,36.9,615,555,90.2,1013,157,13.4,190,852,128,73,38,17,16.2,72.8,10.9,37.3,15,22.3,67.4,148.4,13.3,29.7,14329,8.2,1.1,37,31,80,52,32,232,912,81,177,77.9,6.9,15.1
20060101_35003_D01_S003,2586,35.2,1407,1179,83.8,1100,1486,57.5,309,2184,93,74,16,3,11.9,84.5,3.6,18.4,4.3,14.1,30.1,332.3,3.2,17.2,1898.8,136.2,78.3,51,70,128,82,34,365,390,663,1533,15.1,25.6,59.3
20060101_35003_D01_S004,1628,33.8,1012,616,60.9,834,794,48.8,215,1375,38,30,8,0,13.2,84.5,2.3,18.4,2.8,15.6,17.7,565.8,0,21.1,245.9,662.2,323,44,51,89,42,24,250,299,491,838,18.4,30.2,51.5
20060101_35004_D01_S001,2022,36.9,1055,967,91.7,1482,540,26.7,352,1451,219,87,79,53,17.4,71.8,10.8,39.4,15.1,24.3,62.2,160.7,24.2,36.1,65.1,3107.2,829.8,86,79,122,81,41,409,1149,297,576,56.8,14.7,28.5
20060101_35004_D01_S002,1894,36.3,1028,866,84.2,1574,320,16.9,318,1376,200,100,75,25,16.8,72.7,10.6,37.6,14.5,23.1,62.9,159,12.5,37.5,12.9,14654.1,2475.9,66,77,124,75,42,384,1314,237,343,69.4,12.5,18.1
20060101_35004_D01_S003,2280,38.1,1122,1158,103.2,1656,624,27.4,310,1714,256,120,97,39,13.6,75.2,11.2,33,14.9,18.1,82.6,121.1,15.2,37.9,14.9,15274,4180.3,64,55,120,93,35,367,1225,392,663,53.7,17.2,29.1
20060101_35004_D01_S004,2171,36,1048,1123,107.2,1653,518,23.9,334,1640,197,110,62,25,15.4,75.5,9.1,32.4,12,20.4,59,169.5,12.7,31.5,15.9,13685.5,3265.4,64,69,125,97,47,402,1157,411,603,53.3,18.9,27.8
20060101_35004_D01_S005,2015,32.2,1029,986,95.8,1603,412,20.4,389,1518,108,73,28,7,19.3,75.3,5.4,32.7,7.1,25.6,27.8,360.2,6.5,25.9,226.1,891.2,182.2,90,87,138,105,88,508,1275,295,445,63.3,14.6,22.1
20060101_35004_D01_S006,2458,35,1251,1207,96.5,1723,735,29.9,416,1833,209,115,77,17,16.9,74.6,8.5,34.1,11.4,22.7,50.2,199,8.1,36.8,19.8,12409.3,3710.7,93,75,172,100,46,486,1337,357,764,54.4,14.5,31.1
20060101_35004_D01_S007,1426,34.8,708,718,101.4,967,459,32.2,239,1076,111,64,35,12,16.8,75.5,7.8,32.5,10.3,22.2,46.4,215.3,10.8,31.5,10.5,13579.3,4370.9,50,49,95,64,32,290,681,267,478,47.8,18.7,33.5
20060101_35004_D01_S008,1086,37.2,557,529,95,874,212,19.5,178,782,126,72,41,13,16.4,72,11.6,38.9,16.1,22.8,70.8,141.3,10.3,32.5,5.2,20809.4,4062.2,38,37,72,39,28,214,662,188,236,61,17.3,21.7
20060101_35004_D01_S009,1905,37.2,964,941,97.6,1511,394,20.7,248,1498,159,94,49,16,13,78.6,8.3,27.2,10.6,16.6,64.1,156,10.1,30.8,7.3,26147.8,5408,49,52,92,76,34,303,1078,378,449,56.6,19.8,23.6
20060101_35004_D01_S010,1781,32.9,886,895,101,1554,227,12.7,317,1400,64,46,12,6,17.8,78.6,3.6,27.2,4.6,22.6,20.2,495.3,9.4,18.8,17,10481,1335.9,48,61,116,115,52,392,1161,348,272,65.2,19.5,15.3
20060101_35004_D01_S011,1009,33.6,524,485,92.6,804,205,20.3,171,791,47,36,10,1,16.9,78.4,4.7,27.6,5.9,21.6,27.5,363.8,2.1,21.3,5,20078,4079.3,32,31,64,58,24,209,531,244,234,52.6,24.2,23.2
20060101_35004_D01_S012,1325,36,673,652,96.9,1033,292,22,215,991,119,54,48,17,16.2,74.8,9,33.7,12,21.7,55.3,180.7,14.3,40.3,8,16518.7,3640.4,48,45,84,50,37,264,821,196,308,62,14.8,23.2
20060101_35004_D02_S001,3253,30.9,1682,1571,93.4,2417,836,25.7,689,2448,116,80,28,8,21.2,75.3,3.6,32.9,4.7,28.1,16.8,594,6.9,24.1,55.2,5897,1515.5,162,178,236,153,84,813,1739,616,898,53.5,18.9,27.6
20060101_35004_D02_S002,1638,37.5,853,785,92,1342,296,18.1,226,1220,192,122,51,19,13.8,74.5,11.7,34.3,15.7,18.5,85,117.7,9.9,26.6,24.3,6730,1216.2,50,48,76,64,41,279,1123,201,314,68.6,12.3,19.2
20060101_35004_D02_S003,1815,36.9,958,857,89.5,1488,327,18,312,1287,216,146,61,9,17.2,70.9,11.9,41,16.8,24.2,69.2,144.4,4.2,28.2,13.6,13316.4,2399.2,61,74,112,84,42,373,1308,165,342,72.1,9.1,18.8
20060101_35004_D02_S004,2048,33,1055,993,94.1,1836,212,10.4,373,1576,99,67,29,3,18.2,77,4.8,29.9,6.3,23.7,26.5,376.8,3,29.3,20.7,9897.9,1024.6,91,78,129,104,51,453,1633,183,232,79.7,8.9,11.3
20060101_35004_D02_S005,2345,34.3,1202,1143,95.1,2002,343,14.6,378,1855,112,70,27,15,16.1,79.1,4.8,26.4,6,20.4,29.6,337.5,13.4,24.1,154,1522.3,222.7,90,64,140,121,59,474,1483,463,399,63.2,19.7,17
20060101_35004_D02_S006,1105,37.1,565,540,95.6,874,231,20.9,169,806,130,84,38,8,15.3,72.9,11.8,37.1,16.1,21,76.9,130,6.2,29.2,14.8,7465.8,1560.7,36,30,67,50,28,211,763,82,260,69,7.4,23.5
20060101_35004_D02_S007,2167,36.7,1109,1058,95.4,1815,352,16.2,315,1638,214,152,48,14,14.5,75.6,9.9,32.3,13.1,19.2,67.9,147.2,6.5,22.4,15.4,14103.2,2290.9,78,64,105,92,53,392,1611,183,373,74.3,8.4,17.2
20060101_35004_D02_S008,1025,35.7,527,498,94.5,628,397,38.7,154,780,91,55,22,14,15,76.1,8.9,31.4,11.7,19.7,59.1,169.2,15.4,24.2,6.8,14996.8,5808.5,48,30,51,29,21,179,430,180,415,42,17.6,40.5
20060101_35004_D02_S009,1921,35.7,1015,906,89.3,1461,460,23.9,330,1393,198,124,64,10,17.2,72.5,10.3,37.9,14.2,23.7,60,166.7,5.1,32.3,15.1,12759.9,3055.5,73,77,114,88,44,396,1230,205,486,64,10.7,25.3
20060101_35004_D02_S010,1531,35.6,813,718,88.3,1111,420,27.4,236,1185,110,68,37,5,15.4,77.4,7.2,29.2,9.3,19.9,46.6,214.5,4.5,33.6,15.7,9737,2671.2,56,58,75,59,39,287,940,144,447,61.4,9.4,29.2
20060101_35004_D02_S011,1620,37.3,839,781,93.1,1185,435,26.9,239,1212,169,106,50,13,14.8,74.8,10.4,33.7,13.9,19.7,70.7,141.4,7.7,29.6,6.8,23730.7,6372.1,44,46,99,67,34,290,892,257,471,55.1,15.9,29.1
20060101_35004_D02_S012,1528,28.8,796,732,92,1289,239,15.6,364,1139,25,17,6,2,23.8,74.5,1.6,34.2,2.2,32,6.9,1456,8,24,19.7,7753.1,1212.7,95,70,132,86,35,418,904,350,274,59.2,22.9,17.9
20060101_35004_D02_S013,1934,34.9,979,955,97.5,1433,501,25.9,337,1437,160,103,43,14,17.4,74.3,8.3,34.6,11.1,23.5,47.5,210.6,8.8,26.9,38.1,5080.5,1316.1,57,78,128,101,58,422,1056,333,545,54.6,17.2,28.2
20060101_35004_D02_S014,2055,34.2,1073,982,91.5,1567,488,23.7,355,1566,134,73,46,15,17.3,76.2,6.5,31.2,8.6,22.7,37.7,264.9,11.2,34.3,18.5,11079.1,2630.9,81,78,129,91,48,427,1329,215,511,64.7,10.5,24.9
20060101_35004_D02_S015,2792,31.2,1508,1284,85.1,2236,556,19.9,585,2115,92,65,20,7,21,75.8,3.3,32,4.3,27.7,15.7,635.9,7.6,21.7,1537.3,181.6,36.2,123,109,228,165,90,715,1888,327,577,67.6,11.7,20.7
20060101_35004_D02_S016,2578,30.3,1333,1245,93.4,2082,496,19.2,535,1983,60,40,18,2,20.8,76.9,2.3,30,3,27,11.2,891.7,3.3,30,24,10756.6,2069.5,116,107,219,123,63,628,1663,379,536,64.5,14.7,20.8
20060101_35004_D02_S017,2476,28.8,1319,1157,87.7,2121,355,14.3,593,1839,44,26,15,3,23.9,74.3,1.8,34.6,2.4,32.2,7.4,1347.7,6.8,34.1,21.7,11434.4,1639.4,152,125,190,179,73,719,1658,416,402,67,16.8,16.2
20060101_35005_D01_S001,1306,44.6,695,611,87.9,1302,4,0.3,100,932,274,148,102,24,7.7,71.4,21,40.1,29.4,10.7,274,36.5,8.8,37.2,6641.7,19.7,0.1,13,18,45,37,26,139,1263,26,17,96.7,2,1.3
20060101_35006_D01_S001,1180,43,556,624,112.2,1164,16,1.4,161,777,242,122,85,35,13.6,65.8,20.5,51.9,31.1,20.7,150.3,66.5,14.5,35.1,55.5,2125.8,28.8,30,31,59,53,24,197,1092,45,43,92.5,3.8,3.6
20060101_35006_D01_S002,2343,36.3,1110,1233,111.1,2302,41,1.7,404,1713,226,129,74,23,17.2,73.1,9.6,36.8,13.2,23.6,55.9,178.8,10.2,32.7,44.7,5237.8,91.7,83,83,141,119,60,486,2171,98,74,92.7,4.2,3.2
