GEOCODE_SECCIONES_2007,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Población de 85 o más años dividida por la población de 65 o más años,Población de 75 a 84 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
20070101_35001_D01_S001,1155,42.2,559,596,106.6,1147,8,0.7,162,756,237,105,99,33,14,65.5,20.5,52.8,31.3,21.4,146.3,68.4,13.9,41.8,356.7,323.8,2.2,23,35,62,57,23,200,1107,34,14,95.8,2.9,1.2
20070101_35001_D01_S002,1431,41.9,723,708,97.9,1416,15,1,190,966,275,147,100,28,13.3,67.5,19.2,48.1,28.5,19.7,144.7,69.1,10.2,36.4,191.3,748,7.8,43,37,61,61,24,226,1367,40,24,95.5,2.8,1.7
20070101_35001_D01_S003,1213,42.2,631,582,92.2,1106,107,8.8,159,824,230,129,73,28,13.1,67.9,19,47.2,27.9,19.3,144.7,69.1,12.2,31.7,1489.5,81.4,7.2,29,31,57,58,28,203,1056,37,120,87.1,3.1,9.9
20070101_35001_D01_S004,849,41.1,440,409,93,799,50,5.9,103,613,133,83,40,10,12.1,72.2,15.7,38.5,21.7,16.8,129.1,77.4,7.5,30.1,2368.5,35.8,2.1,28,19,35,30,22,134,742,53,54,87.4,6.2,6.4
20070101_35001_D01_S005,1062,37.3,546,516,94.5,985,77,7.3,168,797,97,62,29,6,15.8,75,9.1,33.2,12.2,21.1,57.7,173.2,6.2,29.9,46.6,2277.9,165.2,36,42,53,51,26,208,904,73,85,85.1,6.9,8
20070101_35002_D01_S001,1007,38.9,515,492,95.5,989,18,1.8,153,709,145,71,63,11,15.2,70.4,14.4,42,20.5,21.6,94.8,105.5,7.6,43.4,105,959.2,17.1,30,28,57,54,37,206,939,31,37,93.2,3.1,3.7
20070101_35002_D01_S002,779,41.7,378,401,106.1,755,24,3.1,100,537,142,85,49,8,12.8,68.9,18.2,45.1,26.4,18.6,142,70.4,5.6,34.5,1071,72.7,2.2,18,17,45,30,13,123,729,19,31,93.6,2.4,4
20070101_35002_D01_S003,1471,33.7,724,747,103.2,1359,112,7.6,272,1103,96,65,28,3,18.5,75,6.5,33.4,8.7,24.7,35.3,283.3,3.1,29.2,205.6,715.4,54.5,54,64,110,63,39,330,1285,52,134,87.4,3.5,9.1
20070101_35002_D01_S004,758,37.1,389,369,94.9,703,55,7.3,134,540,84,50,30,4,17.7,71.2,11.1,40.4,15.6,24.8,62.7,159.5,4.8,35.7,570.1,133,9.6,29,34,51,33,15,162,672,23,63,88.7,3,8.3
20070101_35002_D01_S005,1687,32.9,838,849,101.3,1664,23,1.4,325,1265,97,63,28,6,19.3,75,5.7,33.4,7.7,25.7,29.8,335.1,6.2,28.9,1124.1,150.1,2,66,79,121,83,56,405,1608,32,47,95.3,1.9,2.8
20070101_35002_D01_S006,2737,36.2,1409,1328,94.3,2355,382,14,450,2078,209,133,59,17,16.4,75.9,7.6,31.7,10.1,21.7,46.4,215.3,8.1,28.2,27.7,9864.2,1376.7,83,106,171,114,58,532,1981,305,451,72.4,11.1,16.5
20070101_35002_D01_S007,1971,33.6,973,998,102.6,1951,20,1,402,1438,131,93,32,6,20.4,73,6.6,37.1,9.1,28,32.6,306.9,4.6,24.4,36,5481.2,55.6,80,92,141,112,52,477,1892,44,35,96,2.2,1.8
20070101_35002_D01_S008,1433,40.6,732,701,95.8,1391,42,2.9,190,1003,240,135,80,25,13.3,70,16.7,42.9,23.9,18.9,126.3,79.2,10.4,33.3,2254.6,63.6,1.9,38,39,81,47,33,238,1322,50,61,92.3,3.5,4.3
20070101_35002_D01_S009,1802,32.9,944,858,90.9,1620,182,10.1,377,1289,136,81,45,10,20.9,71.5,7.5,39.8,10.6,29.2,36.1,277.2,7.4,33.1,31.7,5692.6,574.9,86,71,150,86,50,443,1518,57,227,84.2,3.2,12.6
20070101_35002_D01_S010,1748,35.4,928,820,88.4,1558,190,10.9,280,1373,95,61,29,5,16,78.5,5.4,27.3,6.9,20.4,33.9,294.7,5.3,30.5,47,3719.9,404.3,69,48,110,71,40,338,1345,184,219,76.9,10.5,12.5
20070101_35002_D01_S011,1968,35.3,984,984,100,1787,181,9.2,374,1388,206,142,56,8,19,70.5,10.5,41.8,14.8,26.9,55.1,181.6,3.9,27.2,58.4,3372.2,310.1,89,83,138,90,33,433,1688,64,216,85.8,3.3,11
20070101_35002_D01_S012,2302,35.9,1210,1092,90.2,1997,305,13.2,364,1767,171,111,52,8,15.8,76.8,7.4,30.3,9.7,20.6,47,212.9,4.7,30.4,31,7420.7,983.2,91,86,123,86,37,423,1744,219,339,75.8,9.5,14.7
20070101_35002_D01_S013,1922,32.5,1006,916,91.1,1830,92,4.8,426,1362,134,91,30,13,22.2,70.9,7,41.1,9.8,31.3,31.5,317.9,9.7,22.4,509.8,377,18,97,64,177,111,52,501,1767,44,111,91.9,2.3,5.8
20070101_35002_D01_S014,1104,36.9,562,542,96.4,1093,11,1,164,847,93,56,29,8,14.9,76.7,8.4,30.3,11,19.4,56.7,176.3,8.6,31.2,62,1779.9,17.7,30,36,64,51,26,207,1060,20,24,96,1.8,2.2
20070101_35002_D01_S015,1505,33.4,760,745,98,1298,207,13.8,288,1125,92,64,25,3,19.1,74.8,6.1,33.8,8.2,25.6,31.9,313,3.3,27.2,27.8,5420.5,745.5,59,58,118,74,45,354,1226,52,227,81.5,3.5,15.1
20070101_35002_D01_S016,1289,33.6,689,600,87.1,1120,169,13.1,252,962,75,48,24,3,19.6,74.6,5.8,34,7.8,26.2,29.8,336,4,32,9.1,14144.8,1854.5,61,58,92,55,27,293,961,131,197,74.6,10.2,15.3
20070101_35002_D01_S017,1827,30,928,899,96.9,1752,75,4.1,442,1318,67,45,20,2,24.2,72.1,3.7,38.6,5.1,33.5,15.2,659.7,3,29.9,1706.7,107,4.4,108,100,162,96,42,508,1646,97,84,90.1,5.3,4.6
20070101_35003_D01_S001,2991,35.3,1578,1413,89.5,2589,402,13.4,558,2183,250,143,84,23,18.7,73,8.4,37,11.5,25.6,44.8,223.2,9.2,33.6,8482.4,35.3,4.7,111,111,229,152,85,688,2278,272,441,76.2,9.1,14.7
20070101_35003_D01_S002,1222,37,642,580,90.3,1060,162,13.3,196,905,121,69,36,16,16,74.1,9.9,35,13.4,21.7,61.7,162,13.2,29.8,14329,8.5,1.1,42,40,73,55,31,241,953,86,183,78,7,15
20070101_35003_D01_S003,3109,35.7,1686,1423,84.4,1306,1803,58,361,2634,114,93,18,3,11.6,84.7,3.7,18,4.3,13.7,31.6,316.7,2.6,15.8,1898.8,163.7,95,81,69,147,88,43,428,461,794,1854,14.8,25.5,59.6
20070101_35003_D01_S004,1882,34.8,1168,714,61.1,906,976,51.9,253,1564,65,53,12,0,13.4,83.1,3.5,20.3,4.2,16.2,25.7,389.2,0,18.5,245.9,765.5,397,70,45,102,44,20,281,365,508,1009,19.4,27,53.6
20070101_35004_D01_S001,1970,37.1,1028,942,91.6,1454,516,26.2,342,1421,207,89,71,47,17.4,72.1,10.5,38.6,14.6,24.1,60.5,165.2,22.7,34.3,65.1,3027.3,792.9,78,76,122,82,25,383,1122,297,551,57,15.1,28
20070101_35004_D01_S002,1884,36.7,1017,867,85.3,1543,341,18.1,321,1361,202,105,74,23,17,72.2,10.7,38.4,14.8,23.6,62.9,158.9,11.4,36.6,12.9,14576.7,2638.4,61,81,127,69,50,388,1283,230,371,68.1,12.2,19.7
20070101_35004_D01_S003,2243,37.9,1096,1147,104.7,1621,622,27.7,320,1676,247,112,99,36,14.3,74.7,11,33.8,14.7,19.1,77.2,129.6,14.6,40.1,14.9,15026.1,4166.8,76,61,116,89,50,392,1222,348,673,54.5,15.5,30
20070101_35004_D01_S004,2177,36.4,1074,1103,102.7,1601,576,26.5,310,1665,202,109,69,24,14.2,76.5,9.3,30.8,12.1,18.6,65.2,153.5,11.9,34.2,15.9,13723.3,3631,63,61,122,94,46,386,1114,387,676,51.2,17.8,31.1
20070101_35004_D01_S005,2074,32.6,1080,994,92,1620,454,21.9,402,1559,113,76,29,8,19.4,75.2,5.4,33,7.2,25.8,28.1,355.8,7.1,25.7,226.1,917.3,200.8,75,90,160,101,80,506,1273,301,500,61.4,14.5,24.1
20070101_35004_D01_S006,2595,34.7,1309,1286,98.2,1804,791,30.5,473,1904,218,115,84,19,18.2,73.4,8.4,36.3,11.4,24.8,46.1,217,8.7,38.5,19.8,13100.9,3993.4,120,87,178,111,64,560,1391,359,845,53.6,13.8,32.6
20070101_35004_D01_S007,1405,35.1,711,694,97.6,944,461,32.8,234,1062,109,55,40,14,16.7,75.6,7.8,32.3,10.3,22,46.6,214.7,12.8,36.7,10.5,13379.3,4389.9,59,56,82,56,25,278,665,242,498,47.3,17.2,35.4
20070101_35004_D01_S008,1105,37.3,556,549,98.7,885,220,19.9,190,789,126,68,45,13,17.2,71.4,11.4,40.1,16,24.1,66.3,150.8,10.3,35.7,5.2,21173.4,4215.5,43,30,77,53,22,225,676,186,243,61.2,16.8,22
20070101_35004_D01_S009,1851,37.5,939,912,97.1,1470,381,20.6,244,1444,163,99,47,17,13.2,78,8.8,28.2,11.3,16.9,66.8,149.7,10.4,28.8,7.3,25406.6,5229.6,48,60,90,66,35,299,1059,354,438,57.2,19.1,23.7
20070101_35004_D01_S010,1787,33.4,879,908,103.3,1520,267,14.9,307,1412,68,47,15,6,17.2,79,3.8,26.6,4.8,21.7,22.1,451.5,8.8,22.1,17,10516.3,1571.3,51,54,123,112,44,384,1135,337,315,63.5,18.9,17.6
20070101_35004_D01_S011,1138,33.7,602,536,89,849,289,25.4,199,892,47,36,10,1,17.5,78.4,4.1,27.6,5.3,22.3,23.6,423.4,2.1,21.3,5,22645,5750.8,34,33,75,68,27,237,542,263,333,47.6,23.1,29.3
20070101_35004_D01_S012,1333,36.3,668,665,99.6,1037,296,22.2,212,1002,119,54,49,16,15.9,75.2,8.9,33,11.9,21.2,56.1,178.2,13.4,41.2,8,16618.5,3690.2,43,52,75,52,32,254,807,204,322,60.5,15.3,24.2
20070101_35004_D02_S001,1798,32,942,856,90.9,1321,477,26.5,357,1365,76,54,17,5,19.9,75.9,4.2,31.7,5.6,26.2,21.3,469.7,6.6,22.4,17.5,10302.2,2733.1,81,79,132,91,44,427,1001,267,530,55.7,14.8,29.5
20070101_35004_D02_S002,1672,37.1,877,795,90.6,1361,311,18.6,240,1241,191,131,47,13,14.4,74.2,11.4,34.7,15.4,19.3,79.6,125.7,6.8,24.6,24.3,6869.7,1277.8,50,54,86,65,33,288,1127,202,343,67.4,12.1,20.5
20070101_35004_D02_S003,1852,37.2,979,873,89.2,1479,373,20.1,297,1328,227,155,60,12,16,71.7,12.3,39.5,17.1,22.4,76.4,130.8,5.3,26.4,13.6,13587.9,2736.7,61,69,111,78,44,363,1299,143,410,70.1,7.7,22.1
20070101_35004_D02_S004,2054,33.5,1052,1002,95.2,1833,221,10.8,380,1568,106,71,32,3,18.5,76.3,5.2,31,6.8,24.2,27.9,358.5,2.8,30.2,20.7,9926.9,1068.1,87,96,126,89,45,443,1629,181,244,79.3,8.8,11.9
20070101_35004_D02_S005,2386,34.9,1222,1164,95.3,2010,376,15.8,385,1879,122,80,26,16,16.1,78.8,5.1,27,6.5,20.5,31.7,315.6,13.1,21.3,154,1548.9,244.1,100,66,139,114,66,485,1495,449,442,62.7,18.8,18.5
20070101_35004_D02_S006,1087,38.1,574,513,89.4,830,257,23.6,145,812,130,87,34,9,13.3,74.7,12,33.9,16,17.9,89.7,111.5,6.9,26.2,14.8,7344.1,1736.4,26,25,55,52,32,190,728,77,282,67,7.1,25.9
20070101_35004_D02_S007,2241,36.3,1143,1098,96.1,1859,382,17,356,1665,220,153,55,12,15.9,74.3,9.8,34.6,13.2,21.4,61.8,161.8,5.5,25,15.4,14584.8,2486.1,92,82,125,83,47,429,1625,199,417,72.5,8.9,18.6
