GEOCODE_SECCIONES_2014,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Población de 85 o más años dividida por la población de 65 o más años,Población de 75 a 84 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
20140101_35001_D01_S001,1074,46.2,524,550,105,1061,13,1.2,110,725,239,85,110,44,10.2,67.5,22.3,48.1,33,15.2,217.3,46,18.4,46,356.7,301.1,3.6,16,21,46,37,19,139,1027,26,21,95.6,2.4,2
20140101_35001_D01_S002,1376,45.4,681,695,102.1,1342,34,2.5,144,937,295,144,112,39,10.5,68.1,21.4,46.9,31.5,15.4,204.9,48.8,13.2,38,191.3,719.2,17.8,22,22,57,54,20,175,1284,50,42,93.3,3.6,3.1
20140101_35001_D01_S003,1116,44.3,583,533,91.4,1050,66,5.9,137,754,225,119,77,29,12.3,67.6,20.2,48,29.8,18.2,164.2,60.9,12.9,34.2,1489.5,74.9,4.4,19,29,58,45,13,164,1004,41,71,90,3.7,6.4
20140101_35001_D01_S004,881,44.1,439,442,100.7,828,53,6,92,635,154,85,53,16,10.4,72.1,17.5,38.7,24.3,14.5,167.4,59.7,10.4,34.4,2368.5,37.2,2.2,22,16,41,20,12,111,777,46,58,88.2,5.2,6.6
20140101_35001_D01_S005,1209,39.7,605,604,99.8,1129,80,6.6,185,878,146,95,39,12,15.3,72.6,12.1,37.7,16.6,21.1,78.9,126.7,8.2,26.7,46.6,2593.1,171.6,22,39,91,39,25,216,1024,83,102,84.7,6.9,8.4
20140101_35002_D01_S001,863,41.6,428,435,101.6,841,22,2.5,123,600,140,64,54,22,14.3,69.5,16.2,43.8,23.3,20.5,113.8,87.9,15.7,38.6,105,822,21,14,27,55,33,21,150,792,29,42,91.8,3.4,4.9
20140101_35002_D01_S002,795,44.4,386,409,106,760,35,4.4,87,551,157,77,61,19,10.9,69.3,19.7,44.3,28.5,15.8,180.5,55.4,12.1,38.9,1071,74.2,3.3,13,15,37,25,15,105,733,18,44,92.2,2.3,5.5
20140101_35002_D01_S003,1482,38.8,734,748,101.9,1376,106,7.2,225,1108,149,87,54,8,15.2,74.8,10.1,33.8,13.4,20.3,66.2,151,5.4,36.2,205.6,720.8,51.6,30,35,104,71,39,279,1271,39,172,85.8,2.6,11.6
20140101_35002_D01_S004,805,38.9,420,385,91.7,764,41,5.1,148,555,102,53,43,6,18.4,68.9,12.7,45,18.4,26.7,68.9,145.1,5.9,42.2,570.1,141.2,7.2,22,23,66,46,13,170,713,32,60,88.6,4,7.5
20140101_35002_D01_S005,1448,37.9,732,716,97.8,1421,27,1.9,247,1056,145,96,41,8,17.1,72.9,10,37.1,13.7,23.4,58.7,170.3,5.5,28.3,1124.1,128.8,2.4,28,31,122,87,29,297,1365,31,52,94.3,2.1,3.6
20140101_35002_D01_S006,1641,40.5,806,835,103.6,1418,223,13.6,230,1200,211,129,66,16,14,73.1,12.9,36.8,17.6,19.2,91.7,109,7.6,31.3,13.4,12271.7,1667.6,46,49,91,59,42,287,1177,170,294,71.7,10.4,17.9
20140101_35002_D01_S007,2250,36.8,1109,1141,102.9,2235,15,0.7,420,1647,183,113,60,10,18.7,73.2,8.1,36.6,11.1,25.5,43.6,229.5,5.5,32.8,36,6257,41.7,58,79,190,111,54,492,2132,69,49,94.8,3.1,2.2
20140101_35002_D01_S008,1175,44.6,597,578,96.8,1132,43,3.7,146,767,262,125,96,41,12.4,65.3,22.3,53.2,34.2,19,179.5,55.7,15.6,36.6,2254.5,52.1,1.9,26,20,65,44,20,175,1071,41,63,91.1,3.5,5.4
20140101_35002_D01_S009,2859,33.8,1454,1405,96.6,2661,198,6.9,613,2076,170,88,67,15,21.4,72.6,5.9,37.7,8.2,29.5,27.7,360.6,8.8,39.4,31.7,9031.7,625.5,125,163,224,134,56,702,2354,141,364,82.3,4.9,12.7
20140101_35002_D01_S010,2007,37.9,1065,942,88.5,1870,137,6.8,316,1510,181,119,47,15,15.7,75.2,9,32.9,12,20.9,57.3,174.6,8.3,26,47,4271.1,291.5,65,76,126,70,35,372,1594,178,235,79.4,8.9,11.7
20140101_35002_D01_S011,1905,41.2,937,968,103.3,1781,124,6.5,276,1326,303,152,110,41,14.5,69.6,15.9,43.7,22.9,20.8,109.8,91.1,13.5,36.3,58.4,3264.3,212.5,37,39,136,90,42,344,1641,70,194,86.1,3.7,10.2
20140101_35002_D01_S012,2649,39.1,1375,1274,92.7,2402,247,9.3,429,1959,261,162,86,13,16.2,74,9.9,35.2,13.3,21.9,60.8,164.4,5,33,31,8539.5,796.2,67,93,202,85,42,489,2093,201,355,79,7.6,13.4
20140101_35002_D01_S013,2046,35.5,1049,997,95,1986,60,2.9,358,1551,137,67,62,8,17.5,75.8,6.7,31.9,8.8,23.1,38.3,261.3,5.8,45.3,509.8,401.3,11.8,61,66,150,108,66,451,1897,45,104,92.7,2.2,5.1
20140101_35002_D01_S014,1015,41.9,537,478,89,1006,9,0.9,118,759,138,86,41,11,11.6,74.8,13.6,33.7,18.2,15.5,116.9,85.5,8,29.7,62,1636.4,14.5,15,26,46,42,24,153,972,24,19,95.8,2.4,1.9
20140101_35002_D01_S015,1818,36.2,873,945,108.2,1622,196,10.8,332,1328,158,101,45,12,18.3,73,8.7,36.9,11.9,25,47.6,210.1,7.6,28.5,27.8,6547.8,705.9,53,62,136,109,51,411,1398,70,350,76.9,3.9,19.3
20140101_35002_D01_S016,1443,36.5,733,710,96.9,1321,122,8.5,252,1093,98,56,32,10,17.5,75.7,6.8,32,9,23.1,38.9,257.1,10.2,32.7,9.1,15834.7,1338.8,40,55,102,72,28,297,1105,139,199,76.6,9.6,13.8
20140101_35002_D01_S017,2606,32.1,1335,1271,95.2,2496,110,4.2,640,1879,87,49,31,7,24.6,72.1,3.3,38.7,4.6,34.1,13.6,735.6,8,35.6,1706.8,152.7,6.4,114,129,299,127,61,730,2314,116,176,88.8,4.5,6.8
20140101_35002_D01_S018,1437,38.1,730,707,96.8,1303,134,9.3,236,1062,139,90,40,9,16.4,73.9,9.7,35.3,13.1,22.2,58.9,169.8,6.5,28.8,14.4,9992.6,931.8,35,40,104,71,39,289,1102,124,211,76.7,8.6,14.7
20140101_35003_D01_S001,2113,38.7,1086,1027,94.6,1899,214,10.1,338,1537,238,135,72,31,16,72.7,11.3,37.5,15.5,22,70.4,142,13,30.3,3554.1,59.5,6,46,74,143,106,60,429,1713,157,243,81.1,7.4,11.5
20140101_35003_D01_S002,1264,40,663,601,90.6,1073,191,15.1,187,915,162,93,55,14,14.8,72.4,12.8,38.1,17.7,20.4,86.6,115.4,8.6,34,14329,8.8,1.3,32,36,73,65,30,236,1000,65,199,79.1,5.1,15.7
