GEOCODE_SECCIONES_2005,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Población de 85 o más años dividida por la población de 65 o más años,Población de 75 a 84 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
20050101_35001_D01_S001,1184,41.2,580,604,104.1,1168,16,1.4,188,752,244,128,87,29,15.9,63.5,20.6,57.4,32.4,25,129.8,77,11.9,35.7,356.7,331.9,4.5,38,34,65,58,32,227,1133,30,21,95.7,2.5,1.8
20050101_35001_D01_S002,1453,41.3,738,715,96.9,1438,15,1,192,992,269,156,84,29,13.2,68.3,18.5,46.5,27.1,19.4,140.1,71.4,10.8,31.2,191.3,759.5,7.8,40,40,73,55,31,239,1392,37,24,95.8,2.5,1.7
20050101_35001_D01_S003,1217,40.9,628,589,93.8,1122,95,7.8,177,826,214,121,67,26,14.5,67.9,17.6,47.3,25.9,21.4,120.9,82.7,12.1,31.3,1489.5,81.7,6.4,38,31,59,65,32,225,1064,42,111,87.4,3.5,9.1
20050101_35001_D01_S004,782,40.8,421,361,85.7,744,38,4.9,97,564,121,77,35,9,12.4,72.1,15.5,38.7,21.5,17.2,124.7,80.2,7.4,28.9,2368.5,33,1.6,15,15,40,36,15,121,692,49,41,88.5,6.3,5.2
20050101_35001_D01_S005,970,35.8,491,479,97.6,901,69,7.1,173,727,70,40,25,5,17.8,74.9,7.2,33.4,9.6,23.8,40.5,247.1,7.1,35.7,46.6,2080.5,148,43,31,56,53,21,204,831,62,77,85.7,6.4,7.9
20050101_35002_D01_S001,1031,38.9,518,513,99,1015,16,1.6,169,705,157,82,65,10,16.4,68.4,15.2,46.2,22.3,24,92.9,107.6,6.4,41.4,105,982.1,15.2,29,21,73,70,23,216,960,28,43,93.1,2.7,4.2
20050101_35002_D01_S002,941,40.2,460,481,104.6,917,24,2.6,137,644,160,101,48,11,14.6,68.4,17,46.1,24.8,21.3,116.8,85.6,6.9,30,1071,87.9,2.2,22,26,55,39,26,168,894,19,28,95,2,3
20050101_35002_D01_S003,1440,33.2,716,724,101.1,1322,118,8.2,262,1087,91,64,24,3,18.2,75.5,6.3,32.5,8.4,24.1,34.7,287.9,3.3,26.4,205.6,700.3,57.4,49,55,113,72,32,321,1238,54,148,86,3.8,10.3
20050101_35002_D01_S004,746,36.5,387,359,92.8,677,69,9.2,135,528,83,53,24,6,18.1,70.8,11.1,41.3,15.7,25.6,61.5,162.7,7.2,28.9,570.1,130.9,12.1,37,31,40,33,15,156,654,16,76,87.7,2.1,10.2
20050101_35002_D01_S005,1720,31.9,867,853,98.4,1696,24,1.4,328,1307,85,61,19,5,19.1,76,4.9,31.6,6.5,25.1,25.9,385.9,5.9,22.4,1124.1,153,2.1,68,75,113,102,53,411,1638,31,51,95.2,1.8,3
20050101_35002_D01_S006,2593,34.9,1371,1222,89.1,2216,377,14.5,446,1962,185,123,49,13,17.2,75.7,7.1,32.2,9.4,22.7,41.5,241.1,7,26.5,27.8,9343.1,1358.4,110,85,163,114,52,524,1833,324,436,70.7,12.5,16.8
20050101_35002_D01_S007,1775,33.1,878,897,102.2,1758,17,1,362,1299,114,87,24,3,20.4,73.2,6.4,36.6,8.8,27.9,31.5,317.5,2.6,21.1,36,4936.1,47.3,83,72,144,86,54,439,1696,45,34,95.5,2.5,1.9
20050101_35002_D01_S008,1345,40.6,692,653,94.4,1311,34,2.5,172,938,235,127,79,29,12.8,69.7,17.5,43.4,25.1,18.3,136.6,73.2,12.3,33.6,2254.6,59.7,1.5,27,36,72,56,32,223,1242,54,49,92.3,4,3.6
20050101_35002_D01_S009,2791,31.6,1439,1352,94,2573,218,7.8,606,2012,173,107,55,11,21.7,72.1,6.2,38.7,8.6,30.1,28.5,350.3,6.4,31.8,1738.4,160.6,12.5,155,128,223,137,61,704,2418,110,263,86.6,3.9,9.4
20050101_35002_D01_S010,2692,34.1,1436,1256,87.5,2333,359,13.3,467,2080,145,96,46,3,17.3,77.3,5.4,29.4,7,22.5,31,322.1,2.1,31.7,56.1,4798.3,639.9,105,97,182,113,50,547,1978,298,416,73.5,11.1,15.5
20050101_35002_D01_S011,1964,35,993,971,97.8,1790,174,8.9,351,1435,178,130,39,9,17.9,73.1,9.1,36.9,12.4,24.5,50.7,197.2,5.1,21.9,58.4,3365.4,298.2,75,75,144,74,40,408,1695,69,200,86.3,3.5,10.2
20050101_35002_D01_S012,2050,35.7,1095,955,87.2,1755,295,14.4,293,1621,136,93,34,9,14.3,79.1,6.6,26.5,8.4,18.1,46.4,215.4,6.6,25,31,6608.4,951,63,68,103,79,31,344,1485,232,333,72.4,11.3,16.2
20050101_35002_D01_S013,1824,31.7,960,864,90,1688,136,7.5,409,1293,122,91,24,7,22.4,70.9,6.7,41.1,9.4,31.6,29.8,335.2,5.7,19.7,509.8,357.8,26.7,81,76,169,111,60,497,1642,39,143,90,2.1,7.8
20050101_35002_D01_S014,1113,36.1,575,538,93.6,1102,11,1,171,852,90,54,30,6,15.4,76.5,8.1,30.6,10.6,20.1,52.6,190,6.7,33.3,62,1794.4,17.7,29,27,73,57,22,208,1076,15,22,96.7,1.3,2
20050101_35002_D01_S015,1516,32.3,778,738,94.9,1288,228,15,308,1131,77,55,19,3,20.3,74.6,5.1,34,6.8,27.2,25,400,3.9,24.7,27.8,5460.1,821.2,60,55,139,82,47,383,1222,56,238,80.6,3.7,15.7
20050101_35003_D01_S001,2679,34.8,1431,1248,87.2,2375,304,11.3,506,1954,219,124,76,19,18.9,72.9,8.2,37.1,11.2,25.9,43.3,231.1,8.7,34.7,8482.4,31.6,3.6,79,113,198,151,64,605,2083,251,345,77.8,9.4,12.9
20050101_35003_D01_S002,1147,36.6,611,536,87.7,997,150,13.1,180,851,116,69,35,12,15.7,74.2,10.1,34.8,13.6,21.2,64.4,155.2,10.3,30.2,14329,8,1,21,33,84,59,28,225,895,82,170,78,7.1,14.8
20050101_35003_D01_S003,2138,34.8,1173,965,82.3,981,1157,54.1,259,1802,77,55,18,4,12.1,84.3,3.6,18.6,4.3,14.4,29.7,336.4,5.2,23.4,1898.8,112.6,60.9,39,61,105,70,41,316,350,599,1189,16.4,28,55.6
20050101_35003_D01_S004,1614,32.9,1042,572,54.9,799,815,50.5,205,1373,36,27,7,2,12.7,85.1,2.2,17.6,2.6,14.9,17.6,569.4,5.6,19.4,245.9,656.5,331.5,38,53,86,39,21,237,224,539,851,13.9,33.4,52.7
20050101_35004_D01_S001,2095,36.9,1098,997,90.8,1544,551,26.3,355,1509,231,85,86,60,16.9,72,11,38.8,15.3,23.5,65.1,153.7,26,37.2,65.1,3219.4,846.7,92,76,122,79,39,408,1202,310,583,57.4,14.8,27.8
20050101_35004_D01_S002,1875,36.2,1002,873,87.1,1598,277,14.8,317,1352,206,113,66,27,16.9,72.1,11,38.7,15.2,23.4,65,153.9,13.1,32,12.9,14507.1,2143.2,60,78,126,75,41,380,1332,246,297,71,13.1,15.8
20050101_35004_D01_S003,2369,37.8,1193,1176,98.6,1696,673,28.4,330,1782,257,124,93,40,13.9,75.2,10.8,32.9,14.4,18.5,77.9,128.4,15.6,36.2,14.9,15870.3,4508.5,79,44,132,91,40,386,1234,428,707,52.1,18.1,29.8
20050101_35004_D01_S004,2182,35.8,1067,1115,104.5,1644,538,24.7,340,1641,201,113,63,25,15.6,75.2,9.2,33,12.2,20.7,59.1,169.2,12.4,31.3,15.9,13754.8,3391.4,78,60,121,105,58,422,1160,423,599,53.2,19.4,27.5
20050101_35004_D01_S005,1984,32.1,1018,966,94.9,1625,359,18.1,396,1477,111,73,29,9,20,74.4,5.6,34.3,7.5,26.8,28,356.8,8.1,26.1,226.1,877.5,158.8,92,83,140,122,76,513,1281,335,368,64.6,16.9,18.5
20050101_35004_D01_S006,2286,35.3,1183,1103,93.2,1666,620,27.1,378,1708,200,109,76,15,16.5,74.7,8.7,33.8,11.7,22.1,52.9,189,7.5,38,19.8,11540.9,3130.1,91,68,143,102,38,442,1313,328,645,57.4,14.3,28.2
20050101_35004_D01_S007,1483,34.3,720,763,106,1008,475,32,258,1107,118,72,33,13,17.4,74.6,8,34,10.7,23.3,45.7,218.6,11,28,10.5,14122.1,4523.2,61,44,97,69,47,318,714,280,489,48.1,18.9,33
20050101_35004_D01_S008,1061,37.1,534,527,98.7,836,225,21.2,168,770,123,71,42,10,15.8,72.6,11.6,37.8,16,21.8,73.2,136.6,8.1,34.1,5.2,20330.3,4311.3,35,29,72,45,24,205,641,183,237,60.4,17.2,22.3
20050101_35004_D01_S009,1972,36.3,992,980,98.8,1561,411,20.8,282,1551,139,78,44,17,14.3,78.7,7,27.1,9,18.2,49.3,202.9,12.2,31.7,7.3,27067.5,5641.3,61,53,103,79,43,339,1131,392,449,57.4,19.9,22.8
20050101_35004_D01_S010,1820,32.1,901,919,102,1593,227,12.5,346,1420,54,35,12,7,19,78,3,28.2,3.8,24.4,15.6,640.7,13,22.2,17,10710.5,1335.9,56,59,144,112,60,431,1198,348,274,65.8,19.1,15.1
20050101_35004_D01_S011,1046,33.3,548,498,90.9,842,204,19.5,182,817,47,35,9,3,17.4,78.1,4.5,28,5.8,22.3,25.8,387.2,6.4,19.1,5,20814.3,4059.4,34,29,77,54,26,220,553,274,219,52.9,26.2,20.9
20050101_35004_D01_S012,1297,36.1,644,653,101.4,1040,257,19.8,206,972,119,54,47,18,15.9,74.9,9.2,33.4,12.2,21.2,57.8,173.1,15.1,39.5,8,16169.7,3204,46,36,83,60,37,262,811,216,270,62.5,16.7,20.8
20050101_35004_D02_S001,3089,30.6,1594,1495,93.8,2334,755,24.4,656,2335,98,64,28,6,21.2,75.6,3.2,32.3,4.2,28.1,14.9,669.4,6.1,28.6,55.2,5599.7,1368.7,152,165,237,137,80,771,1675,611,803,54.2,19.8,26
20050101_35004_D02_S002,1567,37.3,812,755,93,1332,235,15,227,1158,182,115,47,20,14.5,73.9,11.6,35.3,15.7,19.6,80.2,124.7,11,25.8,24.3,6438.3,965.5,52,37,89,66,45,289,1142,171,254,72.9,10.9,16.2
20050101_35004_D02_S003,1799,36.8,931,868,93.2,1525,274,15.2,293,1286,220,148,60,12,16.3,71.5,12.2,39.9,17.1,22.8,75.1,133.2,5.5,27.3,13.6,13199,2010.3,74,66,103,72,45,360,1356,171,272,75.4,9.5,15.1
20050101_35004_D02_S004,2029,32.6,1046,983,94,1853,176,8.7,368,1568,93,63,26,4,18.1,77.3,4.6,29.4,5.9,23.5,25.3,395.7,4.3,28,20.7,9806.1,850.6,100,67,131,86,63,447,1651,190,188,81.4,9.4,9.3
20050101_35004_D02_S005,2258,33.8,1140,1118,98.1,1971,287,12.7,374,1787,97,59,28,10,16.6,79.1,4.3,26.4,5.4,20.9,25.9,385.6,10.3,28.9,154,1465.8,186.3,79,68,131,122,61,461,1463,454,341,64.8,20.1,15.1
20050101_35004_D02_S006,1086,36.7,538,548,101.9,872,214,19.7,173,782,131,87,37,7,15.9,72,12.1,38.9,16.8,22.1,75.7,132.1,5.3,28.2,14.8,7337.4,1445.9,33,31,72,47,25,208,766,90,230,70.5,8.3,21.2
