GEOCODE_SECCIONES_2010,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Población de 85 o más años dividida por la población de 65 o más años,Población de 75 a 84 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
20100101_35001_D01_S001,1136,43.9,552,584,105.8,1128,8,0.7,146,753,237,88,116,33,12.9,66.3,20.9,50.9,31.5,19.4,162.3,61.6,13.9,48.9,356.7,318.5,2.2,23,26,66,45,27,187,1096,28,12,96.5,2.5,1.1
20100101_35001_D01_S002,1392,43.7,687,705,102.6,1375,17,1.2,159,942,291,129,124,38,11.4,67.7,20.9,47.8,30.9,16.9,183,54.6,13.1,42.6,191.3,727.6,8.9,18,32,75,55,29,209,1314,53,25,94.4,3.8,1.8
20100101_35001_D01_S003,1177,43.6,605,572,94.5,1074,103,8.8,138,802,237,125,76,36,11.7,68.1,20.1,46.8,29.6,17.2,171.7,58.2,15.2,32.1,1489.5,79,6.9,24,27,66,29,32,178,1020,40,117,86.7,3.4,9.9
20100101_35001_D01_S004,861,43.3,445,416,93.5,794,67,7.8,86,628,147,82,54,11,10,72.9,17.1,37.1,23.4,13.7,170.9,58.5,7.5,36.7,2368.5,36.4,2.8,15,18,33,29,12,107,738,51,72,85.7,5.9,8.4
20100101_35001_D01_S005,1182,38.1,604,578,95.7,1094,88,7.4,185,877,120,76,32,12,15.7,74.2,10.2,34.8,13.7,21.1,64.9,154.2,10,26.7,46.6,2535.2,188.7,41,46,64,43,29,223,1001,81,100,84.7,6.9,8.5
20100101_35002_D01_S001,927,40.3,467,460,98.5,907,20,2.2,122,666,139,65,55,19,13.2,71.8,15,39.2,20.9,18.3,113.9,87.8,13.7,39.6,105,883,19.1,21,29,41,41,22,154,870,22,35,93.9,2.4,3.8
20100101_35002_D01_S002,850,42.7,416,434,104.3,805,45,5.3,96,588,166,93,54,19,11.3,69.2,19.5,44.6,28.2,16.3,172.9,57.8,11.4,32.5,1071,79.4,4.2,8,19,45,31,17,120,784,16,50,92.2,1.9,5.9
20100101_35002_D01_S003,1529,35.4,765,764,99.9,1386,143,9.4,275,1145,109,67,34,8,18,74.9,7.1,33.5,9.5,24,39.6,252.3,7.3,31.2,205.6,743.6,69.5,45,59,110,72,43,329,1309,55,165,85.6,3.6,10.8
20100101_35002_D01_S004,756,37.2,397,359,90.4,704,52,6.9,151,518,87,39,42,6,20,68.5,11.5,45.9,16.8,29.2,57.6,173.6,6.9,48.3,570.1,132.6,9.1,21,31,76,30,15,173,664,27,65,87.8,3.6,8.6
20100101_35002_D01_S005,1611,34.6,796,815,102.4,1589,22,1.4,312,1177,122,81,31,10,19.4,73.1,7.6,36.9,10.4,26.5,39.1,255.7,8.2,25.4,1124.1,143.3,2,53,70,140,66,45,374,1533,30,48,95.2,1.9,3
20100101_35002_D01_S006,1533,38.9,780,753,96.5,1308,225,14.7,225,1147,161,101,47,13,14.7,74.8,10.5,33.7,14,19.6,71.6,139.8,8.1,29.2,13.4,11469.5,1683.4,56,37,82,62,23,260,1088,168,277,71,11,18.1
20100101_35002_D01_S007,2196,34.4,1086,1110,102.2,2176,20,0.9,444,1601,151,97,48,6,20.2,72.9,6.9,37.2,9.4,27.7,34,294,4,31.8,36,6106.9,55.6,75,97,193,112,60,537,2089,59,48,95.1,2.7,2.2
20100101_35002_D01_S008,1241,42.5,647,594,91.8,1200,41,3.3,154,858,229,108,88,33,12.4,69.1,18.5,44.6,26.7,17.9,148.7,67.2,14.4,38.4,2254.6,55,1.8,21,39,59,49,13,181,1126,57,58,90.7,4.6,4.7
20100101_35002_D01_S009,2502,32.9,1288,1214,94.3,2229,273,10.9,525,1815,162,97,52,13,21,72.5,6.5,37.9,8.9,28.9,30.9,324.1,8,32.1,31.7,7903.9,862.4,127,111,198,123,54,613,2049,95,358,81.9,3.8,14.3
20100101_35002_D01_S010,1872,36.5,976,896,91.8,1688,184,9.8,281,1479,112,70,31,11,15,79,6,26.6,7.6,19,39.9,250.9,9.8,27.7,47,3983.8,391.6,62,59,92,86,45,344,1469,173,230,78.5,9.2,12.3
20100101_35002_D01_S011,1955,36.9,980,975,99.5,1779,176,9,356,1357,242,160,73,9,18.2,69.4,12.4,44.1,17.8,26.2,68,147.1,3.7,30.2,58.4,3349.9,301.6,58,79,154,87,45,423,1645,68,242,84.1,3.5,12.4
20100101_35002_D01_S012,2602,37.1,1367,1235,90.3,2243,359,13.8,421,1955,226,142,75,9,16.2,75.1,8.7,33.1,11.6,21.5,53.7,186.3,4,33.2,31,8387.8,1157.3,104,97,151,100,50,502,1967,207,428,75.6,8,16.4
20100101_35002_D01_S013,2051,33.9,1068,983,92,1964,87,4.2,413,1492,146,82,50,14,20.1,72.7,7.1,37.5,9.8,27.7,35.4,282.9,9.6,34.2,509.8,402.3,17.1,67,84,166,123,60,500,1886,46,119,92,2.2,5.8
20100101_35002_D01_S014,1061,39.2,550,511,92.9,1045,16,1.5,146,805,110,70,30,10,13.8,75.9,10.4,31.8,13.7,18.1,75.3,132.7,9.1,27.3,62,1710.6,25.8,23,29,59,46,27,184,1011,24,26,95.3,2.3,2.5
20100101_35002_D01_S015,1717,34.5,850,867,102,1400,317,18.5,335,1258,124,84,33,7,19.5,73.3,7.2,36.5,9.9,26.6,37,270.2,5.6,26.6,27.8,6184,1141.7,60,71,140,82,40,393,1279,62,376,74.5,3.6,21.9
20100101_35002_D01_S016,1416,35.2,743,673,90.6,1210,206,14.5,255,1067,94,60,28,6,18,75.4,6.6,32.7,8.8,23.9,36.9,271.3,6.4,29.8,9.1,15538.4,2260.5,49,51,117,51,30,298,1054,114,248,74.4,8.1,17.5
20100101_35002_D01_S017,2261,30.5,1160,1101,94.9,2182,79,3.5,566,1613,82,52,29,1,25,71.3,3.6,40.2,5.1,35.1,14.5,690.2,1.2,35.4,1706.7,132.5,4.6,144,121,208,121,49,643,2037,110,114,90.1,4.9,5
20100101_35002_D01_S018,1351,36.2,691,660,95.5,1192,159,11.8,235,1020,96,61,29,6,17.4,75.5,7.1,32.5,9.4,23,40.9,244.8,6.2,30.2,14.4,9394.5,1105.6,46,54,90,62,35,287,1032,112,207,76.4,8.3,15.3
20100101_35003_D01_S001,2173,36.8,1142,1031,90.3,1929,244,11.2,377,1591,205,105,77,23,17.3,73.2,9.4,36.6,12.9,23.7,54.4,183.9,11.2,37.6,3554.1,61.1,6.9,65,77,160,107,44,453,1747,167,259,80.4,7.7,11.9
20100101_35003_D01_S002,1290,38.3,695,595,85.6,1100,190,14.7,206,939,145,85,41,19,16,72.8,11.2,37.4,15.4,21.9,70.4,142.1,13.1,28.3,14329,9,1.3,37,38,75,68,30,248,1008,82,200,78.1,6.4,15.5
20100101_35003_D01_S003,3891,38,2090,1801,86.2,1290,2601,66.8,461,3197,233,197,23,13,11.8,82.2,6,21.7,7.3,14.4,50.5,197.9,5.6,9.9,1898.8,204.9,137,116,97,176,92,48,529,557,727,2607,14.3,18.7,67
20100101_35003_D01_S004,1949,37.4,1154,795,68.9,747,1202,61.7,275,1556,118,96,19,3,14.1,79.8,6.1,25.3,7.6,17.7,42.9,233.1,2.5,16.1,245.9,792.7,488.9,63,61,106,59,32,321,384,364,1201,19.7,18.7,61.6
20100101_35003_D01_S005,1155,36.8,609,546,89.7,816,339,29.4,231,831,93,55,29,9,20,71.9,8.1,39,11.2,27.8,40.3,248.4,9.7,31.2,4928.3,23.4,6.9,39,45,97,72,24,277,701,104,350,60.7,9,30.3
20100101_35004_D01_S001,1854,38.6,973,881,90.5,1445,409,22.1,299,1329,226,113,68,45,16.1,71.7,12.2,39.5,17,22.5,75.6,132.3,19.9,30.1,65.1,2849.1,628.5,55,57,138,71,48,369,1102,275,477,59.4,14.8,25.7
20100101_35004_D01_S002,1843,37.9,969,874,90.2,1538,305,16.5,327,1299,217,125,66,26,17.7,70.5,11.8,41.9,16.7,25.2,66.4,150.7,12,30.4,12.9,14259.5,2359.8,67,60,132,82,41,382,1276,194,373,69.2,10.5,20.2
20100101_35004_D01_S003,2054,39.6,991,1063,107.3,1501,553,26.9,262,1540,252,117,95,40,12.8,75,12.3,33.4,16.4,17,96.2,104,15.9,37.7,14.9,13759.9,3704.6,65,47,98,75,35,320,1119,298,637,54.5,14.5,31
20100101_35004_D01_S004,1960,38.4,936,1024,109.4,1375,585,29.8,252,1512,196,103,70,23,12.9,77.1,10,29.6,13,16.7,77.8,128.6,11.7,35.7,15.9,12355.4,3687.7,55,40,93,84,45,317,999,281,680,51,14.3,34.7
20100101_35004_D01_S005,2153,34,1127,1026,91,1655,498,23.1,405,1614,134,79,44,11,18.8,75,6.2,33.4,8.3,25.1,33.1,302.2,8.2,32.8,226.1,952.3,220.3,87,82,149,114,62,494,1288,284,581,59.8,13.2,27
20100101_35004_D01_S006,2654,35.4,1307,1347,103.1,1794,860,32.4,471,1945,238,133,85,20,17.7,73.3,9,36.5,12.2,24.2,50.5,197.9,8.4,35.7,19.8,13398.8,4341.7,109,101,170,121,66,567,1353,309,992,51,11.6,37.4
20100101_35004_D01_S007,1566,35.1,777,789,101.5,1084,482,30.8,290,1148,128,72,44,12,18.5,73.3,8.2,36.4,11.1,25.3,44.1,226.6,9.4,34.4,10.5,14912.4,4589.9,72,65,106,64,28,335,765,234,567,48.9,14.9,36.2
20100101_35004_D01_S008,1116,38,556,560,100.7,867,249,22.3,180,804,132,70,51,11,16.1,72,11.8,38.8,16.4,22.4,73.3,136.4,8.3,38.6,5.2,21384.2,4771.2,37,48,70,40,22,217,694,153,269,62.2,13.7,24.1
20100101_35004_D01_S009,1734,38.8,860,874,101.6,1362,372,21.5,239,1312,183,119,42,22,13.8,75.7,10.6,32.2,13.9,18.2,76.6,130.6,12,23,7.3,23800.7,5106,48,44,104,55,32,283,1000,279,455,57.7,16.1,26.2
20100101_35004_D01_S010,1717,35.6,843,874,103.7,1405,312,18.2,254,1370,93,64,20,9,14.8,79.8,5.4,25.3,6.8,18.5,36.6,273.1,9.7,21.5,17,10104.4,1836.1,45,45,108,71,62,331,1047,293,377,61,17.1,22
20100101_35004_D01_S011,1239,34.3,621,618,99.5,930,309,24.9,216,950,73,46,20,7,17.4,76.7,5.9,30.4,7.7,22.7,33.8,295.9,9.6,27.4,5,24654.8,6148.8,43,40,83,63,36,265,610,272,357,49.2,22,28.8
20100101_35004_D01_S012,1381,36.5,699,682,97.6,971,410,29.7,237,1013,131,64,49,18,17.2,73.4,9.5,36.3,12.9,23.4,55.3,180.9,13.7,37.4,8,17216.9,5111.5,53,54,93,53,32,285,774,160,447,56,11.6,32.4
20100101_35004_D02_S001,1810,33.4,921,889,96.5,1340,470,26,360,1363,87,60,18,9,19.9,75.3,4.8,32.8,6.4,26.4,24.2,413.8,10.3,20.7,17.5,10371,2693,78,78,142,86,37,421,1031,237,542,57,13.1,29.9
20100101_35004_D02_S002,1752,38,905,847,93.6,1349,403,23,255,1284,213,132,67,14,14.6,73.3,12.2,36.4,16.6,19.9,83.5,119.7,6.6,31.5,24.3,7198.4,1655.8,57,58,83,83,54,335,1092,175,485,62.3,10,27.7
20100101_35004_D02_S003,1742,38.7,907,835,92.1,1422,320,18.4,277,1219,246,158,71,17,15.9,70,14.1,42.9,20.2,22.7,88.8,112.6,6.9,28.9,13.6,12780.8,2347.8,50,55,117,70,36,328,1192,152,398,68.4,8.7,22.8
20100101_35004_D02_S004,2070,34.9,1057,1013,95.8,1769,301,14.5,375,1555,140,87,44,9,18.1,75.1,6.8,33.1,9,24.1,37.3,267.9,6.4,31.4,20.7,10004.2,1454.7,75,88,152,78,66,459,1553,183,334,75,8.8,16.1
20100101_35004_D02_S005,2523,36.2,1260,1263,100.2,2098,425,16.8,397,1944,182,125,38,19,15.7,77.1,7.2,29.8,9.4,20.4,45.8,218.1,10.4,20.9,154,1637.8,275.9,88,96,139,98,47,468,1546,450,527,61.3,17.8,20.9
