GEOCODE_SECCIONES_2016,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Población de 85 o más años dividida por la población de 65 o más años,Población de 75 a 84 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
20160101_35001_D01_S001,1080,46.3,521,559,107.3,1059,21,1.9,115,725,240,91,102,47,10.6,67.1,22.2,49,33.1,15.9,208.7,47.9,19.6,42.5,356.7,302.8,5.9,19,19,49,40,16,143,1019,30,31,94.4,2.8,2.9
20160101_35001_D01_S002,1367,45.5,683,684,100.1,1340,27,2,143,925,299,147,105,47,10.5,67.7,21.9,47.8,32.3,15.5,209.1,47.8,15.7,35.1,191.3,714.5,14.1,32,18,52,56,21,179,1270,63,34,92.9,4.6,2.5
20160101_35001_D01_S003,1033,45.3,528,505,95.6,982,51,4.9,112,702,219,121,69,29,10.8,68,21.2,47.2,31.2,16,195.5,51.1,13.2,31.5,1489.5,69.4,3.4,16,15,51,40,21,143,937,39,57,90.7,3.8,5.5
20160101_35001_D01_S004,871,44.4,436,435,99.8,823,48,5.5,94,626,151,78,59,14,10.8,71.9,17.3,39.1,24.1,15,160.6,62.3,9.3,39.1,2368.5,36.8,2,18,20,39,21,13,111,777,38,56,89.2,4.4,6.4
20160101_35001_D01_S005,1207,41,598,609,101.8,1128,79,6.5,176,868,163,102,47,14,14.6,71.9,13.5,39.1,18.8,20.3,92.6,108,8.6,28.8,46.6,2589,169.5,22,29,80,56,14,201,1039,68,100,86.1,5.6,8.3
20160101_35002_D01_S001,844,42.5,417,427,102.4,819,25,3,114,590,140,67,52,21,13.5,69.9,16.6,43.1,23.7,19.3,122.8,81.4,15,37.1,105,803.9,23.8,19,17,51,36,21,144,772,24,48,91.5,2.8,5.7
20160101_35002_D01_S002,751,44.9,352,399,113.4,721,30,4,82,517,152,76,59,17,10.9,68.8,20.2,45.3,29.4,15.9,185.4,53.9,11.2,38.8,1071,70.1,2.8,23,11,32,24,9,99,690,21,40,91.9,2.8,5.3
20160101_35002_D01_S003,1492,40,744,748,100.5,1395,97,6.5,207,1122,163,94,56,13,13.9,75.2,10.9,33,14.5,18.4,78.7,127,8,34.4,205.6,725.6,47.2,21,33,96,72,37,259,1285,33,174,86.1,2.2,11.7
20160101_35002_D01_S004,812,39.9,429,383,89.3,773,39,4.8,134,571,107,57,38,12,16.5,70.3,13.2,42.2,18.7,23.5,79.9,125.2,11.2,35.5,570.1,142.4,6.8,24,16,58,45,27,170,721,35,56,88.8,4.3,6.9
20160101_35002_D01_S005,1406,39.5,733,673,91.8,1379,27,1.9,206,1041,159,105,44,10,14.7,74,11.3,35.1,15.3,19.8,77.2,129.6,6.3,27.7,1124.1,125.1,2.4,25,29,88,85,36,263,1325,27,54,94.2,1.9,3.8
20160101_35002_D01_S006,1710,41.4,843,867,102.8,1502,208,12.2,222,1263,225,130,81,14,13,73.9,13.2,35.4,17.8,17.6,101.4,98.7,6.2,36,13.4,12787.9,1555.5,38,42,90,64,31,265,1254,169,287,73.3,9.9,16.8
20160101_35002_D01_S007,2231,38.1,1102,1129,102.5,2210,21,0.9,380,1651,200,126,63,11,17,74,9,35.1,12.1,23,52.6,190,5.5,31.5,36,6204.2,58.4,49,66,162,129,56,462,2099,73,59,94.1,3.3,2.6
20160101_35002_D01_S008,1172,44.9,592,580,98,1130,42,3.6,140,773,259,124,91,44,11.9,66,22.1,51.6,33.5,18.1,185,54.1,17,35.1,2254.5,52,1.9,29,30,55,39,17,170,1064,49,59,90.8,4.2,5
20160101_35002_D01_S009,1562,38,800,762,95.2,1419,143,9.2,268,1135,159,75,63,21,17.2,72.7,10.2,37.6,14,23.6,59.3,168.6,13.2,39.6,18.3,8515.9,779.6,34,60,114,81,45,334,1248,65,249,79.9,4.2,15.9
20160101_35002_D01_S010,2370,39.3,1244,1126,90.5,2211,159,6.7,378,1726,266,170,74,22,15.9,72.8,11.2,37.3,15.4,21.9,70.4,142.1,8.3,27.8,47,5043.8,338.4,71,81,161,93,31,437,1892,200,278,79.8,8.4,11.7
20160101_35002_D01_S011,2001,41.8,1002,999,99.7,1865,136,6.8,280,1389,332,163,121,48,14,69.4,16.6,44.1,23.9,20.2,118.6,84.3,14.5,36.4,58.4,3428.8,233,39,48,118,96,48,349,1702,79,220,85.1,3.9,11
20160101_35002_D01_S012,2467,39.5,1276,1191,93.3,2257,210,8.5,411,1797,259,166,72,21,16.7,72.8,10.5,37.3,14.4,22.9,63,158.7,8.1,27.8,31,7952.8,677,87,81,171,93,40,472,1947,214,306,78.9,8.7,12.4
20160101_35002_D01_S013,2024,36.1,1029,995,96.7,1978,46,2.3,344,1542,138,69,56,13,17,76.2,6.8,31.3,8.9,22.3,40.1,249.3,9.4,40.6,509.8,397,9,56,64,152,99,55,426,1882,47,95,93,2.3,4.7
20160101_35002_D01_S014,996,42.6,519,477,91.9,989,7,0.7,123,714,159,102,39,18,12.3,71.7,16,39.5,22.3,17.2,129.3,77.4,11.3,24.5,62,1605.8,11.3,26,19,48,40,16,149,957,23,16,96.1,2.3,1.6
20160101_35002_D01_S015,1813,37,875,938,107.2,1636,177,9.8,308,1347,158,97,46,15,17,74.3,8.7,34.6,11.7,22.9,51.3,194.9,9.5,29.1,27.8,6529.8,637.5,51,51,133,105,51,391,1410,71,332,77.8,3.9,18.3
20160101_35002_D01_S016,1490,37.9,758,732,96.6,1371,119,8,235,1147,108,63,34,11,15.8,77,7.2,29.9,9.4,20.5,46,217.6,10.2,31.5,9.1,16350.4,1305.8,25,44,111,75,34,289,1142,142,206,76.6,9.5,13.8
20160101_35002_D01_S017,2676,33.1,1394,1282,92,2573,103,3.8,643,1935,98,56,32,10,24,72.3,3.7,38.3,5.1,33.2,15.2,656.1,10.2,32.7,1705.1,156.9,6,90,120,304,167,61,742,2376,117,183,88.8,4.4,6.8
20160101_35002_D01_S018,1458,39.2,727,731,100.6,1323,135,9.3,221,1082,155,98,42,15,15.2,74.2,10.6,34.8,14.3,20.4,70.1,142.6,9.7,27.1,14.4,10138.6,938.8,34,35,93,79,27,268,1103,142,213,75.7,9.7,14.6
20160101_35002_D01_S019,1467,31.1,738,729,98.8,1376,91,6.2,382,1050,35,24,9,2,26,71.6,2.4,39.7,3.3,36.4,9.2,1091.4,5.7,25.7,15.1,9744.3,604.5,65,106,167,58,19,415,1236,72,159,84.3,4.9,10.8
20160101_35003_D01_S001,2106,39.6,1093,1013,92.7,1912,194,9.2,334,1502,270,157,77,36,15.9,71.3,12.8,40.2,18,22.2,80.8,123.7,13.3,28.5,3554.1,59.3,5.5,40,67,145,109,53,414,1713,166,227,81.3,7.9,10.8
20160101_35003_D01_S002,1245,41,652,593,91,1095,150,12,176,905,164,93,56,15,14.1,72.7,13.2,37.6,18.1,19.4,93.2,107.3,9.1,34.1,14329,8.7,1,17,37,77,55,29,215,1007,70,168,80.9,5.6,13.5
20160101_35003_D01_S003,4595,40.6,2474,2121,85.7,1844,2751,59.9,578,3482,535,421,100,14,12.6,75.8,11.6,32,15.4,16.6,92.6,108,2.6,18.7,1898.8,242,144.9,140,116,228,123,44,651,840,903,2852,18.3,19.7,62.1
