GEOCODE_SECCIONES_2018,Población,Población. Edad media,Población. Hombres,Población. Mujeres,Población de mujeres dividida por la población de hombres,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Suma de la población de 0 a 14 años y de la población de 65 o más años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 15 a 64 años,Población de 0 a 14 años dividida por la población de 15 a 64 años,Población de 65 o más años dividida por la población de 0 a 14 años,Población de 0 a 14 años dividida por la población de 65 o más años,Población de 85 o más años dividida por la población de 65 o más años,Población de 75 a 84 años dividida por la población de 65 o más años,Superficie calculada sobre geom no generalizado (ha),Población / km2,Población. Extranjeros / km2,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
20180101_35001_D01_S001,1050,47.1,514,536,104.3,1025,25,2.4,105,701,244,99,84,61,10,66.8,23.2,49.8,34.8,15,232.4,43,25,34.4,356.7,294.4,7,16,16,43,38,21,134,990,23,37,94.3,2.2,3.5
20180101_35001_D01_S002,1392,46,699,693,99.1,1343,49,3.5,139,947,306,139,114,53,10,68,22,47,32.3,14.7,220.1,45.4,17.3,37.3,191.3,727.6,25.6,35,27,54,36,30,182,1244,85,63,89.4,6.1,4.5
20180101_35001_D01_S003,1004,46.3,518,486,93.8,945,59,5.9,102,685,217,125,63,29,10.2,68.2,21.6,46.6,31.7,14.9,212.7,47,13.4,29,1489.5,67.4,4,13,16,39,42,17,127,902,38,64,89.8,3.8,6.4
20180101_35001_D01_S004,901,45.5,443,458,103.4,820,81,9,93,640,168,92,57,19,10.3,71,18.6,40.8,26.2,14.5,180.6,55.4,11.3,33.9,2368.5,38,3.4,14,20,35,31,11,111,765,49,87,84.9,5.4,9.7
20180101_35001_D01_S005,1226,41.4,609,617,101.3,1137,89,7.3,178,863,185,116,57,12,14.5,70.4,15.1,42.1,21.4,20.6,103.9,96.2,6.5,30.8,46.6,2629.7,190.9,34,29,71,57,29,220,1054,69,103,86,5.6,8.4
20180101_35002_D01_S001,799,43,399,400,100.3,779,20,2.5,107,565,127,61,46,20,13.4,70.7,15.9,41.4,22.5,18.9,118.7,84.3,15.7,36.2,105,761.1,19.1,16,16,42,43,11,128,736,27,36,92.1,3.4,4.5
20180101_35002_D01_S002,709,45.6,338,371,109.8,684,25,3.5,85,484,140,57,65,18,12,68.3,19.7,46.5,28.9,17.6,164.7,60.7,12.9,46.4,1071,66.2,2.3,24,9,28,26,14,101,656,18,35,92.5,2.5,4.9
20180101_35002_D01_S003,1524,41.1,756,768,101.6,1437,87,5.7,194,1147,183,104,62,17,12.7,75.3,12,32.9,16,16.9,94.3,106,9.3,33.9,205.4,741.9,42.4,28,37,76,70,30,241,1299,47,178,85.2,3.1,11.7
20180101_35002_D01_S004,857,40.2,457,400,87.5,814,43,5,130,621,106,55,38,13,15.2,72.5,12.4,38,17.1,20.9,81.5,122.6,12.3,35.8,569.9,150.4,7.5,17,25,54,47,18,161,756,41,60,88.2,4.8,7
20180101_35002_D01_S005,1348,40.5,697,651,93.4,1326,22,1.6,180,995,173,118,45,10,13.4,73.8,12.8,35.5,17.4,18.1,96.1,104,5.8,26,1124,119.9,2,27,30,71,75,38,241,1277,26,45,94.7,1.9,3.3
20180101_35002_D01_S006,1762,41.9,870,892,102.5,1576,186,10.6,230,1303,229,136,76,17,13.1,74,13,35.2,17.6,17.7,99.6,100.4,7.4,33.2,13.4,13182.1,1391.5,52,38,97,55,37,279,1323,163,276,75.1,9.3,15.7
20180101_35002_D01_S007,1247,41.5,606,641,105.8,1234,13,1,161,900,186,114,57,15,12.9,72.2,14.9,38.6,20.7,17.9,115.5,86.6,8.1,30.6,29.4,4238,44.2,36,33,55,55,30,209,1181,37,29,94.7,3,2.3
20180101_35002_D01_S008,1167,45.7,597,570,95.5,1120,47,4,139,753,275,133,91,51,11.9,64.5,23.6,55,36.5,18.5,197.8,50.5,18.5,33.1,2254.5,51.8,2.1,27,25,56,40,22,170,1045,55,67,89.5,4.7,5.7
20180101_35002_D01_S009,1560,39.3,785,775,98.7,1414,146,9.4,242,1137,181,95,58,28,15.5,72.9,11.6,37.2,15.9,21.3,74.8,133.7,15.5,32,18.4,8500.5,795.6,26,53,115,67,41,302,1244,64,252,79.7,4.1,16.2
20180101_35002_D01_S010,1596,39.1,835,761,91.1,1493,103,6.5,278,1133,185,126,40,19,17.4,71,11.6,40.9,16.3,24.5,66.5,150.3,10.3,21.6,31,5155.5,332.7,54,54,114,70,37,329,1304,119,173,81.7,7.5,10.8
20180101_35002_D01_S011,1999,42.3,1004,995,99.1,1855,144,7.2,267,1402,330,150,126,54,13.4,70.1,16.5,42.6,23.5,19,123.6,80.9,16.4,38.2,58.5,3419.4,246.3,47,48,102,90,44,331,1697,71,231,84.9,3.6,11.6
